valid,fold_year,outer_year,strategy,inner_validation_years,inner_fold_count,train_start,train_end,inner_score,inner_mean_score,inner_median_score,inner_score_aggregation,selection_entry_delay_days,inner_score_std,failed_evaluations,candidate_configs,used_relaxed_fallback,strict_inner_selection_diagnostics,relaxed_inner_selection_diagnostics,inner_selection_diagnostics,screened_config_count,survivor_config_count,selected_config,holding_days,overlay_gross,ma_window,high_vol,high_vol_mode,score_source,tqqq_weight,oos_return_pct,oos_sharpe,oos_drawdown_pct,oos_turnover_pct,oos_rebalance_count,oos_estimated_cost_pct,oos_alpha_vs_spy_pct,oos_alpha_vs_qqq_pct,boundary_mode,evaluation_trade_start,evaluation_trade_end,purged_leading_trade_count,purged_trailing_trade_count,baseline_oos_sharpe,baseline_oos_alpha_vs_qqq_pct,baseline_oos_turnover_pct,baseline_error,inner_stability_adjusted_score,inner_failed_fold_count,inner_mean_sharpe,inner_mean_return_pct,inner_mean_alpha_vs_spy_pct,inner_mean_alpha_vs_qqq_pct,inner_qqq_opportunity_cost_penalty,inner_config_momentum_bonus,inner_family_consensus_weight,inner_family_consensus_bonus,inner_family_consensus_match_count,inner_family_consensus_window_count,inner_mean_turnover_pct,inner_cost_stress_approval_pass,inner_stress_pass_ratio,inner_stress_passed,inner_stress_tested,oos_total_return_pct,oos_cagr_pct,oos_max_drawdown_pct,oos_alpha_vs_blend_pct,oos_benchmark_blend_return_pct,oos_n_equity_points,config_stability,selected_config_fold_count,selected_config_frequency,config_is_most_common,stable_family_signature,stable_family_fold_count,stable_family_frequency,stable_family_is_approved
True,2013,2013,core-alpha,2012,1,2010-01-01,2012-12-31,0.577,0.577,0.577,mean,1,0.0,0,64,False,"{'evaluated_configs': 64, 'valid_configs': 12, 'rejection_counts': {'delay_selection_unsupported_tqqq': 32, 'cost_stress_gate': 20}, 'rejection_examples': {'delay_selection_unsupported_tqqq': {}, 'cost_stress_gate': {'stress_pass_ratio': 0.0, 'stress_passed': 0, 'stress_tested': 1}}}",{},"{'evaluated_configs': 64, 'valid_configs': 12, 'rejection_counts': {'delay_selection_unsupported_tqqq': 32, 'cost_stress_gate': 20}, 'rejection_examples': {'delay_selection_unsupported_tqqq': {}, 'cost_stress_gate': {'stress_pass_ratio': 0.0, 'stress_passed': 0, 'stress_tested': 1}}}",64,12,"h=20,ov=0.5,ma=100,vol=fixed:0.3,score=regime_adaptive,shape=top3,weighting=sticky_score,tqqq=0.0,risk=off",20,0.5,100,0.3,fixed,regime_adaptive,0.0,33.45,2.342,-5.98,221.85,12,0.4437,9.72,6.11,flat_start_full_periods_only,2013-01-02,2013-12-13,1,1,2.342,6.11,221.85,,0.577,0,1.139,21.77,7.32,5.77,0.0,0.0,0.0,0.0,0,0,323.99,True,1.0,1,1,33.45,35.39,-5.98,8.28,25.18,13,0.3,3,0.3,True,"score=regime_adaptive,shape=top3,weighting=sticky_score,risk=off,tqqq=0.0",6,0.6,True
True,2014,2014,core-alpha,"2012,2013",2,2010-01-01,2013-12-31,0.7935,0.829,0.829,mean,1,0.355,0,64,False,"{'evaluated_configs': 16, 'valid_configs': 8, 'rejection_counts': {'cost_stress_gate': 8}, 'rejection_examples': {'cost_stress_gate': {'stress_pass_ratio': 0.5, 'stress_passed': 1, 'stress_tested': 2}}}",{},"{'evaluated_configs': 16, 'valid_configs': 8, 'rejection_counts': {'cost_stress_gate': 8}, 'rejection_examples': {'cost_stress_gate': {'stress_pass_ratio': 0.5, 'stress_passed': 1, 'stress_tested': 2}}}",16,8,"h=20,ov=0.5,ma=100,vol=fixed:0.3,score=regime_adaptive,shape=top5,weighting=sticky_score,tqqq=0.0,risk=off",20,0.5,100,0.3,fixed,regime_adaptive,0.0,19.93,1.216,-8.14,267.24,12,0.5345,9.34,2.15,flat_start_full_periods_only,2014-01-02,2014-12-15,1,1,1.144,-3.19,455.79,,0.7935,0,2.129,29.95,10.86,8.29,0.0,0.0,0.0,0.0,0,0,270.83,True,1.0,2,2,19.93,21.02,-8.14,6.46,13.47,13,0.3,2,0.2,False,"score=regime_adaptive,shape=top5,weighting=sticky_score,risk=off,tqqq=0.0",2,0.2,False
True,2015,2015,core-alpha,"2012,2013,2014",3,2010-01-01,2014-12-31,0.7334,0.6243,0.474,mean,1,0.4096,0,64,False,"{'evaluated_configs': 16, 'valid_configs': 8, 'rejection_counts': {'cost_stress_gate': 8}, 'rejection_examples': {'cost_stress_gate': {'stress_pass_ratio': 0.3333, 'stress_passed': 1, 'stress_tested': 3}}}",{},"{'evaluated_configs': 16, 'valid_configs': 8, 'rejection_counts': {'cost_stress_gate': 8}, 'rejection_examples': {'cost_stress_gate': {'stress_pass_ratio': 0.3333, 'stress_passed': 1, 'stress_tested': 3}}}",16,8,"h=20,ov=0.5,ma=100,vol=fixed:0.3,score=regime_adaptive,shape=top5,weighting=sticky_score,tqqq=0.0,risk=off",20,0.5,100,0.3,fixed,regime_adaptive,0.0,19.65,1.208,-7.84,244.4,12,0.4888,18.39,9.78,flat_start_full_periods_only,2015-01-02,2015-12-15,1,1,1.932,17.28,482.01,,0.7334,0,1.8247,26.61,10.35,6.24,0.0,0.15,0.0,0.0,0,0,269.64,True,1.0,3,3,19.65,20.73,-7.84,14.94,4.71,13,0.3,2,0.2,False,"score=regime_adaptive,shape=top5,weighting=sticky_score,risk=off,tqqq=0.0",2,0.2,False
True,2016,2016,core-alpha,"2012,2013,2014,2015",4,2010-01-01,2015-12-31,0.8041,0.6815,0.594,mean,1,0.2741,0,64,False,"{'evaluated_configs': 16, 'valid_configs': 8, 'rejection_counts': {'cost_stress_gate': 8}, 'rejection_examples': {'cost_stress_gate': {'stress_pass_ratio': 0.5, 'stress_passed': 2, 'stress_tested': 4}}}",{},"{'evaluated_configs': 16, 'valid_configs': 8, 'rejection_counts': {'cost_stress_gate': 8}, 'rejection_examples': {'cost_stress_gate': {'stress_pass_ratio': 0.5, 'stress_passed': 2, 'stress_tested': 4}}}",16,8,"h=20,ov=0.5,ma=100,vol=fixed:0.3,score=regime_adaptive,shape=top3,weighting=sticky_score,tqqq=0.0,risk=off",20,0.5,100,0.3,fixed,regime_adaptive,0.0,32.73,1.375,-9.37,265.05,12,0.5301,18.63,22.06,flat_start_full_periods_only,2016-01-04,2016-12-14,1,1,1.748,28.1,183.99,,0.8041,0,1.5768,26.9,12.09,6.81,0.0,0.15,0.0,0.0,0,0,260.41,True,1.0,4,4,32.73,34.63,-9.37,20.0,12.73,13,0.3,3,0.3,True,"score=regime_adaptive,shape=top3,weighting=sticky_score,risk=off,tqqq=0.0",6,0.6,True
True,2017,2017,core-alpha,"2012,2013,2014,2015,2016",5,2010-01-01,2016-12-31,1.0707,0.9864,0.611,mean,1,0.6572,0,64,False,"{'evaluated_configs': 16, 'valid_configs': 12, 'rejection_counts': {'cost_stress_gate': 4}, 'rejection_examples': {'cost_stress_gate': {'stress_pass_ratio': 0.4, 'stress_passed': 2, 'stress_tested': 5}}}",{},"{'evaluated_configs': 16, 'valid_configs': 12, 'rejection_counts': {'cost_stress_gate': 4}, 'rejection_examples': {'cost_stress_gate': {'stress_pass_ratio': 0.4, 'stress_passed': 2, 'stress_tested': 5}}}",16,12,"h=20,ov=0.5,ma=100,vol=fixed:0.3,score=regime_adaptive,shape=top3,weighting=sticky_score,tqqq=0.0,risk=off",20,0.5,100,0.3,fixed,regime_adaptive,0.0,23.27,1.794,-4.76,111.96,12,0.2239,3.64,-8.05,flat_start_full_periods_only,2017-01-03,2017-12-14,1,1,3.216,10.37,213.84,,1.0707,0,1.5364,28.06,13.37,9.86,0.0,0.15,0.0,0.0,0,0,261.34,True,1.0,5,5,23.27,24.56,-4.76,-1.03,24.3,13,0.3,3,0.3,True,"score=regime_adaptive,shape=top3,weighting=sticky_score,risk=off,tqqq=0.0",6,0.6,True
True,2018,2018,core-alpha,"2013,2014,2015,2016,2017",5,2010-01-01,2017-12-31,0.8328,0.9338,0.774,mean,1,1.01,0,64,False,"{'evaluated_configs': 16, 'valid_configs': 16, 'rejection_counts': {}, 'rejection_examples': {}}",{},"{'evaluated_configs': 16, 'valid_configs': 16, 'rejection_counts': {}, 'rejection_examples': {}}",16,16,"h=20,ov=0.5,ma=100,vol=percentile:0.3,score=regime_adaptive,shape=top3,weighting=sticky_score,tqqq=0.0,risk=off",20,0.5,100,0.3,percentile,regime_adaptive,0.0,3.33,0.365,-7.79,326.85,12,0.6537,5.15,1.13,flat_start_full_periods_only,2018-01-02,2018-12-14,1,1,0.365,1.13,326.85,,0.8328,0,2.0764,31.13,14.94,9.34,0.0,0.0,0.0,0.0,0,0,311.5,True,0.8,4,5,3.33,3.5,-7.79,3.54,-0.21,13,0.3,3,0.3,False,"score=regime_adaptive,shape=top3,weighting=sticky_score,risk=off,tqqq=0.0",6,0.6,True
True,2019,2019,core-alpha,"2014,2015,2016,2017,2018",5,2010-01-01,2018-12-31,0.8203,0.7804,0.774,mean,1,1.1015,0,64,False,"{'evaluated_configs': 16, 'valid_configs': 15, 'rejection_counts': {'cost_stress_gate': 1}, 'rejection_examples': {'cost_stress_gate': {'stress_pass_ratio': 0.4, 'stress_passed': 2, 'stress_tested': 5}}}",{},"{'evaluated_configs': 16, 'valid_configs': 15, 'rejection_counts': {'cost_stress_gate': 1}, 'rejection_examples': {'cost_stress_gate': {'stress_pass_ratio': 0.4, 'stress_passed': 2, 'stress_tested': 5}}}",16,15,"h=20,ov=0.5,ma=100,vol=percentile:0.3,score=regime_adaptive,shape=top3,weighting=sticky_score,tqqq=0.0,risk=off",20,0.5,100,0.3,percentile,regime_adaptive,0.0,37.86,2.756,-3.32,129.64,12,0.2593,9.25,3.27,flat_start_full_periods_only,2019-01-02,2019-12-13,1,1,2.756,3.27,129.64,,0.8203,0,1.681,25.11,13.41,7.8,0.0,0.15,0.0,0.0,0,0,332.5,True,0.8,4,5,37.86,40.09,-3.32,6.86,31.0,13,0.3,3,0.3,False,"score=regime_adaptive,shape=top3,weighting=sticky_score,risk=off,tqqq=0.0",6,0.6,True
True,2020,2020,core-alpha,"2015,2016,2017,2018,2019",5,2010-01-01,2019-12-31,0.9598,0.9096,0.774,mean,1,0.998,0,64,False,"{'evaluated_configs': 16, 'valid_configs': 14, 'rejection_counts': {'cost_stress_gate': 2}, 'rejection_examples': {'cost_stress_gate': {'stress_pass_ratio': 0.4, 'stress_passed': 2, 'stress_tested': 5}}}",{},"{'evaluated_configs': 16, 'valid_configs': 14, 'rejection_counts': {'cost_stress_gate': 2}, 'rejection_examples': {'cost_stress_gate': {'stress_pass_ratio': 0.4, 'stress_passed': 2, 'stress_tested': 5}}}",16,14,"h=20,ov=0.5,ma=100,vol=percentile:0.3,score=regime_adaptive,shape=top3,weighting=sticky_score,tqqq=0.0,risk=off",20,0.5,100,0.3,percentile,regime_adaptive,0.0,45.63,1.757,-10.58,358.24,12,0.7165,31.78,4.43,flat_start_full_periods_only,2020-01-02,2020-12-14,1,1,1.757,4.43,358.24,,0.9598,0,2.0034,29.76,14.46,9.1,0.0,0.15,0.0,0.0,0,0,267.27,True,1.0,5,5,45.63,48.4,-10.58,20.84,24.8,13,0.3,3,0.3,False,"score=regime_adaptive,shape=top3,weighting=sticky_score,risk=off,tqqq=0.0",6,0.6,True
True,2021,2021,core-alpha,"2016,2017,2018,2019,2020",5,2010-01-01,2020-12-31,0.7825,0.8468,0.53,mean,1,0.643,0,64,False,"{'evaluated_configs': 16, 'valid_configs': 5, 'rejection_counts': {'cost_stress_gate': 11}, 'rejection_examples': {'cost_stress_gate': {'stress_pass_ratio': 0.4, 'stress_passed': 2, 'stress_tested': 5}}}",{},"{'evaluated_configs': 16, 'valid_configs': 5, 'rejection_counts': {'cost_stress_gate': 11}, 'rejection_examples': {'cost_stress_gate': {'stress_pass_ratio': 0.4, 'stress_passed': 2, 'stress_tested': 5}}}",16,5,"h=20,ov=0.5,ma=100,vol=percentile:0.3,score=regime_adaptive,shape=top3,weighting=risk_parity,tqqq=0.0,risk=off",20,0.5,100,0.3,percentile,regime_adaptive,0.0,42.93,2.276,-5.02,119.11,12,0.2382,14.08,14.11,flat_start_full_periods_only,2021-01-04,2021-12-15,1,1,2.482,11.47,80.99,,0.7825,0,2.0958,33.95,17.6,8.47,0.0,0.0,0.0,0.0,0,0,262.09,True,1.0,5,5,42.93,45.51,-5.02,14.09,28.84,13,0.3,2,0.2,False,"score=regime_adaptive,shape=top3,weighting=risk_parity,risk=off,tqqq=0.0",2,0.2,False
True,2022,2022,core-alpha,"2017,2018,2019,2020,2021",5,2010-01-01,2021-12-31,0.7208,0.5882,0.53,mean,1,0.1739,0,64,False,"{'evaluated_configs': 16, 'valid_configs': 7, 'rejection_counts': {'cost_stress_gate': 9}, 'rejection_examples': {'cost_stress_gate': {'stress_pass_ratio': 0.4, 'stress_passed': 2, 'stress_tested': 5}}}",{},"{'evaluated_configs': 16, 'valid_configs': 7, 'rejection_counts': {'cost_stress_gate': 9}, 'rejection_examples': {'cost_stress_gate': {'stress_pass_ratio': 0.4, 'stress_passed': 2, 'stress_tested': 5}}}",16,7,"h=20,ov=0.5,ma=100,vol=percentile:0.3,score=regime_adaptive,shape=top3,weighting=risk_parity,tqqq=0.0,risk=off",20,0.5,100,0.3,percentile,regime_adaptive,0.0,-12.29,-0.959,-16.56,117.47,12,0.2349,5.2,18.43,flat_start_full_periods_only,2022-01-03,2022-12-15,1,1,-1.035,17.27,151.49,,0.7208,0,2.2008,36.19,15.26,5.88,0.0,0.15,0.0,0.0,0,0,247.53,True,1.0,5,5,-12.29,-12.86,-16.56,10.5,-22.79,13,0.3,2,0.2,False,"score=regime_adaptive,shape=top3,weighting=risk_parity,risk=off,tqqq=0.0",2,0.2,False
