group_type,group,trades,win_rate,avg_pnl,median_pnl,total_pnl,profit_factor,raw_sharpe_proxy,avg_confidence,avg_expected_return,avg_rank_score,avg_holding_days
confidence_decile,C7,98,0.5408,0.76,7.25,74.41,1.045,0.019,50.83,0.4013,0.7113,3.51
confidence_decile,C8,98,0.5204,0.31,9.11,30.35,1.02,0.009,51.31,0.3666,0.9675,3.38
confidence_decile,C10,99,0.5455,-0.43,8.11,-42.77,0.972,-0.012,54.28,0.5353,1.9979,3.23
confidence_decile,C6,98,0.5612,-1.5,7.48,-147.23,0.919,-0.037,50.56,0.3992,0.6145,3.45
confidence_decile,C4,98,0.5204,-1.51,11.38,-148.21,0.91,-0.042,50.23,0.2913,0.4294,3.1
confidence_decile,C1,99,0.4848,-2.09,-3.12,-207.02,0.865,-0.063,50.03,0.279,0.4084,3.15
confidence_decile,C2,98,0.5,-2.26,4.21,-221.94,0.882,-0.055,50.09,0.2957,0.4737,3.29
confidence_decile,C3,98,0.5,-3.66,0.47,-358.19,0.742,-0.122,50.14,0.3053,0.5431,3.62
confidence_decile,C9,98,0.5204,-5.51,3.12,-539.78,0.745,-0.128,52.15,0.4176,1.3901,3.36
confidence_decile,C5,99,0.4848,-7.72,-0.76,-764.6,0.621,-0.2,50.39,0.3619,0.7692,3.47
entry_year,2021,96,0.6042,6.41,23.14,615.27,1.347,0.136,50.66,0.4256,0.5184,3.23
entry_year,2026,23,0.6522,15.96,31.38,367.13,2.768,0.484,50.45,0.4252,1.1401,3.87
entry_year,2019,112,0.5982,2.47,11.62,276.59,1.192,0.075,50.35,0.3553,0.9314,3.32
entry_year,2020,34,0.6471,6.16,10.07,209.44,1.697,0.214,53.16,0.1968,0.309,3.24
entry_year,2023,95,0.4947,-1.29,-1.42,-122.8,0.91,-0.042,51.57,0.4125,0.9326,3.15
entry_year,2025,66,0.5,-2.2,0.09,-145.06,0.867,-0.062,50.43,0.3606,1.2312,3.05
entry_year,2015,73,0.5342,-3.53,4.64,-257.57,0.806,-0.094,50.59,0.334,0.7821,3.84
entry_year,2017,136,0.5074,-2.69,1.33,-366.21,0.82,-0.084,51.5,0.2085,0.7345,3.29
entry_year,2024,44,0.3864,-8.49,-15.21,-373.53,0.526,-0.27,51.43,0.488,1.2218,3.55
entry_year,2018,86,0.5116,-6.38,1.7,-548.8,0.719,-0.141,51.01,0.4019,0.9789,3.53
entry_year,2016,145,0.4759,-6.17,-3.18,-894.85,0.661,-0.177,50.68,0.381,0.6961,3.4
entry_year,2022,73,0.3973,-14.86,-28.08,-1084.59,0.497,-0.325,51.26,0.4804,0.8291,3.26
exit_reason,take_profit,361,1.0,32.36,29.44,11680.66,,2.002,51.03,0.3769,0.8568,2.53
exit_reason,time_exit,334,0.4431,-2.88,-3.15,-962.71,0.762,-0.107,50.95,0.3616,0.8224,5.0
exit_reason,stop_loss,288,0.0,-45.29,-42.91,-13042.93,0.0,-2.572,51.02,0.3555,0.8093,2.49
expected_return_decile,E10,99,0.5758,3.55,17.06,351.34,1.198,0.08,52.27,0.8785,2.4703,3.37
expected_return_decile,E7,98,0.5918,1.46,11.85,143.33,1.098,0.041,50.86,0.4291,1.0337,3.12
expected_return_decile,E8,98,0.5408,-1.36,7.8,-133.73,0.922,-0.034,51.13,0.4931,1.1917,3.47
expected_return_decile,E2,98,0.5408,-1.51,7.19,-148.08,0.908,-0.041,50.71,0.1531,0.0897,3.05
expected_return_decile,E9,98,0.4898,-2.57,-3.26,-252.08,0.865,-0.064,51.52,0.5966,1.6651,3.58
expected_return_decile,E5,99,0.5354,-3.13,4.64,-309.65,0.822,-0.083,50.54,0.3288,0.6051,3.46
expected_return_decile,E3,98,0.4694,-3.9,-1.52,-382.64,0.754,-0.121,50.59,0.2326,0.2785,3.49
expected_return_decile,E1,99,0.5152,-4.13,1.7,-408.58,0.787,-0.103,51.07,-0.1208,-0.4877,3.3
expected_return_decile,E6,98,0.4592,-5.3,-4.08,-519.16,0.693,-0.154,50.7,0.381,0.9558,3.3
