group_type,group,trades,win_rate,avg_pnl,median_pnl,total_pnl,profit_factor,raw_sharpe_proxy,avg_confidence,avg_expected_return,avg_rank_score,avg_holding_days
confidence_decile,C7,168,0.5714,0.66,9.02,110.65,1.057,0.024,50.98,0.2298,0.0008,3.36
confidence_decile,C6,168,0.5476,0.22,7.49,37.41,1.021,0.009,50.69,0.237,-0.0005,3.29
confidence_decile,C5,168,0.5417,-1.4,8.06,-235.36,0.888,-0.05,50.51,0.2925,-0.0006,3.21
confidence_decile,C8,168,0.5,-2.32,-0.03,-389.42,0.824,-0.082,51.44,0.2376,0.001,3.2
confidence_decile,C10,169,0.5562,-2.57,4.96,-435.09,0.808,-0.085,54.01,0.2277,-0.0011,3.35
confidence_decile,C9,168,0.5,-2.67,-0.08,-449.2,0.809,-0.091,52.12,0.258,-0.0,3.14
confidence_decile,C3,168,0.494,-2.69,-0.47,-452.68,0.796,-0.101,50.24,0.2221,-0.0017,3.04
confidence_decile,C2,168,0.5,-3.17,0.22,-532.43,0.747,-0.127,50.15,0.2164,0.0005,3.3
confidence_decile,C1,169,0.4615,-5.34,-6.75,-903.25,0.661,-0.174,50.06,0.2479,0.0039,3.29
confidence_decile,C4,168,0.4762,-5.57,-2.62,-936.12,0.629,-0.196,50.36,0.2283,0.0021,3.29
entry_year,2019,151,0.596,1.4,10.65,210.95,1.117,0.047,50.39,0.2611,0.0006,3.22
entry_year,2026,18,0.6111,1.15,14.02,20.72,1.122,0.055,50.53,0.2344,-0.0168,2.83
entry_year,2017,220,0.5455,-0.54,4.53,-119.49,0.948,-0.022,52.18,0.1119,0.0005,3.39
entry_year,2020,69,0.5217,-2.18,2.29,-150.3,0.833,-0.078,51.79,-0.0128,0.0001,3.0
entry_year,2016,199,0.5025,-1.38,0.98,-274.19,0.894,-0.048,50.67,0.2669,0.0097,3.25
entry_year,2025,114,0.4825,-2.6,-1.8,-295.97,0.774,-0.112,50.56,0.2906,-0.008,3.12
entry_year,2023,146,0.5411,-2.06,5.08,-301.27,0.802,-0.1,51.14,0.2786,-0.003,3.33
entry_year,2021,194,0.5309,-1.96,4.24,-380.19,0.843,-0.075,50.69,0.2368,0.0004,3.27
entry_year,2022,66,0.4091,-7.55,-8.21,-498.49,0.613,-0.218,50.94,0.3695,-0.0009,3.33
entry_year,2024,173,0.4855,-3.16,-1.2,-547.37,0.694,-0.163,51.31,0.2101,-0.0056,2.99
entry_year,2018,166,0.5301,-4.39,9.38,-728.09,0.745,-0.125,50.92,0.2912,0.0034,3.27
entry_year,2015,166,0.4398,-6.76,-12.33,-1121.8,0.653,-0.191,51.03,0.3249,0.0038,3.42
exit_reason,stop_loss,608,0.8092,10.11,16.14,6144.72,2.362,0.372,51.06,0.2452,0.0001,2.48
exit_reason,time_exit,522,0.4176,-3.75,-3.29,-1959.13,0.619,-0.185,51.11,0.2258,0.0009,5.0
exit_reason,take_profit,552,0.2826,-15.16,-24.34,-8371.08,0.33,-0.523,51.01,0.2469,0.0004,2.43
expected_return_decile,E9,168,0.6488,3.57,11.71,600.05,1.345,0.127,51.04,0.4535,0.0023,3.21
expected_return_decile,E2,168,0.5119,-1.09,4.69,-183.03,0.913,-0.039,51.49,0.0291,-0.0005,3.3
expected_return_decile,E3,168,0.5417,-1.18,8.16,-198.65,0.89,-0.051,51.09,0.1192,-0.0017,3.21
expected_return_decile,E10,169,0.5325,-1.3,6.89,-218.93,0.916,-0.036,51.56,0.728,0.0024,3.48
expected_return_decile,E5,168,0.494,-2.71,-0.1,-455.91,0.772,-0.113,50.77,0.2245,-0.0005,3.12
expected_return_decile,E7,168,0.494,-3.16,-1.83,-531.47,0.765,-0.117,50.77,0.3105,0.0021,3.1
expected_return_decile,E8,168,0.5179,-3.25,2.38,-546.3,0.762,-0.117,50.75,0.3645,0.0008,3.27
expected_return_decile,E4,168,0.5179,-3.5,3.23,-587.84,0.718,-0.142,50.94,0.1768,-0.0002,3.03
expected_return_decile,E6,168,0.494,-3.88,-1.67,-652.49,0.708,-0.15,50.8,0.2655,-0.002,3.39
expected_return_decile,E1,169,0.3964,-8.35,-10.43,-1410.92,0.534,-0.267,51.36,-0.2742,0.0016,3.36
holding_days_bucket,2-3d,473,0.5751,-1.91,11.53,-903.57,0.871,-0.061,51.12,0.23,0.0,2.45
holding_days_bucket,1d,394,0.5178,-3.89,7.41,-1532.46,0.732,-0.14,51.01,0.2482,-0.0001,1.0
holding_days_bucket,4-5d,815,0.4785,-2.15,-1.29,-1749.46,0.815,-0.083,51.05,0.2413,0.0009,4.8
rank_score_decile,R3,168,0.6131,2.03,9.73,341.16,1.217,0.085,51.32,0.265,-0.0065,3.05
rank_score_decile,R8,168,0.5417,-1.25,7.27,-210.75,0.896,-0.045,50.86,0.207,0.0085,3.47
rank_score_decile,R6,168,0.506,-1.29,3.28,-216.63,0.892,-0.05,51.09,0.2034,0.0021,3.24
rank_score_decile,R9,168,0.5476,-1.65,6.3,-276.83,0.89,-0.051,51.01,0.2415,0.0125,3.29
rank_score_decile,R4,168,0.5,-2.9,0.51,-487.44,0.755,-0.12,51.21,0.3013,-0.0032,3.31
rank_score_decile,R2,168,0.5,-3.1,-0.09,-520.33,0.77,-0.114,51.04,0.2687,-0.0107,3.23
rank_score_decile,R7,168,0.4881,-3.59,-2.38,-603.61,0.725,-0.139,51.02,0.1927,0.0052,3.07
rank_score_decile,R1,169,0.4734,-4.28,-3.17,-722.78,0.716,-0.145,51.14,0.2049,-0.0271,3.21
rank_score_decile,R10,169,0.4852,-4.4,-0.79,-743.03,0.738,-0.128,50.93,0.2534,0.0243,3.46
rank_score_decile,R5,168,0.494,-4.44,-0.32,-745.25,0.663,-0.17,50.94,0.2597,-0.0006,3.14
regime_state,neutral,599,0.5242,-2.14,4.18,-1284.69,0.849,-0.069,51.01,0.328,0.0011,3.33
regime_state,bull,1083,0.5097,-2.68,1.93,-2900.8,0.788,-0.102,51.08,0.1909,0.0001,3.2
sector,XLP,250,0.588,0.46,8.65,114.3,1.053,0.023,51.18,0.2259,-0.0014,3.14
sector,XLU,134,0.5746,0.73,9.12,97.54,1.079,0.034,50.88,0.242,-0.0005,3.21
sector,XLB,93,0.5484,-0.38,9.72,-35.69,0.969,-0.013,50.99,0.2078,0.0023,3.43
sector,XLI,154,0.5325,-0.41,4.14,-62.45,0.965,-0.016,51.03,0.2151,-0.0019,3.25
sector,XLC,161,0.528,-0.83,3.38,-133.54,0.924,-0.034,50.93,0.2577,0.0019,3.11
sector,XLRE,166,0.5422,-1.1,8.96,-182.46,0.906,-0.044,50.71,0.2122,-0.0005,3.07
sector,XLY,118,0.4492,-3.95,-9.1,-465.99,0.77,-0.118,51.24,0.2209,0.0023,3.09
sector,XLF,147,0.4762,-3.21,-2.8,-471.92,0.774,-0.112,51.05,0.2917,-0.0009,3.36
sector,XLE,72,0.4583,-7.38,-5.26,-531.47,0.62,-0.203,51.28,0.259,0.0032,3.28
sector,XLV,181,0.4696,-5.05,-4.69,-913.56,0.65,-0.184,50.96,0.248,0.0017,3.34
sector,XLK,206,0.4515,-7.77,-5.67,-1600.25,0.6,-0.212,51.36,0.2557,0.0016,3.49
signal_quality,MEDIUM,456,0.5263,-2.36,4.09,-1074.45,0.814,-0.087,51.03,0.246,0.0002,3.3
signal_quality,HIGH,545,0.5266,-2.03,4.07,-1104.52,0.852,-0.068,51.0,0.2391,0.0043,3.28
signal_quality,LOW,681,0.4978,-2.95,-0.53,-2006.52,0.775,-0.11,51.12,0.236,-0.0025,3.18
ticker,BKNG,10,0.6,19.09,34.48,190.91,3.699,0.603,52.32,0.253,-0.0038,4.0
ticker,COST,57,0.6667,3.12,10.77,178.06,1.41,0.154,50.93,0.214,-0.0071,2.96
ticker,PEG,10,0.9,12.85,14.05,128.53,9.714,1.196,50.67,0.269,0.0042,2.9
ticker,DD,6,0.8333,19.0,25.98,113.98,6.041,0.884,50.34,0.3617,0.0052,3.17
ticker,AEP,26,0.6538,4.01,11.58,104.3,1.561,0.2,50.64,0.1873,0.001,2.96
ticker,AIG,7,0.7143,13.19,22.08,92.32,3.162,0.567,50.36,0.32,0.008,3.0
ticker,CHTR,6,0.6667,14.26,23.8,85.55,2.454,0.381,51.04,0.305,0.0106,3.5
ticker,DOW,5,0.8,16.64,21.0,83.18,2.164,0.346,50.43,0.004,-0.0174,3.0
ticker,HSY,28,0.6071,2.86,10.16,79.97,1.306,0.119,51.42,0.2421,0.0069,3.25
