ticker,trades,win_rate,avg_pnl,median_pnl,total_pnl,long_trades,short_trades
BKNG,10,0.6,19.091,34.48,190.91,10,0
COST,57,0.6667,3.1239,10.77,178.06,57,0
PEG,10,0.9,12.853,14.05,128.53,10,0
DD,6,0.8333,18.9967,25.98,113.98,6,0
AEP,26,0.6538,4.0115,11.58,104.3,26,0
AIG,7,0.7143,13.1886,22.08,92.32,7,0
CHTR,6,0.6667,14.2583,23.8,85.55,6,0
DOW,5,0.8,16.636,21.0,83.18,5,0
HSY,28,0.6071,2.8561,10.16,79.97,28,0
BA,3,0.6667,24.0433,29.82,72.13,3,0
CAT,4,0.75,17.4325,18.32,69.73,4,0
QCOM,11,0.6364,5.6882,11.82,62.57,11,0
SCHW,11,0.5455,5.5855,13.28,61.44,11,0
LYV,12,0.6667,5.0842,14.22,61.01,12,0
SPG,3,1.0,20.0333,19.59,60.1,3,0
SRE,4,0.75,13.24,13.415,52.96,4,0
EA,13,0.6154,3.8246,23.14,49.72,13,0
XEL,38,0.5789,1.2829,8.66,48.75,38,0
WMT,14,0.7143,3.1636,8.84,44.29,14,0
BSX,1,1.0,42.14,42.14,42.14,1,0
SYY,32,0.625,1.3006,10.685,41.62,32,0
NFLX,5,0.6,8.256,3.92,41.28,5,0
PH,4,0.5,10.2575,13.565,41.03,4,0
COP,5,0.6,8.032,25.19,40.16,5,0
LMT,4,0.75,9.84,14.605,39.36,4,0
T,24,0.5833,1.6058,5.915,38.54,24,0
HD,8,0.625,4.5463,19.27,36.37,8,0
NEM,4,0.5,8.6725,19.785,34.69,4,0
AMT,8,0.625,4.2563,13.215,34.05,8,0
V,3,0.6667,10.2733,28.14,30.82,3,0
CVX,3,0.6667,10.22,16.12,30.66,3,0
RTX,4,0.75,7.6625,10.865,30.65,4,0
CSX,3,0.6667,9.6867,16.14,29.06,3,0
PNC,4,0.75,7.01,16.395,28.04,4,0
BLK,5,0.6,5.412,19.28,27.06,5,0
EQIX,37,0.5946,0.7241,8.38,26.79,37,0
GIS,5,0.6,5.154,7.36,25.77,5,0
GILD,33,0.5758,0.673,4.26,22.21,33,0
CI,3,0.6667,7.2767,5.89,21.83,3,0
C,1,1.0,18.45,18.45,18.45,1,0
ETN,29,0.5517,0.6217,12.03,18.03,29,0
PLD,7,0.5714,1.5414,9.54,10.79,7,0
ROST,4,0.25,2.315,-2.155,9.26,4,0
TMO,4,0.5,1.9425,10.16,7.77,4,0
IBM,10,0.5,0.679,3.55,6.79,10,0
FCX,4,0.5,1.285,4.78,5.14,4,0
MAR,20,0.5,0.183,6.425,3.66,20,0
CMCSA,7,0.5714,0.4057,11.06,2.84,7,0
PEP,6,0.5,0.3333,4.505,2.0,6,0
GE,5,0.6,-0.008,2.32,-0.04,5,0
LLY,5,0.4,-0.218,-22.48,-1.09,5,0
CCI,32,0.625,-0.0619,11.295,-1.98,32,0
USB,2,0.5,-1.195,-1.195,-2.39,2,0
NEE,6,0.6667,-0.4033,7.605,-2.42,6,0
WFC,5,0.6,-0.712,4.23,-3.56,5,0
KMB,12,0.4167,-0.3133,-5.545,-3.76,12,0
CL,38,0.6053,-0.1526,6.27,-5.8,38,0
ISRG,7,0.5714,-0.9414,8.27,-6.59,7,0
SYK,13,0.5385,-0.6862,3.59,-8.92,13,0
MMM,7,0.5714,-1.3857,6.89,-9.7,7,0
EMR,4,0.5,-2.95,5.025,-11.8,4,0
DHR,2,0.0,-7.04,-7.04,-14.08,2,0
PSA,36,0.5278,-0.4067,11.865,-14.64,36,0
DE,6,0.5,-2.5083,-2.065,-15.05,6,0
LIN,13,0.6154,-1.2508,7.96,-16.26,13,0
SLB,7,0.5714,-2.3471,21.32,-16.43,7,0
AXP,3,0.3333,-5.9533,-21.77,-17.86,3,0
OMC,23,0.5652,-0.7796,3.51,-17.93,23,0
AVB,6,0.3333,-3.0683,-9.815,-18.41,6,0
ABBV,25,0.6,-0.7736,8.72,-19.34,25,0
MSFT,30,0.6,-0.701,7.715,-21.03,30,0
UPS,33,0.5152,-0.6473,9.43,-21.36,33,0
EBAY,7,0.4286,-3.4857,-24.8,-24.4,7,0
SHW,32,0.5625,-0.7863,12.58,-25.16,32,0
JNJ,7,0.5714,-3.8871,1.96,-27.21,7,0
APD,8,0.5,-3.475,-4.935,-27.8,8,0
NKE,2,0.5,-14.505,-14.505,-29.01,2,0
DIS,7,0.4286,-4.1729,-15.51,-29.21,7,0
WMB,15,0.6,-1.9893,10.76,-29.84,15,0
WELL,1,0.0,-30.54,-30.54,-30.54,1,0
EXC,33,0.5455,-0.9282,9.22,-30.63,33,0
PG,17,0.5294,-1.8159,7.45,-30.87,17,0
META,12,0.4167,-2.5742,-12.21,-30.89,12,0
GM,9,0.4444,-3.4556,-23.24,-31.1,9,0
OXY,1,0.0,-31.62,-31.62,-31.62,1,0
LOW,1,0.0,-34.15,-34.15,-34.15,1,0
TRV,12,0.5833,-2.8608,2.58,-34.33,12,0
COF,2,0.0,-18.865,-18.865,-37.73,2,0
BAC,5,0.4,-7.708,-25.36,-38.54,5,0
XOM,5,0.6,-7.72,3.03,-38.6,5,0
IFF,10,0.5,-4.01,6.35,-40.1,10,0
MPC,3,0.3333,-13.7733,-22.65,-41.32,3,0
PM,5,0.4,-8.81,-19.54,-44.05,5,0
HON,5,0.6,-8.86,12.28,-44.3,5,0
NOC,5,0.2,-9.01,-17.03,-45.05,5,0
D,9,0.3333,-5.68,-2.71,-51.12,9,0
