group_type,group,trades,win_rate,avg_pnl,median_pnl,total_pnl,profit_factor,raw_sharpe_proxy,avg_confidence,avg_expected_return,avg_rank_score,avg_holding_days
confidence_decile,C7,174,0.569,-0.08,7.22,-13.3,0.993,-0.003,50.93,0.2293,0.0019,3.32
confidence_decile,C9,174,0.5057,-1.22,2.11,-212.36,0.904,-0.044,52.01,0.2548,0.0035,3.17
confidence_decile,C10,174,0.546,-1.71,4.74,-296.91,0.849,-0.067,53.85,0.1966,0.0018,3.35
confidence_decile,C8,174,0.4943,-2.46,-0.21,-428.5,0.808,-0.09,51.38,0.2468,0.0036,3.06
confidence_decile,C4,174,0.5057,-2.95,1.24,-512.61,0.766,-0.112,50.35,0.2178,0.0049,3.32
confidence_decile,C3,174,0.5057,-2.95,1.17,-514.09,0.778,-0.109,50.23,0.2125,0.0019,3.09
confidence_decile,C6,173,0.5087,-3.07,0.62,-530.41,0.745,-0.125,50.67,0.2514,0.0025,3.35
confidence_decile,C5,174,0.5057,-3.99,2.67,-694.65,0.699,-0.151,50.48,0.269,0.0047,3.28
confidence_decile,C1,174,0.4598,-4.38,-6.12,-762.11,0.704,-0.149,50.06,0.2795,0.0059,3.02
confidence_decile,C2,174,0.4598,-4.49,-5.85,-781.1,0.624,-0.2,50.15,0.202,0.0039,3.36
entry_year,2019,144,0.5903,2.04,10.64,293.64,1.2,0.079,50.38,0.2721,0.0032,3.35
entry_year,2026,33,0.6667,6.55,13.86,216.14,1.967,0.314,50.5,0.21,-0.0063,3.03
entry_year,2020,66,0.5455,1.53,8.12,100.92,1.132,0.055,51.45,-0.0747,0.0022,3.26
entry_year,2017,224,0.5357,-0.58,4.14,-129.39,0.942,-0.024,52.03,0.1179,0.0034,3.38
entry_year,2025,132,0.5303,-1.02,1.67,-134.97,0.893,-0.051,50.53,0.2688,-0.0012,3.14
entry_year,2024,180,0.5333,-1.03,3.37,-185.16,0.858,-0.069,51.28,0.2117,-0.003,2.94
entry_year,2023,154,0.487,-2.32,-0.66,-357.67,0.748,-0.131,51.27,0.2946,-0.0006,3.38
entry_year,2022,71,0.4085,-8.0,-12.18,-568.05,0.545,-0.274,50.99,0.342,0.0014,3.31
entry_year,2016,204,0.4706,-3.53,-3.79,-719.49,0.759,-0.118,50.63,0.2566,0.0122,3.13
entry_year,2015,163,0.4785,-6.29,-9.75,-1024.62,0.68,-0.173,51.0,0.3295,0.0067,3.42
entry_year,2021,197,0.4772,-5.34,-4.26,-1052.46,0.622,-0.206,50.71,0.2348,0.0054,3.23
entry_year,2018,171,0.462,-6.93,-5.99,-1184.93,0.589,-0.227,50.82,0.2761,0.0055,3.12
exit_reason,stop_loss,593,0.7926,8.76,14.58,5196.74,2.197,0.339,51.03,0.2402,0.0029,2.49
