run_at,name,git,notes,param_fold,param_start,param_end,param_tickers,param_mode,param_stress,param_use_trade_rules,param_horizon_days,metric_fold,metric_tickers,metric_trades,metric_total_return_pct,metric_alpha_pct,metric_sharpe_ratio_daily,metric_nw_tstat_vs_cash,metric_max_drawdown_pct,metric_kill_all_pass,artifact_trades,artifact_equity,artifact_metrics,artifact_breakdown,artifact_attribution,param_allow_shorts,metric_approved_models,param_horizons,param_execution_horizon,param_weights,artifact_component_predictions_dir,artifact_edge_audit,metric_daily_rank_ic_mean,metric_daily_rank_ic_tstat,artifact_daily_rank_ic
2026-04-25T06:40:32+00:00,rolling_purged_backtest,3167a23,,1.0,2024-01-01,2024-12-31,"[""AMZN""]",long_only,1.0,False,10.0,1.0,1.0,24,7.88,7.88,0.669,0.823,-7.99,False,/Users/amos/Code/Stock Market AI Bot/signals/rolling_purged_2024_2024_long_only_1tickers_trades.csv,/Users/amos/Code/Stock Market AI Bot/signals/rolling_purged_2024_2024_long_only_1tickers_equity.csv,/Users/amos/Code/Stock Market AI Bot/signals/rolling_purged_2024_2024_long_only_1tickers_metrics.json,/Users/amos/Code/Stock Market AI Bot/signals/rolling_purged_2024_2024_long_only_1tickers_ticker_breakdown.csv,/Users/amos/Code/Stock Market AI Bot/signals/rolling_purged_2024_2024_long_only_1tickers_trade_attribution.csv,,,,,,,,,,
2026-04-25T06:51:22+00:00,backtest_walkforward,3167a23,,,,,"[""MSFT"", ""NVDA"", ""AMD"", ""GOOGL"", ""META"", ""AMZN"", ""UNH"", ""INTC""]",long_only,1.0,True,10.0,,,14,-13.26,-332.92,-0.437,-1.09,-14.5,False,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_8tickers_trades.csv,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_8tickers_equity.csv,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_8tickers_metrics.json,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_8tickers_ticker_breakdown.csv,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_8tickers_trade_attribution.csv,False,0.0,,,,,,,,
2026-04-25T07:04:27+00:00,backtest_walkforward,3167a23,,,,,"[""MSFT"", ""NVDA"", ""AMD"", ""GOOGL"", ""META"", ""AMZN"", ""UNH"", ""CAT"", ""MU"", ""INTC""]",long_short,1.0,True,10.0,,,119,22.28,-297.38,0.403,1.299,-12.02,False,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_short_10tickers_trades.csv,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_short_10tickers_equity.csv,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_short_10tickers_metrics.json,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_short_10tickers_ticker_breakdown.csv,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_short_10tickers_trade_attribution.csv,True,0.0,,,,,,,,
2026-04-25T07:08:01+00:00,backtest_walkforward,3167a23,,,,,"[""MSFT"", ""NVDA"", ""AMD"", ""GOOGL"", ""META"", ""AMZN"", ""UNH"", ""CAT"", ""MU"", ""INTC""]",long_only,1.0,True,10.0,,,119,22.28,-297.38,0.403,1.299,-12.02,False,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_trades.csv,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_equity.csv,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_metrics.json,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_ticker_breakdown.csv,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_trade_attribution.csv,False,0.0,,,,,,,,
2026-04-25T07:29:07+00:00,backtest_walkforward,3167a23,,,,,"[""MSFT"", ""NVDA"", ""AMD"", ""GOOGL"", ""META"", ""AMZN"", ""UNH"", ""CAT"", ""MU"", ""INTC""]",long_short,1.0,True,10.0,,,58,10.29,-309.37,0.293,0.971,-6.86,False,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_short_10tickers_trades.csv,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_short_10tickers_equity.csv,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_short_10tickers_metrics.json,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_short_10tickers_ticker_breakdown.csv,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_short_10tickers_trade_attribution.csv,True,0.0,,,,,,,,
2026-04-25T07:31:33+00:00,backtest_walkforward,3167a23,,,,,"[""MSFT"", ""NVDA"", ""AMD"", ""GOOGL"", ""META"", ""AMZN"", ""UNH"", ""CAT"", ""MU"", ""INTC""]",long_short,1.0,True,10.0,,,45,13.67,-305.99,0.557,1.738,-4.63,True,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_short_10tickers_trades.csv,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_short_10tickers_equity.csv,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_short_10tickers_metrics.json,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_short_10tickers_ticker_breakdown.csv,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_short_10tickers_trade_attribution.csv,True,0.0,,,,,,,,
2026-04-25T07:36:02+00:00,backtest_walkforward,3167a23,,,,,"[""MSFT"", ""NVDA"", ""AMD"", ""GOOGL"", ""META"", ""AMZN"", ""UNH"", ""CAT"", ""MU"", ""INTC""]",long_only,1.0,True,10.0,,,45,13.67,-305.99,0.557,1.738,-4.63,True,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_trades.csv,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_equity.csv,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_metrics.json,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_ticker_breakdown.csv,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_trade_attribution.csv,False,0.0,,,,,,,,
2026-04-25T07:37:28+00:00,backtest_walkforward,3167a23,,,,,"[""MSFT"", ""NVDA"", ""AMD"", ""GOOGL"", ""META"", ""AMZN"", ""UNH"", ""CAT"", ""MU"", ""INTC""]",long_only,1.0,True,10.0,,,45,13.67,-305.99,0.557,1.738,-4.63,True,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_trades.csv,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_equity.csv,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_metrics.json,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_ticker_breakdown.csv,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_trade_attribution.csv,False,0.0,,,,,,,,
2026-04-25T07:45:45+00:00,backtest_walkforward,3167a23,,,,,"[""MSFT"", ""NVDA"", ""AMD"", ""GOOGL"", ""META"", ""AMZN"", ""UNH"", ""CAT"", ""MU"", ""INTC""]",long_only,1.0,True,10.0,,,45,13.67,-305.99,0.557,1.738,-4.63,True,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_trades.csv,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_equity.csv,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_metrics.json,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_ticker_breakdown.csv,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_trade_attribution.csv,False,0.0,,,,,,,,
2026-04-25T07:48:22+00:00,backtest_walkforward,3167a23,,,,,"[""MSFT"", ""NVDA"", ""AMD"", ""GOOGL"", ""META"", ""AMZN"", ""UNH"", ""CAT"", ""MU"", ""INTC""]",long_only,1.0,True,10.0,,,45,13.67,-305.99,0.557,1.738,-4.63,True,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_trades.csv,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_equity.csv,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_metrics.json,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_ticker_breakdown.csv,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_trade_attribution.csv,False,0.0,,,,,,,,
2026-04-25T07:59:57+00:00,backtest_walkforward,3167a23,,,,,"[""MSFT"", ""NVDA"", ""AMD"", ""GOOGL"", ""META"", ""AMZN"", ""UNH"", ""CAT"", ""MU"", ""INTC""]",long_only,1.0,True,10.0,,,16,-1.62,-321.28,-0.052,-0.253,-5.9,False,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_trades.csv,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_equity.csv,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_metrics.json,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_ticker_breakdown.csv,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_trade_attribution.csv,False,0.0,,,,,,,,
2026-04-25T08:09:00+00:00,backtest_walkforward,3167a23,,,,,"[""MSFT"", ""NVDA"", ""AMD"", ""GOOGL"", ""META"", ""AMZN"", ""UNH"", ""CAT"", ""MU"", ""INTC""]",long_only,1.0,True,10.0,,,61,-2.44,-322.1,-0.044,-0.162,-9.77,False,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_trades.csv,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_equity.csv,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_metrics.json,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_ticker_breakdown.csv,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_trade_attribution.csv,False,0.0,,,,,,,,
2026-04-25T08:11:09+00:00,backtest_walkforward,3167a23,,,,,"[""MSFT"", ""NVDA"", ""AMD"", ""GOOGL"", ""META"", ""AMZN"", ""UNH"", ""CAT"", ""MU"", ""INTC""]",long_only,1.0,True,10.0,,,61,-2.44,-322.1,-0.044,-0.162,-9.77,False,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_trades.csv,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_equity.csv,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_metrics.json,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_ticker_breakdown.csv,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_trade_attribution.csv,False,0.0,,,,,,,,
2026-04-25T08:17:26+00:00,backtest_walkforward,3167a23,,,,,"[""MSFT"", ""NVDA"", ""AMD"", ""GOOGL"", ""META"", ""AMZN"", ""UNH"", ""CAT"", ""MU"", ""INTC""]",long_only,1.0,True,10.0,,,61,-2.44,-322.1,-0.044,-0.162,-9.77,False,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_trades.csv,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_equity.csv,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_metrics.json,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_ticker_breakdown.csv,/Users/amos/Code/Stock Market AI Bot/signals/walkforward_long_only_10tickers_trade_attribution.csv,False,0.0,,,,,,,,
