date,equity
2010-01-04,10000.0
2010-01-18,9956.131914353704
2010-02-02,9449.181702034099
2010-02-16,9306.640223550672
2010-03-03,9642.768732935065
2010-03-17,10015.514522631938
2010-03-31,9985.250487423371
2010-04-14,10885.49516761115
2010-04-29,11029.341094134174
2010-05-13,10395.687251570804
2010-05-27,9981.045142155921
2010-06-10,9884.464732962902
2010-06-25,9855.866876608268
2010-07-09,9905.539670154702
2010-07-26,10073.087393733034
2010-08-09,10228.47907636882
2010-08-23,9427.041232787216
2010-09-06,9439.859499430759
2010-09-21,9869.025310913994
2010-10-05,10246.225763840037
2010-10-19,10695.667694502681
2010-11-02,11200.309825619162
2010-11-16,11093.101754897623
2010-11-30,11513.54467572319
2010-12-15,11913.173018459096
2010-12-29,12285.90717185053
2011-01-13,12820.851487321914
2011-01-27,12304.9447743869
2011-02-11,12861.552480629633
2011-02-25,12394.42754796896
2011-03-14,11902.053511958571
2011-03-28,12512.86521449264
2011-04-11,12492.430998381307
2011-04-25,12743.38939280041
2011-05-10,12493.37937053248
2011-05-24,11747.082660371483
2011-06-07,11524.616709786493
2011-06-22,11649.312122459216
2011-07-06,12680.329466457291
2011-07-21,12497.732458029936
2011-08-04,10852.379066929365
2011-08-18,10263.207566319958
2011-09-01,10881.864309268885
2011-09-15,11075.304641095592
2011-09-30,10202.392035204615
2011-10-14,11361.973392583355
2011-10-28,11726.03508046367
2011-11-11,11759.677585501553
2011-11-25,10755.109502543162
2011-12-12,11124.220674662638
2011-12-26,11282.06341574459
2012-01-10,11375.239995597014
2012-01-25,11728.453332086534
2012-02-09,12424.863943710758
2012-02-23,12694.691166575856
2012-03-09,12897.749146680246
2012-03-23,13215.566002300737
2012-04-06,13194.817702412092
2012-04-23,13022.589956811544
2012-05-07,12991.606414931155
2012-05-21,12288.503764424324
2012-06-04,11827.05480227182
2012-06-19,12564.780403454753
2012-07-03,12750.391534066575
2012-07-17,12590.801498149061
2012-08-01,12715.631913002824
2012-08-15,13500.407819932776
2012-08-29,13878.030856669591
2012-09-12,14237.999087180931
2012-09-27,14190.287194518622
2012-10-11,13689.644020231943
2012-10-25,13342.13455508991
2012-11-08,12907.288146346174
2012-11-26,13309.969501721658
2012-12-11,13737.929886416327
2012-12-25,13698.6649018743
2013-01-09,14168.20177541487
2013-01-24,14409.998575581709
2013-02-08,14932.949012485451
2013-02-22,14468.146918049633
2013-03-11,15419.604105319397
2013-03-25,15355.436468600654
2013-04-08,15184.511709924263
2013-04-23,15338.255150406889
2013-05-07,15983.256452209327
2013-05-21,16586.397199666008
2013-06-04,15909.368644208478
2013-06-19,16525.07856197332
2013-07-03,16485.113711717764
2013-07-17,17191.78807430614
2013-08-01,17493.765970896497
2013-08-15,17408.476027940873
2013-08-29,17304.062749366734
2013-09-12,18530.0541434087
2013-09-27,18841.334449751288
2013-10-11,18923.38025162204
2013-10-25,19778.114688188918
2013-11-08,20178.17903577185
2013-11-22,21389.051269310672
2013-12-06,22261.743025432996
2013-12-23,22368.711508095148
2014-01-06,22746.848912185993
2014-01-22,23030.472607810163
2014-02-06,22545.059968745947
2014-02-20,23596.567054679286
2014-03-07,24007.30090452545
2014-03-21,23629.197922459633
2014-04-04,22894.917100860865
2014-04-18,23031.645918919145
2014-05-05,23183.41214674267
2014-05-19,22674.38818852962
2014-06-02,23554.84013236646
2014-06-17,24975.152543158674
2014-07-01,25820.662535451538
2014-07-15,25293.692373294478
2014-07-30,26037.86200259982
2014-08-13,26832.22256505811
2014-08-27,27612.12532387943
2014-09-10,28378.564147441226
2014-09-25,27230.987226452733
2014-10-09,26690.187586001637
2014-10-23,26713.61226201048
2014-11-06,28151.027271278723
2014-11-20,28286.009637015388
2014-12-04,28570.10107546818
2014-12-19,28325.0979157353
2015-01-02,27583.35599768273
2015-01-20,28259.909020654588
2015-02-04,28025.45372887802
2015-02-18,29817.580421451956
2015-03-05,31176.806983934766
2015-03-19,31057.244356619645
2015-04-02,29365.36173085981
2015-04-16,30029.113244535623
2015-05-01,30697.517009531428
2015-05-15,31088.73879142679
2015-05-29,32242.017262551966
2015-06-15,31744.53523204814
2015-06-29,30571.281060486806
2015-07-13,31208.50271260156
2015-07-28,31147.862707439195
2015-08-11,30729.33630960533
2015-08-25,26357.662231569597
2015-09-08,27398.87789733181
2015-09-23,27659.16930951906
2015-10-07,28900.94300780385
2015-10-21,29401.452611078064
2015-11-04,30578.775326306433
2015-11-18,30614.40361367526
2015-12-02,31965.72813859378
2015-12-17,31134.341960360354
2015-12-31,31253.768205785753
2016-01-18,30734.238065281796
2016-02-02,31824.111892048437
2016-02-16,32513.289395833617
2016-03-02,33532.76906083585
2016-03-16,34496.09411371463
2016-03-30,35076.89596402133
2016-04-14,36249.72312358369
2016-04-28,33489.817795789575
2016-05-12,32718.381921826942
2016-05-26,35731.38021266926
2016-06-09,35801.428819709654
2016-06-24,35514.92938336588
2016-07-08,37523.28790139539
2016-07-25,41190.22207704737
2016-08-08,42424.66215677871
2016-08-22,44113.17713858076
2016-09-05,43684.67382730017
2016-09-20,41813.45769155728
2016-10-04,43990.21870857347
2016-10-18,43333.135149127884
2016-11-01,43933.75219540124
2016-11-15,44847.63706024208
2016-11-29,49444.97132297959
2016-12-14,53498.60111602572
2016-12-28,54530.53053353581
2017-01-12,55443.670379667215
2017-01-27,57837.200885919774
2017-02-13,61957.580627058764
2017-02-27,61489.684904667745
2017-03-14,59338.07095520502
2017-03-28,59492.42530369597
2017-04-11,59893.681839177996
2017-04-25,61856.20779057596
2017-05-10,58903.28283018456
2017-05-24,59685.811357510865
2017-06-07,63875.95867210192
2017-06-22,64090.04826783286
2017-07-06,61794.560382502335
2017-07-21,65496.77007951817
2017-08-04,63996.031256197784
2017-08-18,61310.58917886462
2017-09-01,64396.53396437437
2017-09-15,66316.98493020116
2017-10-02,65336.130451629
2017-10-16,69832.44596045528
2017-10-30,67910.21805196471
2017-11-13,69698.33034498389
2017-11-27,70721.75015272753
2017-12-12,67127.38762759745
2017-12-26,67937.88434668494
2018-01-10,72776.27086299386
2018-01-25,77964.1682783581
2018-02-09,70491.53290833026
2018-02-23,78669.87220830542
2018-03-12,83948.6610690129
2018-03-26,78750.67930010555
2018-04-09,73224.99083349796
2018-04-24,72312.94643038957
2018-05-08,74985.53413190956
2018-05-22,76703.26268711562
2018-06-05,82586.19070229912
2018-06-20,83582.81039408891
2018-07-04,82484.96407275052
2018-07-19,82709.89055400806
2018-08-02,81733.0800754573
2018-08-16,79860.55459441419
2018-08-30,85972.37524941146
2018-09-13,82434.63353147513
2018-09-28,84242.23375937692
2018-10-12,75786.36345376563
2018-10-26,67049.2558251952
2018-11-09,69860.69172724524
2018-11-23,66823.74889836913
2018-12-10,66149.3261070285
2018-12-25,66109.11713161055
2019-01-09,68883.98815321151
2019-01-24,69822.9162507198
2019-02-08,71670.61443142268
2019-02-22,73780.22410247162
2019-03-11,72918.85216085357
2019-03-25,76656.51588257511
2019-04-08,80285.18933431395
2019-04-22,81618.44513956942
2019-05-07,79076.89482946644
2019-05-21,78927.54401328234
2019-06-04,78570.41005273626
2019-06-19,84548.80787730907
2019-07-03,86071.15680107457
2019-07-17,88237.02256022516
2019-08-01,83941.05485596572
2019-08-15,80061.62806323556
2019-08-29,84012.70603521349
2019-09-12,85091.06961890472
2019-09-27,83221.39939308733
2019-10-11,86416.82732334628
2019-10-25,85469.35640002435
2019-11-08,87955.65046292495
2019-11-22,91478.30686853161
2019-12-06,91815.10803509253
2019-12-23,98525.10059792324
2020-01-06,101571.49136258053
2020-01-22,106660.71554797763
2020-02-06,107773.57972225038
2020-02-20,112758.45667695717
2020-03-06,102857.35556915976
2020-03-20,78908.95624584297
2020-04-03,84275.25634471753
2020-04-17,96537.35205744902
2020-05-04,96282.31997181733
2020-05-18,98662.02710008157
2020-06-01,101659.45617966236
2020-06-16,103498.68583774542
2020-06-30,103301.30193326995
2020-07-14,108471.06531254403
2020-07-29,110756.84419807211
2020-08-12,117969.30096449208
2020-08-26,127611.98149295988
2020-09-09,118934.93057916561
2020-09-24,116331.77073067507
2020-10-08,122412.61748079739
2020-10-22,124931.25344695343
2020-11-05,130155.42432253015
2020-11-19,131454.01669735057
2020-12-03,133681.24231809957
2020-12-18,133979.37420138041
2021-01-01,141009.4142113577
2021-01-19,145479.58350683164
2021-02-03,143426.57382005162
2021-02-17,154400.16077390662
2021-03-04,141008.49787815142
2021-03-18,146700.8343950879
2021-04-01,151674.63023885188
2021-04-15,159485.65819716392
2021-04-30,159378.8592767577
2021-05-14,160104.72580957253
2021-05-28,164855.6488474352
2021-06-11,165057.24410698374
2021-06-28,166091.40073538988
2021-07-12,166353.52910691992
2021-07-27,167156.3087224856
2021-08-10,172106.79366982548
2021-08-24,170712.1774611874
2021-09-07,172359.50017643417
2021-09-22,166381.0871537087
