preset,defensive_mix,enter_threshold,exit_threshold,neutral_threshold,vol_target,total_return_pct,cagr_pct,sharpe,sortino,max_drawdown_pct,alpha_vs_spy_pct,alpha_vs_qqq_pct,alpha_vs_blend_pct,nw_tstat_vs_blend,max_gross_exposure_used,avg_gross_exposure,turnover_pct,estimated_cost_pct,paper_ready
limited_leverage,bil_ief_gld,0.55,0.45000000000000007,0.5,0.15,39.55,3.03,0.364,0.405,-26.46,-272.64,-535.76,-377.89,-2.711,1.25,1.002,58043.45,58.0435,False
limited_leverage,bil_ief_gld,0.5,0.4,0.45,0.15,38.8,2.98,0.358,0.4,-28.73,-273.39,-536.51,-378.64,-2.738,1.25,1.002,58034.82,58.0348,False
conservative_unlevered,bil_ief_gld,0.55,0.45000000000000007,0.5,0.15,34.52,2.69,0.391,0.448,-21.98,-277.68,-540.8,-382.93,-2.84,1.0,0.945,51204.78,51.2048,False
conservative_unlevered,bil_ief_gld,0.5,0.4,0.45,0.15,30.85,2.44,0.356,0.41,-23.8,-281.35,-544.47,-386.6,-2.906,1.0,0.943,51321.77,51.3218,False
defensive_trend,bil_ief_gld,0.5,0.4,0.45,0.15,28.45,2.27,0.319,0.366,-26.67,-283.75,-546.87,-389.0,-2.895,1.2,0.99,49999.17,49.9992,False
defensive_trend,bil_ief_gld,0.55,0.45000000000000007,0.5,0.15,25.83,2.08,0.297,0.339,-23.55,-286.37,-549.49,-391.62,-2.915,1.2,0.99,49676.49,49.6765,False
limited_leverage,bil_only,0.5,0.4,0.45,0.15,24.13,1.95,0.261,0.228,-31.82,-288.07,-551.19,-393.32,-2.943,1.25,1.002,58034.82,58.0348,False
limited_leverage,bil_ief,0.5,0.4,0.45,0.15,20.76,1.7,0.229,0.25,-30.52,-291.43,-554.55,-396.68,-2.987,1.25,1.002,58034.82,58.0348,False
limited_leverage,bil_ief,0.55,0.45000000000000007,0.5,0.15,19.44,1.6,0.22,0.238,-27.88,-292.76,-555.88,-398.01,-2.989,1.25,1.002,58043.45,58.0435,False
conservative_unlevered,bil_only,0.5,0.4,0.45,0.15,17.01,1.42,0.238,0.208,-26.96,-295.18,-558.3,-400.43,-3.111,1.0,0.943,51321.77,51.3218,False
limited_leverage,bil_only,0.55,0.45000000000000007,0.5,0.15,16.48,1.38,0.198,0.172,-29.8,-295.71,-558.83,-400.96,-3.045,1.25,1.002,58043.45,58.0435,False
conservative_unlevered,bil_ief_gld,0.6,0.5,0.5499999999999999,0.15,15.66,1.31,0.216,0.251,-21.07,-296.54,-559.66,-401.79,-3.1,1.0,0.948,49864.75,49.8647,False
conservative_unlevered,bil_ief,0.55,0.45000000000000007,0.5,0.15,15.13,1.27,0.211,0.234,-23.48,-297.07,-560.19,-402.32,-3.12,1.0,0.945,51204.78,51.2048,False
limited_leverage,bil_ief_gld,0.6,0.5,0.5499999999999999,0.15,14.74,1.24,0.182,0.204,-25.46,-297.46,-560.58,-402.71,-3.061,1.25,1.0,56565.2,56.5652,False
limited_leverage,bil_ief_gld,0.5,0.4,0.45,0.12,13.89,1.17,0.18,0.197,-27.6,-298.3,-561.42,-403.55,-3.116,1.25,0.954,55482.32,55.4823,False
conservative_unlevered,bil_ief,0.5,0.4,0.45,0.15,13.84,1.17,0.196,0.218,-25.72,-298.36,-561.48,-403.6,-3.155,1.0,0.943,51321.77,51.3218,False
defensive_trend,bil_ief_gld,0.6,0.5,0.5499999999999999,0.15,12.75,1.08,0.179,0.208,-21.86,-299.45,-562.57,-404.7,-3.097,1.2,0.99,47873.66,47.8737,False
conservative_unlevered,bil_only,0.55,0.45000000000000007,0.5,0.15,12.28,1.04,0.185,0.161,-25.36,-299.91,-563.04,-405.16,-3.176,1.0,0.945,51204.78,51.2048,False
limited_leverage,bil_ief_gld,0.5,0.4,0.45,0.1,12.01,1.02,0.172,0.19,-25.34,-300.19,-563.31,-405.44,-3.154,1.25,0.91,52484.6,52.4846,False
conservative_unlevered,bil_ief_gld,0.5,0.4,0.45,0.12,11.75,1.0,0.18,0.203,-22.61,-300.45,-563.57,-405.69,-3.184,1.0,0.905,49310.38,49.3104,False
conservative_unlevered,bil_ief_gld,0.5,0.4,0.45,0.1,11.29,0.96,0.187,0.216,-19.92,-300.9,-564.02,-406.15,-3.179,1.0,0.867,46899.79,46.8998,False
defensive_trend,bil_ief_gld,0.5,0.4,0.45,0.12,8.54,0.74,0.138,0.154,-24.09,-303.66,-566.78,-408.91,-3.19,1.2,0.944,47783.84,47.7838,False
conservative_unlevered,bil_ief_gld,0.55,0.45000000000000007,0.5,0.1,7.88,0.68,0.141,0.162,-21.2,-304.32,-567.44,-409.57,-3.232,1.0,0.872,46843.58,46.8436,False
defensive_trend,bil_ief_gld,0.5,0.4,0.45,0.1,7.51,0.65,0.133,0.15,-21.95,-304.69,-567.81,-409.93,-3.205,1.2,0.902,45597.7,45.5977,False
conservative_unlevered,bil_ief_gld,0.55,0.45000000000000007,0.5,0.12,6.2,0.54,0.113,0.126,-23.51,-305.99,-569.11,-411.24,-3.275,1.0,0.908,49208.12,49.2081,False
defensive_trend,bil_ief,0.5,0.4,0.45,0.15,5.3,0.46,0.099,0.11,-29.97,-306.89,-570.01,-412.14,-3.251,1.2,0.99,55932.22,55.9322,False
limited_leverage,bil_ief_gld,0.55,0.45000000000000007,0.5,0.1,4.17,0.37,0.086,0.094,-27.02,-308.02,-571.14,-413.27,-3.284,1.25,0.913,52433.59,52.4336,False
defensive_trend,bil_only,0.5,0.4,0.45,0.15,3.69,0.32,0.081,0.072,-32.04,-308.51,-571.63,-413.76,-3.285,1.2,0.99,60226.96,60.227,False
limited_leverage,bil_ief_gld,0.55,0.45000000000000007,0.5,0.12,2.72,0.24,0.071,0.076,-28.78,-309.47,-572.6,-414.72,-3.304,1.25,0.954,55415.69,55.4157,False
defensive_trend,bil_ief,0.55,0.45000000000000007,0.5,0.15,1.4,0.12,0.055,0.061,-26.54,-310.79,-573.91,-416.04,-3.3,1.2,0.99,55682.4,55.6824,False
limited_leverage,bil_only,0.5,0.4,0.45,0.12,1.02,0.09,0.051,0.043,-31.56,-311.18,-574.3,-416.43,-3.344,1.25,0.954,55482.32,55.4823,False
limited_leverage,bil_only,0.5,0.4,0.45,0.1,0.35,0.03,0.039,0.033,-29.47,-311.85,-574.97,-417.09,-3.365,1.25,0.91,52484.6,52.4846,False
conservative_unlevered,bil_ief_gld,0.6,0.5,0.5499999999999999,0.12,0.19,0.02,0.036,0.04,-22.39,-312.01,-575.13,-417.26,-3.359,1.0,0.911,47365.45,47.3654,False
defensive_trend,bil_ief_gld,0.55,0.45000000000000007,0.5,0.1,-0.09,-0.01,0.031,0.035,-26.17,-312.28,-575.4,-417.53,-3.336,1.2,0.905,45396.63,45.3966,False
conservative_unlevered,bil_only,0.5,0.4,0.45,0.1,-0.29,-0.03,0.022,0.019,-24.38,-312.48,-575.61,-417.73,-3.388,1.0,0.867,46899.79,46.8998,False
conservative_unlevered,bil_only,0.5,0.4,0.45,0.12,-0.88,-0.08,0.018,0.015,-27.01,-313.08,-576.2,-418.33,-3.412,1.0,0.905,49310.38,49.3104,False
conservative_unlevered,bil_ief,0.6,0.5,0.5499999999999999,0.15,-1.12,-0.1,0.02,0.022,-23.39,-313.32,-576.44,-418.57,-3.375,1.0,0.948,49864.75,49.8647,False
defensive_trend,bil_ief_gld,0.6,0.5,0.5499999999999999,0.12,-1.82,-0.16,0.011,0.012,-22.61,-314.01,-577.13,-419.26,-3.346,1.2,0.945,45323.41,45.3234,False
limited_leverage,bil_ief,0.6,0.5,0.5499999999999999,0.15,-1.9,-0.17,0.024,0.027,-27.65,-314.1,-577.22,-419.35,-3.334,1.25,1.0,56565.2,56.5652,False
limited_leverage,bil_ief,0.5,0.4,0.45,0.12,-2.12,-0.19,0.018,0.019,-29.51,-314.32,-577.44,-419.57,-3.391,1.25,0.954,55482.32,55.4823,False
conservative_unlevered,bil_ief_gld,0.6,0.5,0.5499999999999999,0.1,-2.2,-0.2,-0.004,-0.004,-21.06,-314.4,-577.52,-419.65,-3.39,1.0,0.877,45248.77,45.2488,False
defensive_trend,bil_ief_gld,0.55,0.45000000000000007,0.5,0.12,-2.58,-0.23,0.004,0.004,-28.21,-314.78,-577.9,-420.03,-3.385,1.2,0.945,47484.35,47.4844,False
limited_leverage,bil_ief_gld,0.6,0.5,0.5499999999999999,0.12,-2.96,-0.27,0.007,0.008,-26.28,-315.15,-578.27,-420.4,-3.39,1.25,0.954,53385.76,53.3858,False
limited_leverage,bil_ief,0.5,0.4,0.45,0.1,-3.15,-0.29,-0.003,-0.003,-27.31,-315.34,-578.46,-420.59,-3.419,1.25,0.91,52484.6,52.4846,False
conservative_unlevered,bil_ief,0.5,0.4,0.45,0.1,-3.76,-0.34,-0.031,-0.034,-21.94,-315.96,-579.08,-421.21,-3.442,1.0,0.867,46899.79,46.8998,False
conservative_unlevered,bil_ief,0.5,0.4,0.45,0.12,-3.96,-0.36,-0.023,-0.025,-24.65,-316.16,-579.28,-421.41,-3.46,1.0,0.905,49310.38,49.3104,False
defensive_trend,bil_ief_gld,0.6,0.5,0.5499999999999999,0.1,-4.52,-0.41,-0.035,-0.04,-22.0,-316.72,-579.84,-421.97,-3.393,1.2,0.908,43545.31,43.5453,False
conservative_unlevered,bil_only,0.6,0.5,0.5499999999999999,0.15,-5.25,-0.48,-0.041,-0.035,-24.38,-317.45,-580.57,-422.7,-3.466,1.0,0.948,49864.75,49.8647,False
defensive_trend,bil_only,0.55,0.45000000000000007,0.5,0.15,-5.4,-0.5,-0.03,-0.026,-29.48,-317.59,-580.71,-422.84,-3.435,1.2,0.99,60116.04,60.116,False
limited_leverage,bil_only,0.6,0.5,0.5499999999999999,0.15,-6.0,-0.55,-0.023,-0.02,-29.21,-318.2,-581.32,-423.45,-3.424,1.25,1.0,56565.2,56.5652,False
limited_leverage,bil_ief_gld,0.6,0.5,0.5499999999999999,0.1,-6.37,-0.59,-0.045,-0.049,-25.45,-318.56,-581.69,-423.81,-3.46,1.25,0.915,50641.54,50.6415,False
conservative_unlevered,bil_ief,0.55,0.45000000000000007,0.5,0.1,-8.13,-0.76,-0.103,-0.113,-23.84,-320.33,-583.45,-425.58,-3.523,1.0,0.872,46843.58,46.8436,False
