feature,grade,mean_ic,t_stat,rolling_252d_hit_rate,rolling_252d_stability,regime_stable,bull_ic,bear_ic,ic_half_life_days,decays_fast,turnover_pct,high_turnover
factor_liquidity_dollar_vol_20d,A,0.017541,8.8327,0.8271,1.0132,True,0.019008,0.016233,5.0,True,14.7,False
xs_rank_market_factor_liquidity_dollar_vol_20d,A,0.017541,8.8327,0.8271,1.0132,True,0.019008,0.016233,5.0,True,14.7,False
xs_rank_market_factor_illiquidity_amihud_20d,A,0.016536,7.3498,0.777,0.8009,True,0.016222,0.016816,5.0,True,15.1,False
factor_illiquidity_amihud_20d,A,0.016536,7.3498,0.777,0.8009,True,0.016222,0.016816,5.0,True,15.1,False
dist_ma5,A,0.012148,5.3295,0.8907,1.1267,True,0.01358,0.010872,20.0,False,87.0,True
ret_3d,A,0.011115,4.8857,0.8859,1.0833,True,0.010281,0.011859,20.0,False,86.9,True
dist_ma10,A,0.012228,5.2789,0.8221,0.8957,True,0.012005,0.012426,20.0,False,88.6,True
xs_rank_sector_factor_illiquidity_amihud_20d,A,0.017439,6.9441,0.7206,0.7238,True,0.017328,0.017537,5.0,True,9.7,False
ret_1d,A,0.009835,4.3849,0.8664,1.1476,True,0.012875,0.007126,20.0,False,87.9,True
xs_rank_sector_factor_liquidity_dollar_vol_20d,A,0.013778,6.2369,0.7547,0.638,True,0.015214,0.0125,5.0,True,15.6,False
ret_vs_sector_1d,A,0.010549,4.0621,0.8739,1.1298,True,0.013608,0.007825,20.0,False,86.9,True
xs_rank_sector_factor_mom_12_1,A,0.013453,4.599,0.7512,0.6176,True,0.012965,0.013888,,False,19.9,False
rsi_divergence,A,0.012539,5.9148,0.8201,0.9421,True,0.01674,0.008781,20.0,False,92.7,True
ret_5d,B,0.010979,4.8111,0.8577,0.9467,True,0.011724,0.010315,20.0,False,88.6,True
xs_rank_market_ret_5d,B,0.010979,4.8111,0.8577,0.9467,True,0.011724,0.010315,20.0,False,88.6,True
ret_vs_spy_5d,B,0.010946,4.7989,0.8575,0.9451,True,0.011671,0.0103,20.0,False,88.6,True
ret_vs_qqq_5d,B,0.010922,4.7893,0.8577,0.9447,True,0.011649,0.010273,20.0,False,88.6,True
xs_rank_sector_ret_5d,B,0.011123,4.4755,0.8185,0.8253,True,0.012253,0.010117,20.0,False,87.0,True
ret_vs_sector_5d,B,0.011908,4.4945,0.8384,0.9012,True,0.013252,0.01071,20.0,False,86.3,True
sector_rs_slope_5d,B,0.011861,4.4785,0.8356,0.892,True,0.013264,0.010611,20.0,False,86.5,True
macd_hist,B,0.010109,4.7027,0.7388,0.5503,True,0.010176,0.01005,10.0,True,80.1,True
vwap_dist,B,0.010433,4.3896,0.7147,0.6147,True,0.008822,0.011874,5.0,True,77.6,True
vol_trend_20_60,B,0.011671,5.6073,0.7687,0.6698,True,0.017571,0.006401,,False,60.3,True
uptick_ratio,B,0.006575,3.098,0.7092,0.5195,True,0.005552,0.007486,20.0,False,88.1,True
dist_ma20,B,0.010293,4.3424,0.6973,0.608,True,0.008786,0.011641,5.0,True,77.1,True
rsi_7,B,0.007992,3.6607,0.7347,0.503,True,0.007684,0.008268,,False,91.4,True
ret_10d,B,0.010315,4.4072,0.7594,0.6345,True,0.008397,0.012027,,False,89.3,True
xs_rank_market_ret_10d,B,0.010315,4.4072,0.7594,0.6345,True,0.008397,0.012027,,False,89.3,True
xs_rank_sector_factor_resid_mom_sector_12_1,B,0.011597,3.8885,0.7514,0.496,True,0.010603,0.012482,,False,18.9,False
xs_rank_market_factor_mom_12_1,B,0.010556,3.6185,0.7095,0.4638,True,0.009589,0.011427,,False,17.8,False
factor_mom_12_1,B,0.010556,3.6185,0.7095,0.4638,True,0.009589,0.011427,,False,17.8,False
xs_rank_sector_ret_10d,B,0.009163,3.6293,0.7386,0.5185,True,0.006341,0.011676,,False,88.6,True
xs_rank_sector_factor_beta_252_spy,B,0.010731,3.7791,0.6563,0.3548,True,0.01045,0.010981,5.0,True,6.8,False
xs_rank_market_factor_resid_mom_sector_12_1,B,0.009759,3.1357,0.7218,0.3992,True,0.009,0.010444,,False,15.2,False
factor_resid_mom_sector_12_1,B,0.009759,3.1357,0.7218,0.3992,True,0.009,0.010444,,False,15.2,False
bb_pos,C,0.007344,3.2734,0.6559,0.4215,True,0.005664,0.008847,,False,89.0,True
xs_rank_sector_factor_idio_vol_252_spy,C,0.00885,2.933,0.596,0.244,True,0.005791,0.011574,5.0,True,5.4,False
ret_vs_spy_20d,C,0.004192,1.7763,0.5736,0.2255,True,0.000783,0.00724,,False,65.7,True
ret_vs_qqq_20d,C,0.004177,1.7701,0.5731,0.2245,True,0.000737,0.007253,,False,65.7,True
rsi_14,C,0.005568,2.4624,0.5961,0.2809,True,0.004031,0.006942,5.0,True,81.3,True
xs_rank_market_rsi_14,C,0.005568,2.4624,0.5961,0.2809,True,0.004031,0.006942,5.0,True,81.3,True
xs_rank_market_factor_idio_vol_252_spy,F,0.001578,0.5896,0.501,-0.0092,False,-0.00145,0.004297,5.0,True,4.1,False
