group_type,group,trades,win_rate,avg_pnl,median_pnl,total_pnl,profit_factor,raw_sharpe_proxy,avg_confidence,avg_expected_return,avg_rank_score,avg_holding_days
confidence_decile,C10,86,0.6047,2.17,10.21,186.47,1.199,0.074,53.95,0.1081,-0.0051,3.28
confidence_decile,C7,85,0.5176,0.37,2.45,31.66,1.028,0.012,51.25,0.2258,-0.0036,3.29
confidence_decile,C8,85,0.5882,-0.39,10.03,-32.97,0.971,-0.012,51.76,0.2071,-0.0038,2.95
confidence_decile,C4,85,0.4706,-1.87,-1.65,-159.0,0.877,-0.058,50.35,0.2914,-0.0006,3.07
confidence_decile,C6,85,0.4941,-2.43,-1.59,-206.29,0.849,-0.069,50.77,0.2582,-0.0054,3.59
confidence_decile,C9,85,0.5882,-3.43,8.73,-291.32,0.759,-0.113,52.48,0.1881,-0.0071,3.04
confidence_decile,C3,85,0.5294,-3.43,7.18,-291.74,0.8,-0.098,50.21,0.3012,-0.0065,2.96
confidence_decile,C1,86,0.4419,-4.09,-4.18,-351.87,0.71,-0.146,50.07,0.2247,-0.0045,3.42
confidence_decile,C5,85,0.4824,-4.19,-0.56,-355.74,0.726,-0.132,50.53,0.3132,-0.005,3.19
confidence_decile,C2,85,0.4824,-6.38,-5.0,-541.99,0.576,-0.241,50.14,0.1828,-0.003,3.02
entry_year,2020,15,0.6,4.52,11.47,67.84,1.394,0.144,51.59,-0.116,-0.0077,2.73
entry_year,2022,3,1.0,20.13,26.82,60.39,,1.883,51.6,0.2033,0.0107,3.67
entry_year,2021,26,0.5385,0.63,11.11,16.47,1.033,0.014,50.86,0.1477,-0.0074,3.08
entry_year,2019,94,0.4894,-0.6,-0.64,-55.99,0.95,-0.022,50.42,0.3,-0.0054,3.27
entry_year,2017,197,0.5685,-1.08,7.31,-213.71,0.903,-0.044,52.1,0.0846,-0.0056,3.32
entry_year,2016,196,0.5255,-1.26,2.44,-247.92,0.903,-0.044,50.8,0.278,0.0013,3.19
entry_year,2015,166,0.488,-3.76,-2.94,-624.62,0.788,-0.105,51.2,0.3155,-0.0058,3.39
entry_year,2018,155,0.4839,-6.55,-1.65,-1015.25,0.642,-0.185,50.77,0.2674,-0.0077,2.77
exit_reason,take_profit,329,1.0,26.11,22.88,8591.1,,1.864,51.27,0.2263,-0.0049,2.36
exit_reason,time_exit,277,0.4116,-3.8,-4.28,-1052.96,0.623,-0.184,51.18,0.266,-0.0044,5.0
exit_reason,stop_loss,246,0.0,-38.82,-34.24,-9550.93,0.0,-2.565,50.97,0.1941,-0.0039,2.23
expected_return_decile,E10,86,0.593,4.82,11.59,414.26,1.385,0.138,51.15,0.7445,-0.0083,3.48
expected_return_decile,E8,85,0.6353,3.21,10.62,273.19,1.316,0.12,51.02,0.3855,-0.0032,2.94
expected_return_decile,E9,85,0.5882,1.1,8.75,93.49,1.091,0.037,50.95,0.4761,-0.0029,3.22
expected_return_decile,E3,85,0.5529,-1.89,7.8,-160.49,0.854,-0.066,51.41,0.088,-0.0053,3.24
expected_return_decile,E6,85,0.4824,-2.27,-3.26,-192.75,0.832,-0.08,50.82,0.2694,-0.0062,3.6
expected_return_decile,E2,85,0.5294,-2.69,4.87,-229.07,0.83,-0.08,51.73,-0.0355,-0.0049,3.06
