date,entry_date,exit_date,ticker,signal,signal_quality,confidence,expected_return,rank_score,rank_orientation,rank_orientation_corr,conformal_singleton,conformal_set_size,conformal_qhat,position_pct,regime_state,entry_price,exit_price,holding_days,net_pnl,exit_reason,sector,capacity_warning
2015-02-06,2015-02-09,2015-02-10,GM,LONG,HIGH,51.43,0.32,0.0559,1.0,,True,1,0.5138209462165833,20.0,neutral,27.6093,28.1934,1,41.65,take_profit,XLY,False
2015-02-09,2015-02-10,2015-02-11,MU,LONG,HIGH,51.18,0.32,0.0204,1.0,,False,2,0.5138209462165833,20.0,neutral,28.4268,29.3559,1,64.81,take_profit,XLK,False
2015-02-10,2015-02-11,2015-02-19,PH,LONG,HIGH,50.5,0.45,0.0074,1.0,,False,2,0.5138209462165833,20.0,neutral,101.4726,102.8494,5,27.46,time_exit,XLI,False
2015-02-13,2015-02-17,2015-02-20,LYV,LONG,HIGH,50.13,0.53,0.0177,1.0,,False,2,0.5138209462165833,20.0,bull,25.1064,25.5548,3,35.52,take_profit,XLC,False
2015-02-12,2015-02-13,2015-02-23,AVGO,LONG,HIGH,50.04,0.37,0.0158,1.0,,False,2,0.5138209462165833,20.0,neutral,8.3064,8.4911,5,42.62,time_exit,XLK,False
2015-02-18,2015-02-19,2015-02-24,MU,LONG,HIGH,51.5,0.09,0.031,1.0,,True,1,0.5138209462165833,20.0,bull,31.3775,30.0886,3,-84.1,stop_loss,XLK,False
2015-02-19,2015-02-20,2015-02-25,CHTR,LONG,HIGH,50.62,0.55,0.0199,1.0,,False,2,0.5138209462165833,20.0,bull,175.0341,179.7357,3,54.49,take_profit,XLC,False
2015-02-20,2015-02-23,2015-03-02,AMD,LONG,HIGH,51.49,0.12,0.0385,1.0,,True,1,0.5138209462165833,14.74,bull,3.0565,3.2029,5,67.26,time_exit,XLK,False
2015-02-24,2015-02-25,2015-03-04,WELL,LONG,HIGH,52.18,0.2,0.0606,1.0,,True,1,0.5138209462165833,20.0,bull,50.5291,50.2492,5,-11.7,time_exit,XLRE,False
2015-03-03,2015-03-04,2015-03-06,PH,LONG,HIGH,50.57,0.18,-0.0072,1.0,,False,2,0.5138209462165833,20.0,bull,102.6348,101.1013,2,-30.91,stop_loss,XLI,False
2015-03-02,2015-03-03,2015-03-10,AVGO,LONG,HIGH,51.47,-0.06,0.0271,1.0,,True,1,0.5138209462165833,18.62,bull,9.684,9.4141,5,-55.33,time_exit,XLK,False
2015-03-06,2015-03-09,2015-03-10,ETN,LONG,HIGH,50.1,0.22,-0.0031,1.0,,False,2,0.5138209462165833,20.0,neutral,52.7932,51.9395,1,-33.43,stop_loss,XLI,False
2015-03-09,2015-03-10,2015-03-16,AMGN,LONG,HIGH,51.87,-0.01,-0.0079,1.0,,True,1,0.5138209462165833,20.0,neutral,111.3172,112.7274,4,25.68,take_profit,XLV,False
2015-03-13,2015-03-16,2015-03-18,UPS,LONG,HIGH,50.48,0.37,-0.0062,1.0,,False,2,0.5138209462165833,20.0,neutral,66.2028,66.678,2,14.23,take_profit,XLI,False
2015-03-12,2015-03-13,2015-03-20,GM,LONG,HIGH,52.17,0.39,0.0247,1.0,,True,1,0.5138209462165833,20.0,neutral,29.8589,30.1388,5,18.35,time_exit,XLY,False
2015-03-16,2015-03-17,2015-03-24,NFLX,LONG,HIGH,52.03,0.36,0.0451,1.0,,True,1,0.5138209462165833,16.95,neutral,5.9817,6.1777,5,53.75,take_profit,XLC,False
2015-03-19,2015-03-20,2015-03-24,AMGN,LONG,HIGH,50.53,0.2,0.0298,1.0,,False,2,0.5138209462165833,20.0,bull,124.0823,120.8344,2,-53.42,stop_loss,XLV,False
2015-03-18,2015-03-19,2015-03-25,BLK,LONG,HIGH,51.39,0.35,0.0164,1.0,,True,1,0.5138209462165833,20.0,bull,286.4251,279.8741,4,-46.7,stop_loss,XLF,False
2015-03-20,2015-03-23,2015-03-25,ABBV,LONG,HIGH,51.93,0.29,0.0452,1.0,,True,1,0.5138209462165833,20.0,bull,38.0862,36.8201,2,-68.59,stop_loss,XLV,False
2015-03-24,2015-03-25,2015-03-26,NEM,LONG,HIGH,51.78,0.19,0.0389,1.0,,True,1,0.5138209462165833,18.47,bull,18.0002,17.296,1,-74.28,stop_loss,XLB,False
2015-03-25,2015-03-26,2015-04-02,NFLX,LONG,HIGH,51.11,0.35,0.0561,1.0,,False,2,0.5138209462165833,17.29,neutral,5.9731,5.9053,5,-22.59,time_exit,XLC,False
2015-03-26,2015-03-27,2015-04-06,MS,LONG,HIGH,51.03,0.35,0.0073,1.0,,False,2,0.5138209462165833,20.0,neutral,26.3444,26.5269,5,13.1,time_exit,XLF,False
2015-03-27,2015-03-30,2015-04-07,C,LONG,HIGH,52.33,0.29,0.0113,1.0,,True,1,0.5138209462165833,20.0,neutral,38.0962,38.1249,5,0.99,time_exit,XLF,False
2015-04-02,2015-04-06,2015-04-08,NFLX,LONG,HIGH,50.2,0.51,0.0821,1.0,,False,2,0.5138209462165833,17.19,neutral,5.887,6.0459,2,43.6,take_profit,XLC,False
2015-04-08,2015-04-09,2015-04-13,SCHW,LONG,HIGH,51.71,0.28,0.0225,1.0,,True,1,0.5138209462165833,20.0,bull,26.3904,26.8246,2,32.21,take_profit,XLF,False
2015-04-06,2015-04-07,2015-04-14,ADBE,LONG,HIGH,50.63,0.34,0.0192,1.0,,False,2,0.5138209462165833,20.0,bull,76.1891,75.8308,5,-9.7,time_exit,XLK,False
2015-04-14,2015-04-15,2015-04-16,NFLX,LONG,HIGH,51.36,0.3,0.0898,1.0,0.0707,False,2,0.5138209462165833,17.5,bull,6.882,7.0831,1,48.9,take_profit,XLC,False
2015-04-09,2015-04-10,2015-04-17,CHTR,LONG,HIGH,50.65,0.46,0.0053,1.0,0.0704,False,2,0.5138209462165833,20.0,bull,191.6542,186.4144,5,-55.17,time_exit,XLC,False
2015-04-10,2015-04-13,2015-04-17,MA,LONG,HIGH,51.03,0.44,-0.0007,1.0,0.0704,False,2,0.5138209462165833,20.0,bull,83.0331,81.5115,4,-37.19,stop_loss,XLF,False
2015-04-15,2015-04-16,2015-04-23,AMGN,LONG,HIGH,51.24,0.72,0.002,1.0,0.0707,False,2,0.5138209462165833,20.0,bull,121.1652,122.8061,5,26.99,time_exit,XLV,False
2015-04-21,2015-04-22,2015-04-27,BMY,LONG,HIGH,51.36,-0.01,-0.0074,1.0,0.1586,False,2,0.5138209462165833,20.0,neutral,46.2349,45.3407,3,-39.26,stop_loss,XLV,False
2015-04-23,2015-04-24,2015-04-27,UPS,LONG,HIGH,50.59,0.09,-0.006,1.0,0.154,False,2,0.5138209462165833,20.0,neutral,66.0443,65.2922,1,-23.11,stop_loss,XLI,False
2015-04-24,2015-04-27,2015-04-30,AMAT,LONG,HIGH,50.51,0.37,0.0199,1.0,0.154,False,2,0.5138209462165833,20.0,bull,17.9825,17.4589,3,-59.34,stop_loss,XLK,False
2015-04-27,2015-04-28,2015-05-05,AVGO,LONG,HIGH,50.26,-0.08,0.0315,1.0,0.1811,False,2,0.5138209462165833,19.28,bull,9.1175,8.8131,5,-65.98,time_exit,XLK,False
2015-05-04,2015-05-05,2015-05-06,EOG,LONG,HIGH,51.11,0.16,0.0199,1.0,0.1679,False,2,0.5138209462165833,20.0,bull,71.3408,69.9276,1,-39.68,stop_loss,XLE,False
2015-05-01,2015-05-04,2015-05-11,MS,LONG,HIGH,50.03,0.35,0.0115,1.0,0.1679,False,2,0.5138209462165833,20.0,bull,27.9609,28.306,5,23.87,take_profit,XLF,False
2015-05-05,2015-05-06,2015-05-13,AMAT,LONG,HIGH,51.67,0.33,0.0398,1.0,0.1396,True,1,0.5138209462165833,20.0,neutral,17.036,17.4018,5,40.75,time_exit,XLK,False
2015-05-06,2015-05-07,2015-05-14,META,LONG,HIGH,51.51,0.03,-0.1577,1.0,0.1052,True,1,0.5138209462165833,20.0,neutral,77.4978,79.2965,5,45.14,take_profit,XLK,False
2015-05-11,2015-05-12,2015-05-18,BKNG,LONG,HIGH,50.05,0.27,-0.0166,1.0,0.1033,False,2,0.5138209462165833,20.0,bull,46.3401,47.3206,4,41.38,take_profit,XLY,False
2015-05-13,2015-05-14,2015-05-21,LYV,LONG,HIGH,50.12,0.28,0.0266,1.0,0.1287,False,2,0.5138209462165833,20.0,neutral,26.9222,27.2074,5,20.23,time_exit,XLC,False
2015-05-14,2015-05-15,2015-05-22,WMB,LONG,HIGH,50.49,0.13,0.0273,1.0,0.0955,False,2,0.5138209462165833,20.0,bull,28.7439,28.5345,5,-15.18,time_exit,XLE,False
2015-05-18,2015-05-19,2015-05-26,AMGN,LONG,HIGH,51.39,0.21,0.015,1.0,0.0739,True,1,0.5138209462165833,20.0,bull,119.9031,116.8441,4,-51.31,stop_loss,XLV,False
2015-05-20,2015-05-21,2015-05-29,NOW,LONG,HIGH,51.89,0.03,0.0403,1.0,0.0706,True,1,0.5138209462165833,20.0,bull,15.5772,15.3108,5,-35.43,stop_loss,XLK,False
2015-05-27,2015-05-28,2015-06-03,IFF,LONG,HIGH,50.86,0.19,0.0049,1.0,0.1222,False,2,0.5138209462165833,20.0,bull,91.5285,89.313,4,-48.33,stop_loss,XLB,False
2015-05-28,2015-05-29,2015-06-03,CHTR,LONG,HIGH,51.31,-0.01,0.0069,1.0,0.138,False,2,0.5138209462165833,20.0,bull,176.0196,171.3394,3,-52.95,stop_loss,XLC,False
2015-05-29,2015-06-01,2015-06-04,WMB,LONG,HIGH,50.31,0.25,0.0348,1.0,0.1236,False,2,0.5138209462165833,20.0,neutral,27.5657,26.8362,3,-53.22,stop_loss,XLE,False
2015-06-02,2015-06-03,2015-06-10,NOW,LONG,HIGH,52.1,-0.11,0.0494,1.0,0.1236,True,1,0.5138209462165833,20.0,neutral,15.1064,15.3583,5,31.55,take_profit,XLK,False
2015-06-03,2015-06-04,2015-06-11,LYV,LONG,HIGH,51.74,0.21,0.0111,1.0,0.1224,True,1,0.5138209462165833,20.0,bull,29.0145,29.1462,5,8.2,time_exit,XLC,False
2015-06-08,2015-06-09,2015-06-11,EA,LONG,HIGH,51.73,0.13,0.0252,1.0,0.1094,True,1,0.5138209462165833,20.0,neutral,59.9171,60.681,2,24.31,take_profit,XLC,False
2015-06-05,2015-06-08,2015-06-15,INTC,LONG,HIGH,51.33,0.02,0.0263,1.0,0.1094,False,2,0.5138209462165833,20.0,neutral,24.7956,24.3949,5,-32.36,time_exit,XLK,False
2015-06-15,2015-06-16,2015-06-18,KMI,LONG,HIGH,50.15,0.2,-0.0194,1.0,0.1154,False,2,0.5138209462165833,20.0,neutral,22.8859,23.1738,2,23.71,take_profit,XLE,False
2015-06-16,2015-06-17,2015-06-22,SPGI,LONG,HIGH,50.88,0.38,0.0079,1.0,0.1154,False,2,0.5138209462165833,20.0,neutral,94.2064,94.9835,3,15.89,take_profit,XLF,False
2015-06-19,2015-06-22,2015-06-24,BLK,LONG,HIGH,51.01,0.35,0.0035,1.0,0.1089,False,2,0.5138209462165833,20.0,bull,276.5379,272.524,2,-28.49,stop_loss,XLF,False
2015-06-23,2015-06-24,2015-06-25,LOW,LONG,HIGH,50.1,0.45,0.0076,1.0,0.1076,False,2,0.5138209462165833,20.0,bull,57.7649,57.0322,1,-25.19,stop_loss,XLY,False
2015-06-24,2015-06-25,2015-06-29,NFLX,LONG,HIGH,52.71,-0.04,0.0603,1.0,0.1132,True,1,0.5138209462165833,18.67,bull,9.5638,9.2663,2,-58.56,stop_loss,XLC,False
2015-07-13,2015-07-14,2015-07-20,SPGI,LONG,HIGH,53.21,0.9,-0.0104,1.0,-0.0324,True,1,0.5138209462165833,20.0,neutral,93.7872,95.147,4,27.89,take_profit,XLF,False
2015-07-21,2015-07-22,2015-07-23,AVGO,LONG,HIGH,50.51,1.0,0.0536,1.0,-0.0198,False,2,0.5138209462165833,20.0,neutral,9.6475,9.9646,1,61.91,take_profit,XLK,False
2015-07-16,2015-07-17,2015-07-24,AMGN,LONG,HIGH,51.89,0.87,0.0428,1.0,-0.011,True,1,0.5138209462165833,20.0,neutral,119.308,115.801,5,-57.26,stop_loss,XLV,False
2015-07-30,2015-07-31,2015-08-04,WMB,LONG,HIGH,52.86,0.24,0.0163,1.0,-0.0365,True,1,0.5138209462165833,13.58,neutral,28.9698,28.0159,2,-44.0,stop_loss,XLE,False
2015-07-28,2015-07-29,2015-08-05,CRM,LONG,HIGH,54.15,0.03,0.0099,1.0,-0.032,True,1,0.5138209462165833,20.0,neutral,72.0892,71.3646,5,-19.82,time_exit,XLK,False
2015-08-04,2015-08-05,2015-08-06,PH,LONG,HIGH,50.39,0.13,0.0173,1.0,-0.0318,False,2,0.5138209462165833,20.0,neutral,91.0254,92.5666,1,32.28,take_profit,XLI,False
2015-07-31,2015-08-03,2015-08-10,AVGO,LONG,HIGH,54.0,0.0,0.0711,1.0,-0.0365,True,1,0.5138209462165833,20.0,neutral,9.6003,9.6333,5,4.66,time_exit,XLK,False
2015-08-07,2015-08-10,2015-08-11,CCI,LONG,HIGH,50.77,0.22,0.0144,1.0,-0.0341,True,1,0.50438192486763,20.0,neutral,52.9951,53.5026,1,18.12,take_profit,XLRE,False
2015-08-06,2015-08-07,2015-08-14,NOW,LONG,HIGH,50.97,0.19,0.0403,1.0,-0.0331,False,2,0.5138209462165833,20.0,neutral,15.2089,15.2988,5,10.13,time_exit,XLK,False
2015-08-10,2015-08-11,2015-08-18,CI,LONG,HIGH,50.18,-0.17,0.0138,1.0,-0.0319,False,2,0.50438192486763,20.0,bull,132.1376,134.4531,5,33.93,take_profit,XLV,False
2015-08-12,2015-08-13,2015-08-18,O,LONG,HIGH,51.43,-0.05,0.0257,1.0,-0.0322,True,1,0.50438192486763,20.0,neutral,28.0996,28.3522,3,16.77,take_profit,XLRE,False
2015-08-11,2015-08-12,2015-08-19,AXP,LONG,HIGH,50.24,-0.22,0.021,1.0,-0.0322,False,2,0.50438192486763,20.0,neutral,69.3786,69.3763,5,-0.34,time_exit,XLF,False
2015-08-18,2015-08-19,2015-08-20,IBM,LONG,HIGH,50.13,0.13,0.0096,1.0,-0.042,False,2,0.50438192486763,20.0,bull,95.7,94.2407,1,-30.04,stop_loss,XLK,False
2015-09-15,2015-09-16,2015-09-17,O,LONG,HIGH,50.11,1.17,0.025,1.0,0.0226,False,2,0.50438192486763,20.0,neutral,27.0383,27.6426,1,42.85,take_profit,XLRE,False
2015-09-18,2015-09-21,2015-09-22,NEM,LONG,HIGH,50.67,-0.26,0.0183,1.0,0.0365,True,1,0.50438192486763,16.08,neutral,13.1501,12.5637,1,-71.52,stop_loss,XLB,False
2015-09-17,2015-09-18,2015-09-25,NOW,LONG,HIGH,50.24,-0.54,0.0156,1.0,0.0361,False,2,0.50438192486763,20.0,neutral,14.7713,14.5445,5,-31.4,time_exit,XLK,False
2015-09-21,2015-09-22,2015-09-25,ABT,LONG,HIGH,50.29,0.67,0.0141,1.0,0.0277,False,2,0.50438192486763,20.0,neutral,34.9308,33.8911,3,-58.8,stop_loss,XLV,False
