group_type,group,trades,win_rate,avg_pnl,median_pnl,total_pnl,avg_holding_days,avg_position_pct,profit_factor
entry_year,2019,144,0.5903,2.04,10.64,293.64,3.35,19.89,1.2
entry_year,2026,33,0.6667,6.55,13.86,216.14,3.03,20.0,1.967
entry_year,2020,66,0.5455,1.53,8.12,100.92,3.26,18.34,1.132
entry_year,2017,224,0.5357,-0.58,4.14,-129.39,3.38,19.79,0.942
entry_year,2025,132,0.5303,-1.02,1.67,-134.97,3.14,20.0,0.893
entry_year,2024,180,0.5333,-1.03,3.37,-185.16,2.94,20.0,0.858
entry_year,2023,154,0.487,-2.32,-0.66,-357.67,3.38,20.0,0.748
entry_year,2022,71,0.4085,-8.0,-12.18,-568.05,3.31,19.94,0.545
entry_year,2016,204,0.4706,-3.53,-3.79,-719.49,3.13,19.08,0.759
entry_year,2015,163,0.4785,-6.29,-9.75,-1024.62,3.42,19.82,0.68
entry_year,2021,197,0.4772,-5.34,-4.26,-1052.46,3.23,19.98,0.622
entry_year,2018,171,0.462,-6.93,-5.99,-1184.93,3.12,19.88,0.589
exit_reason,take_profit,644,1.0,21.78,18.7,14024.62,2.46,19.74,
exit_reason,time_exit,545,0.433,-3.66,-2.89,-1993.05,5.0,19.71,0.601
exit_reason,stop_loss,550,0.0,-30.5,-26.74,-16777.61,2.38,19.82,0.0
sector,XLC,154,0.5714,1.37,7.25,210.39,3.11,19.81,1.146
sector,XLY,128,0.5156,-1.31,2.4,-168.31,3.2,19.91,0.896
sector,XLI,166,0.5181,-1.03,2.7,-171.16,3.37,19.84,0.912
sector,XLRE,123,0.4797,-2.98,-3.13,-367.09,3.02,20.0,0.759
sector,XLF,169,0.497,-2.21,-0.05,-374.12,3.23,19.74,0.83
sector,XLU,165,0.4909,-2.43,-2.05,-400.61,3.13,20.0,0.756
sector,XLB,124,0.4839,-3.29,-5.72,-407.85,3.4,19.15,0.756
sector,XLP,226,0.531,-2.24,4.72,-506.37,3.15,19.98,0.755
sector,XLE,120,0.5,-4.33,0.14,-519.88,3.17,19.27,0.746
sector,XLV,188,0.4894,-4.19,-1.4,-786.99,3.2,19.82,0.686
sector,XLK,176,0.4773,-7.13,-4.37,-1254.05,3.53,19.56,0.598
signal,LONG,1739,0.506,-2.73,1.01,-4746.04,3.23,19.76,0.782
signal_quality,LOW,515,0.5204,-2.13,2.83,-1097.49,3.17,19.83,0.816
signal_quality,MEDIUM,593,0.4992,-2.7,-0.31,-1601.68,3.26,19.82,0.784
signal_quality,HIGH,631,0.5008,-3.24,0.1,-2046.87,3.26,19.65,0.757
ticker,TSLA,13,0.7692,15.12,28.94,196.59,3.54,19.17,2.414
ticker,NOC,29,0.6897,6.12,14.69,177.42,3.24,20.0,1.95
ticker,BKNG,8,0.75,19.3,25.2,154.42,3.88,20.0,4.212
ticker,EA,19,0.6316,8.09,23.82,153.75,3.05,19.39,1.815
ticker,SPGI,28,0.6786,5.12,9.93,143.25,2.82,20.0,1.852
ticker,DD,25,0.6,5.04,8.21,126.09,3.08,19.89,1.74
ticker,AEP,41,0.6341,2.97,11.3,121.94,2.8,20.0,1.453
ticker,TRV,24,0.6667,5.07,10.34,121.66,3.46,20.0,1.936
ticker,AIG,6,0.8333,16.67,20.9,100.0,3.67,20.0,9.584
ticker,TMO,16,0.75,5.97,11.49,95.48,3.69,20.0,1.7
ticker,HD,16,0.6875,5.69,14.56,91.05,3.31,20.0,1.809
ticker,COST,36,0.6944,2.5,9.23,89.93,3.17,20.0,1.391
ticker,CCI,26,0.6154,3.28,11.9,85.26,2.31,20.0,1.373
ticker,SLB,7,0.7143,11.4,33.83,79.79,2.29,20.0,1.808
ticker,T,30,0.6,2.39,11.95,71.62,3.1,20.0,1.353
ticker,KO,6,0.8333,11.64,8.66,69.84,3.5,20.0,81.276
ticker,LYV,11,0.7273,6.06,18.36,66.69,3.73,19.71,1.735
ticker,TMUS,33,0.6061,2.0,6.0,66.04,2.73,20.0,1.277
ticker,NFLX,6,0.5,10.77,17.31,64.64,3.17,17.97,1.864
