preset,threshold,invest_pct,total_return_pct,cagr_pct,sharpe,sortino,nw_tstat_vs_cash,max_drawdown_pct,benchmark_return_pct,alpha_pct,in_market_pct,avg_allocation_pct,turnover_pct,estimated_cost_pct,paper_ready
spy_qqq_60_40,0.5,0.75,102.04,6.5,0.714,0.645,2.683,-20.0,417.45,-315.41,46.6,30.9,50883.95,50.8839,False
spy_qqq_60_40,0.5,0.85,120.24,7.33,0.714,0.645,2.683,-22.48,417.45,-297.21,46.6,35.0,57668.48,57.6685,False
spy_qqq_60_40,0.5,0.95,139.65,8.14,0.714,0.645,2.683,-24.92,417.45,-277.8,46.6,39.1,64453.0,64.453,False
spy_qqq_60_40,0.6,0.75,85.63,5.7,0.685,0.583,2.513,-20.32,417.45,-331.82,40.9,27.5,49100.13,49.1001,False
spy_qqq_60_40,0.6,0.85,100.32,6.42,0.685,0.583,2.513,-22.82,417.45,-317.12,40.9,31.2,55646.81,55.6468,False
spy_qqq_60_40,0.6,0.95,115.87,7.13,0.685,0.583,2.513,-25.28,417.45,-301.58,40.9,34.8,62193.49,62.1935,False
spy_only,0.5,0.75,84.14,5.62,0.668,0.594,2.522,-17.1,312.2,-228.05,46.6,30.9,50883.95,50.8839,False
spy_only,0.5,0.85,98.47,6.33,0.668,0.594,2.522,-19.25,312.2,-213.72,46.6,35.0,57668.48,57.6685,False
spy_only,0.5,0.95,113.59,7.03,0.668,0.594,2.522,-21.38,312.2,-198.61,46.6,39.1,64453.0,64.453,False
spy_only,0.6,0.75,74.37,5.11,0.667,0.561,2.437,-17.42,312.2,-237.83,40.9,27.5,49100.13,49.1001,False
spy_only,0.6,0.85,86.79,5.75,0.667,0.561,2.437,-19.61,312.2,-225.41,40.9,31.2,55646.81,55.6468,False
spy_only,0.6,0.95,99.85,6.4,0.667,0.561,2.437,-21.75,312.2,-212.35,40.9,34.8,62193.49,62.1935,False
spy_qqq_60_40,0.55,0.75,82.61,5.54,0.643,0.575,2.327,-22.21,417.45,-334.84,44.0,29.3,51424.64,51.4246,False
spy_qqq_60_40,0.55,0.85,96.52,6.24,0.643,0.575,2.327,-24.9,417.45,-320.92,44.0,33.2,58281.26,58.2813,False
spy_qqq_60_40,0.55,0.95,111.16,6.92,0.643,0.575,2.327,-27.53,417.45,-306.29,44.0,37.1,65137.87,65.1379,False
spy_only,0.55,0.75,71.07,4.93,0.62,0.547,2.238,-18.81,312.2,-241.13,44.0,29.3,51424.64,51.4246,False
spy_only,0.55,0.85,82.69,5.55,0.62,0.547,2.238,-21.13,312.2,-229.5,44.0,33.2,58281.26,58.2813,False
spy_only,0.55,0.95,94.84,6.16,0.62,0.547,2.238,-23.42,312.2,-217.35,44.0,37.1,65137.87,65.1379,False
