ticker,trades,win_rate,avg_pnl,median_pnl,total_pnl,long_trades,short_trades
SLB,12,0.75,27.3675,50.58,328.41,12,0
MU,31,0.6452,10.2219,33.65,316.88,31,0
PSX,8,0.75,26.2575,36.63,210.06,8,0
AMD,8,0.625,25.1025,60.065,200.82,8,0
SCHW,12,0.6667,16.69,24.985,200.28,12,0
TMO,6,1.0,29.865,32.895,179.19,6,0
NOW,6,0.8333,21.3267,31.16,127.96,6,0
AVB,11,0.7273,11.5864,20.36,127.45,11,0
KMI,6,0.8333,19.835,27.815,119.01,6,0
CSX,3,1.0,37.5367,39.16,112.61,3,0
MRK,9,0.7778,12.3122,21.64,110.81,9,0
SPG,7,0.8571,15.8286,25.38,110.8,7,0
GILD,14,0.7143,7.7386,17.425,108.34,14,0
HSY,16,0.6875,5.9206,14.11,94.73,16,0
PNC,12,0.5833,7.8508,14.245,94.21,12,0
DD,13,0.6154,7.17,16.83,93.21,13,0
D,3,1.0,29.53,36.75,88.59,3,0
BKNG,13,0.5385,6.1646,29.82,80.14,13,0
CVS,8,0.5,9.0287,5.49,72.23,8,0
NUE,9,0.5556,7.82,24.92,70.38,9,0
CI,6,0.5,11.675,14.355,70.05,6,0
COF,6,0.6667,11.4233,29.99,68.54,6,0
MDT,2,1.0,33.675,33.675,67.35,2,0
SYK,7,0.5714,9.4857,14.17,66.4,7,0
VLO,10,0.5,6.603,17.47,66.03,10,0
AIG,6,0.5,10.41,9.515,62.46,6,0
WMT,10,0.8,6.211,14.22,62.11,10,0
WMB,4,0.75,15.385,24.005,61.54,4,0
EQIX,4,0.75,15.2875,23.72,61.15,4,0
SPGI,8,0.625,7.125,12.84,57.0,8,0
UPS,3,1.0,18.7233,18.98,56.17,3,0
IFF,13,0.6923,4.1731,10.93,54.25,13,0
F,6,0.5,8.8867,16.455,53.32,6,0
BRK-B,8,0.75,6.6275,13.865,53.02,8,0
CSCO,8,0.625,5.74,11.135,45.92,8,0
ECL,5,0.8,7.766,12.97,38.83,5,0
GIS,9,0.5556,4.3133,11.96,38.82,9,0
COST,6,0.6667,6.4317,9.6,38.59,6,0
KMB,9,0.6667,3.87,12.5,34.83,9,0
MCD,6,0.6667,5.59,10.405,33.54,6,0
SHW,6,0.6667,5.2483,27.96,31.49,6,0
SO,3,1.0,10.2,12.88,30.6,3,0
JPM,4,0.75,7.285,9.38,29.14,4,0
WFC,5,0.6,5.64,1.7,28.2,5,0
UNP,4,0.5,6.6825,3.77,26.73,4,0
RTX,4,0.5,6.6,8.85,26.4,4,0
ED,2,1.0,10.24,10.24,20.48,2,0
PEG,5,0.6,4.016,2.87,20.08,5,0
BSX,3,0.6667,6.66,32.53,19.98,3,0
EMR,3,0.6667,6.0967,11.56,18.29,3,0
EBAY,8,0.625,2.1212,14.0,16.97,8,0
C,2,0.5,8.38,8.38,16.76,2,0
DHR,4,0.5,4.09,13.175,16.36,4,0
TMUS,5,0.6,3.188,16.74,15.94,5,0
TSLA,10,0.7,1.497,12.185,14.97,10,0
VZ,5,0.8,2.766,12.17,13.83,5,0
V,1,1.0,12.21,12.21,12.21,1,0
MSFT,6,0.5,1.9383,5.44,11.63,6,0
DUK,4,0.5,2.7825,1.795,11.13,4,0
TJX,11,0.5455,0.8809,7.78,9.69,11,0
HD,4,0.5,1.955,7.205,7.82,4,0
AEP,4,0.75,1.3225,8.16,5.29,4,0
SYY,6,0.5,0.7417,2.205,4.45,6,0
GOOGL,11,0.5455,0.3636,10.8,4.0,11,0
COP,6,0.5,0.6233,3.525,3.74,6,0
TRV,3,0.6667,0.3267,13.78,0.98,3,0
O,9,0.5556,-0.1233,2.72,-1.11,9,0
EXC,5,0.6,-0.844,8.19,-4.22,5,0
AVGO,5,0.4,-1.092,-5.94,-5.46,5,0
CVX,2,0.5,-2.79,-2.79,-5.58,2,0
MPC,7,0.5714,-1.53,15.3,-10.71,7,0
CL,4,0.5,-3.4675,-8.04,-13.87,4,0
MA,7,0.5714,-2.0129,3.99,-14.09,7,0
PG,1,0.0,-14.72,-14.72,-14.72,1,0
LIN,2,0.5,-7.58,-7.58,-15.16,2,0
DOW,4,0.5,-4.895,4.445,-19.58,4,0
LOW,3,0.3333,-7.7767,-15.71,-23.33,3,0
APD,8,0.375,-2.9262,-8.235,-23.41,8,0
KO,5,0.4,-4.72,-3.76,-23.6,5,0
SRE,10,0.5,-2.411,-3.52,-24.11,10,0
OMC,11,0.4545,-2.3173,-2.28,-25.49,11,0
JNJ,2,0.0,-13.22,-13.22,-26.44,2,0
EA,4,0.5,-7.035,-10.04,-28.14,4,0
ABT,6,0.5,-4.6983,-2.43,-28.19,6,0
LLY,6,0.5,-4.9383,-2.37,-29.63,6,0
MAR,16,0.5,-1.9063,7.34,-30.5,16,0
HON,3,0.3333,-10.4433,-21.25,-31.33,3,0
LMT,11,0.5455,-3.0527,5.66,-33.58,11,0
LYV,14,0.6429,-2.3993,15.245,-33.59,14,0
META,5,0.6,-7.578,4.67,-37.89,5,0
PH,6,0.5,-7.2033,-2.535,-43.22,6,0
MS,4,0.25,-12.285,-24.93,-49.14,4,0
XOM,2,0.0,-24.695,-24.695,-49.39,2,0
GS,7,0.5714,-7.6486,28.53,-53.54,7,0
NEE,6,0.3333,-9.7967,-20.265,-58.78,6,0
ROST,11,0.4545,-5.4627,-6.63,-60.09,11,0
MMM,4,0.25,-15.365,-18.385,-61.46,4,0
FCX,12,0.4167,-5.2425,-10.515,-62.91,12,0
BAC,7,0.4286,-9.4986,-27.77,-66.49,7,0
FDX,5,0.4,-13.32,-37.3,-66.6,5,0
BA,3,0.3333,-22.2767,-41.69,-66.83,3,0
PFE,7,0.2857,-9.5771,-10.13,-67.04,7,0
IBM,5,0.2,-13.934,-24.01,-69.67,5,0
EQR,8,0.375,-9.215,-19.665,-73.72,8,0
GE,4,0.25,-18.58,-23.93,-74.32,4,0
