group_type,group,trades,win_rate,avg_pnl,median_pnl,total_pnl,avg_holding_days,avg_position_pct,profit_factor
entry_year,2021,96,0.6042,6.41,23.14,615.27,3.23,19.06,1.347
entry_year,2026,23,0.6522,15.96,31.38,367.13,3.87,19.22,2.768
entry_year,2019,112,0.5982,2.47,11.62,276.59,3.32,19.83,1.192
entry_year,2020,34,0.6471,6.16,10.07,209.44,3.24,18.01,1.697
entry_year,2023,95,0.4947,-1.29,-1.42,-122.8,3.15,19.85,0.91
entry_year,2025,66,0.5,-2.2,0.09,-145.06,3.05,19.51,0.867
entry_year,2015,73,0.5342,-3.53,4.64,-257.57,3.84,19.96,0.806
entry_year,2017,136,0.5074,-2.69,1.33,-366.21,3.29,19.71,0.82
entry_year,2024,44,0.3864,-8.49,-15.21,-373.53,3.55,19.57,0.526
entry_year,2018,86,0.5116,-6.38,1.7,-548.8,3.53,19.48,0.719
entry_year,2016,145,0.4759,-6.17,-3.18,-894.85,3.4,19.56,0.661
entry_year,2022,73,0.3973,-14.86,-28.08,-1084.59,3.26,18.36,0.497
exit_reason,take_profit,361,1.0,32.36,29.44,11680.66,2.53,19.51,
exit_reason,time_exit,334,0.4431,-2.88,-3.15,-962.71,5.0,19.41,0.762
exit_reason,stop_loss,288,0.0,-45.29,-42.91,-13042.93,2.49,19.45,0.0
sector,XLE,71,0.5634,5.36,15.3,380.71,3.45,17.96,1.295
sector,XLF,106,0.566,2.43,8.85,257.71,3.36,19.84,1.172
sector,XLB,78,0.5513,0.06,9.89,4.9,3.65,19.52,1.004
sector,XLU,49,0.5918,-0.1,7.85,-5.1,2.8,19.95,0.989
sector,XLP,78,0.5641,-0.52,7.41,-40.75,3.12,19.87,0.956
sector,XLV,107,0.5234,-0.85,2.0,-90.48,3.72,19.91,0.946
sector,XLRE,64,0.5,-4.47,-0.16,-286.08,3.06,19.8,0.739
sector,XLY,106,0.5094,-3.09,2.6,-327.36,3.22,19.65,0.826
sector,XLI,74,0.4459,-7.4,-8.75,-547.24,3.46,19.92,0.594
sector,XLK,159,0.4969,-4.18,-2.58,-665.1,3.47,18.64,0.817
sector,XLC,91,0.4286,-11.06,-18.03,-1006.19,3.19,19.58,0.499
signal,LONG,983,0.5178,-2.37,2.92,-2324.98,3.36,19.46,0.864
signal_quality,HIGH,431,0.529,-0.95,3.93,-408.4,3.42,19.52,0.944
signal_quality,LOW,299,0.5184,-1.57,5.66,-470.57,3.25,19.43,0.905
signal_quality,MEDIUM,253,0.498,-5.72,-1.11,-1446.01,3.37,19.4,0.703
ticker,SLB,12,0.75,27.37,50.58,328.41,3.08,18.33,3.459
ticker,MU,31,0.6452,10.22,33.65,316.88,3.35,17.44,1.508
ticker,PSX,8,0.75,26.26,36.63,210.06,3.62,20.0,5.772
ticker,AMD,8,0.625,25.1,60.06,200.82,3.0,14.88,2.384
ticker,SCHW,12,0.6667,16.69,24.98,200.28,3.58,19.42,4.125
ticker,TMO,6,1.0,29.86,32.89,179.19,3.33,19.99,
ticker,NOW,6,0.8333,21.33,31.16,127.96,2.83,19.95,4.735
ticker,AVB,11,0.7273,11.59,20.36,127.45,2.91,20.0,2.72
ticker,KMI,6,0.8333,19.83,27.81,119.01,3.67,18.29,5.491
ticker,CSX,3,1.0,37.54,39.16,112.61,4.0,20.0,
ticker,MRK,9,0.7778,12.31,21.64,110.81,2.44,20.0,2.558
ticker,SPG,7,0.8571,15.83,25.38,110.8,2.43,18.37,3.521
ticker,GILD,14,0.7143,7.74,17.43,108.34,3.57,19.87,1.722
ticker,HSY,16,0.6875,5.92,14.11,94.73,3.31,19.82,1.621
ticker,PNC,12,0.5833,7.85,14.24,94.21,2.5,20.0,1.688
ticker,DD,13,0.6154,7.17,16.83,93.21,3.54,19.78,1.535
ticker,D,3,1.0,29.53,36.75,88.59,1.0,20.0,
ticker,BKNG,13,0.5385,6.16,29.82,80.14,3.23,18.6,1.418
ticker,CVS,8,0.5,9.03,5.49,72.23,4.25,20.0,2.106
ticker,NUE,9,0.5556,7.82,24.92,70.38,3.67,20.0,1.665
ticker,CI,6,0.5,11.68,14.36,70.05,3.67,20.0,2.899
ticker,COF,6,0.6667,11.42,29.99,68.54,4.17,18.28,1.652
ticker,MDT,2,1.0,33.67,33.67,67.35,5.0,20.0,
