date,entry_date,exit_date,ticker,signal,signal_quality,confidence,expected_return,rank_score,rank_orientation,rank_orientation_corr,conformal_singleton,conformal_set_size,conformal_qhat,position_pct,regime_state,entry_price,exit_price,holding_days,net_pnl,exit_reason,sector,capacity_warning
2015-02-10,2015-02-11,2015-02-13,AIG,LONG,LOW,50.78,0.53,0.0,1.0,,False,2,0.5138209462165833,20.0,neutral,40.0006,40.8098,2,40.02,take_profit,XLF,False
2015-02-10,2015-02-11,2015-02-17,JPM,LONG,HIGH,50.5,0.54,0.0,1.0,,False,2,0.5138209462165833,20.0,neutral,43.0559,44.181,3,51.87,take_profit,XLF,False
2015-02-11,2015-02-12,2015-02-20,GS,LONG,LOW,50.7,0.6,0.0,1.0,,False,2,0.5138209462165833,20.0,neutral,150.8481,153.0064,5,28.53,time_exit,XLF,False
2015-02-11,2015-02-12,2015-02-20,MSFT,LONG,HIGH,50.5,0.58,0.0,1.0,,False,2,0.5138209462165833,20.0,neutral,36.3341,37.5116,5,64.37,time_exit,XLK,False
2015-02-19,2015-02-20,2015-02-27,MAR,LONG,MEDIUM,50.64,0.37,0.0,1.0,,False,2,0.5138209462165833,20.0,bull,74.6515,74.5193,5,-3.87,time_exit,XLY,False
2015-02-19,2015-02-20,2015-02-27,GILD,LONG,LOW,50.62,0.62,0.0,1.0,,False,2,0.5138209462165833,18.13,bull,70.8734,71.4013,5,13.47,time_exit,XLV,False
2015-02-26,2015-02-27,2015-03-06,WELL,LONG,MEDIUM,50.68,0.38,0.0,1.0,,False,2,0.5138209462165833,20.0,bull,50.1615,48.5504,5,-66.14,stop_loss,XLRE,False
2015-02-26,2015-02-27,2015-03-06,AMT,LONG,HIGH,50.65,0.3,0.0,1.0,,False,2,0.5138209462165833,20.0,bull,75.6602,73.6839,5,-53.72,stop_loss,XLRE,False
2015-02-27,2015-03-02,2015-03-09,MAR,LONG,MEDIUM,50.64,0.38,0.0,1.0,,False,2,0.5138209462165833,20.0,bull,74.9871,73.961,5,-28.24,time_exit,XLY,False
2015-03-05,2015-03-06,2015-03-13,ABBV,LONG,HIGH,50.06,0.25,0.0,1.0,,False,2,0.5138209462165833,20.0,bull,36.1202,36.6672,5,30.32,time_exit,XLV,False
2015-03-06,2015-03-09,2015-03-16,PH,LONG,HIGH,50.08,0.2,0.0,1.0,,False,2,0.5138209462165833,20.0,neutral,98.9248,100.0067,5,21.66,take_profit,XLI,False
2015-03-13,2015-03-16,2015-03-18,UPS,LONG,HIGH,50.48,0.37,0.0,1.0,,False,2,0.5138209462165833,20.0,neutral,66.2028,66.678,2,14.18,take_profit,XLI,False
2015-04-02,2015-04-06,2015-04-09,LYV,LONG,HIGH,50.24,0.29,0.0,1.0,,False,2,0.5138209462165833,20.0,neutral,25.587,25.8421,3,19.42,take_profit,XLC,False
2015-04-09,2015-04-10,2015-04-17,CHTR,LONG,MEDIUM,50.65,0.46,0.0,1.0,,False,2,0.5138209462165833,20.0,bull,191.6545,186.4142,5,-55.61,time_exit,XLC,False
2015-04-09,2015-04-10,2015-04-17,ADBE,LONG,HIGH,50.25,0.27,0.0,1.0,,False,2,0.5138209462165833,20.0,bull,76.4188,74.8162,5,-42.83,stop_loss,XLK,False
2015-04-10,2015-04-13,2015-04-17,MA,LONG,HIGH,51.03,0.44,0.0,1.0,,False,2,0.5138209462165833,20.0,bull,83.0332,81.5115,4,-37.45,stop_loss,XLF,False
2015-04-15,2015-04-16,2015-04-23,AMGN,LONG,HIGH,51.24,0.72,0.0,1.0,,False,2,0.5138209462165833,20.0,bull,121.1653,122.806,5,27.26,time_exit,XLV,False
2015-04-24,2015-04-27,2015-04-29,MAR,LONG,LOW,50.37,0.34,0.0,1.0,,False,2,0.5138209462165833,20.0,bull,73.5791,74.5083,2,25.09,take_profit,XLY,False
2015-04-24,2015-04-27,2015-04-30,AMAT,LONG,MEDIUM,50.51,0.37,0.0,1.0,,False,2,0.5138209462165833,20.0,bull,17.9825,17.4588,3,-59.58,stop_loss,XLK,False
2015-04-24,2015-04-27,2015-05-04,TXN,LONG,HIGH,50.65,0.31,0.0,1.0,,False,2,0.5138209462165833,20.0,bull,40.9734,41.0781,5,4.64,time_exit,XLK,False
2015-04-24,2015-04-27,2015-05-04,MA,LONG,LOW,50.39,0.26,0.0,1.0,,False,2,0.5138209462165833,20.0,bull,85.1883,85.1665,5,-0.76,time_exit,XLF,False
2015-04-30,2015-05-01,2015-05-07,AVGO,LONG,MEDIUM,50.08,-0.27,0.0,1.0,,False,2,0.5138209462165833,19.26,neutral,8.9312,9.1913,4,53.72,take_profit,XLK,False
2015-04-30,2015-05-01,2015-05-08,CRM,LONG,HIGH,50.08,-0.28,0.0,1.0,,False,2,0.5138209462165833,19.58,neutral,72.4339,71.2307,5,-32.65,time_exit,XLK,False
2015-05-11,2015-05-12,2015-05-18,BKNG,LONG,HIGH,50.05,0.27,0.0,1.0,0.058,False,2,0.5138209462165833,20.0,bull,46.3402,47.3206,4,42.0,take_profit,XLY,False
2015-05-11,2015-05-12,2015-05-19,EOG,LONG,MEDIUM,50.17,0.41,0.0,1.0,0.058,False,2,0.5138209462165833,20.0,bull,66.325,65.0343,5,-39.34,time_exit,XLE,False
2015-05-13,2015-05-14,2015-05-21,WMB,LONG,HIGH,50.59,0.14,0.0,1.0,0.058,False,2,0.5138209462165833,20.0,neutral,28.3448,28.5988,5,17.24,time_exit,XLE,False
2015-06-16,2015-06-17,2015-06-18,MAR,LONG,LOW,50.57,0.41,1.7515,1.0,0.058,False,2,0.5138209462165833,20.0,neutral,69.2674,69.9167,1,18.55,take_profit,XLY,False
2015-06-16,2015-06-17,2015-06-22,SPGI,LONG,MEDIUM,50.88,0.38,2.6558,1.0,0.058,False,2,0.5138209462165833,20.0,neutral,94.207,94.9828,3,16.34,take_profit,XLF,False
2015-06-18,2015-06-19,2015-06-22,ORCL,LONG,LOW,50.88,0.2,0.0,1.0,0.0473,False,2,0.5138209462165833,20.0,bull,36.4261,35.4883,1,-52.52,stop_loss,XLK,False
2015-06-16,2015-06-17,2015-06-24,BLK,LONG,HIGH,50.88,0.53,3.3114,1.0,0.058,False,2,0.5138209462165833,20.0,neutral,275.0973,271.6494,5,-25.26,time_exit,XLF,False
2015-06-16,2015-06-17,2015-06-24,PH,LONG,LOW,50.57,0.4,1.9331,1.0,0.058,False,2,0.5138209462165833,20.0,neutral,99.6494,100.2721,5,12.36,time_exit,XLI,False
2015-06-23,2015-06-24,2015-06-25,MAR,LONG,LOW,50.1,0.42,1.4497,1.0,0.0288,False,2,0.5138209462165833,20.0,bull,70.0055,68.906,1,-31.83,stop_loss,XLY,False
2015-06-23,2015-06-24,2015-06-29,EQIX,LONG,MEDIUM,50.1,0.42,1.876,1.0,0.0288,False,2,0.5138209462165833,20.0,bull,201.9796,198.3045,3,-36.63,stop_loss,XLRE,False
