group_type,group,trades,win_rate,avg_pnl,median_pnl,total_pnl,avg_holding_days,avg_position_pct,profit_factor
entry_year,2019,151,0.596,1.4,10.65,210.95,3.22,19.85,1.117
entry_year,2026,18,0.6111,1.15,14.02,20.72,2.83,20.0,1.122
entry_year,2017,220,0.5455,-0.54,4.53,-119.49,3.39,19.82,0.948
entry_year,2020,69,0.5217,-2.18,2.29,-150.3,3.0,19.26,0.833
entry_year,2016,199,0.5025,-1.38,0.98,-274.19,3.25,19.32,0.894
entry_year,2025,114,0.4825,-2.6,-1.8,-295.97,3.12,19.99,0.774
entry_year,2023,146,0.5411,-2.06,5.08,-301.27,3.33,20.0,0.802
entry_year,2021,194,0.5309,-1.96,4.24,-380.19,3.27,19.96,0.843
entry_year,2022,66,0.4091,-7.55,-8.21,-498.49,3.33,19.66,0.613
entry_year,2024,173,0.4855,-3.16,-1.2,-547.37,2.99,20.0,0.694
entry_year,2018,166,0.5301,-4.39,9.38,-728.09,3.27,19.86,0.745
entry_year,2015,166,0.4398,-6.76,-12.33,-1121.8,3.42,19.85,0.653
exit_reason,take_profit,648,1.0,22.81,19.74,14783.54,2.53,19.88,
exit_reason,time_exit,522,0.4176,-3.75,-3.29,-1959.13,5.0,19.7,0.619
exit_reason,stop_loss,512,0.0,-33.22,-29.54,-17009.9,2.37,19.82,0.0
sector,XLP,250,0.588,0.46,8.65,114.3,3.14,19.96,1.053
sector,XLU,134,0.5746,0.73,9.12,97.54,3.21,20.0,1.079
sector,XLB,93,0.5484,-0.38,9.72,-35.69,3.43,19.28,0.969
sector,XLI,154,0.5325,-0.41,4.14,-62.45,3.25,19.96,0.965
sector,XLC,161,0.528,-0.83,3.38,-133.54,3.11,19.89,0.924
sector,XLRE,166,0.5422,-1.1,8.96,-182.46,3.07,20.0,0.906
sector,XLY,118,0.4492,-3.95,-9.1,-465.99,3.09,19.72,0.77
sector,XLF,147,0.4762,-3.21,-2.8,-471.92,3.36,19.94,0.774
sector,XLE,72,0.4583,-7.38,-5.26,-531.47,3.28,19.38,0.62
sector,XLV,181,0.4696,-5.05,-4.69,-913.56,3.34,19.82,0.65
sector,XLK,206,0.4515,-7.77,-5.67,-1600.25,3.49,19.49,0.6
signal,LONG,1682,0.5149,-2.49,3.02,-4185.49,3.25,19.81,0.811
signal_quality,MEDIUM,456,0.5263,-2.36,4.09,-1074.45,3.3,19.87,0.814
signal_quality,HIGH,545,0.5266,-2.03,4.07,-1104.52,3.28,19.7,0.852
signal_quality,LOW,681,0.4978,-2.95,-0.53,-2006.52,3.18,19.85,0.775
ticker,BKNG,10,0.6,19.09,34.48,190.91,4.0,19.27,3.699
ticker,COST,57,0.6667,3.12,10.77,178.06,2.96,20.0,1.41
ticker,PEG,10,0.9,12.85,14.05,128.53,2.9,20.0,9.714
ticker,DD,6,0.8333,19.0,25.98,113.98,3.17,19.53,6.041
ticker,AEP,26,0.6538,4.01,11.58,104.3,2.96,20.0,1.561
ticker,AIG,7,0.7143,13.19,22.08,92.32,3.0,20.0,3.162
ticker,CHTR,6,0.6667,14.26,23.8,85.55,3.5,20.0,2.454
ticker,DOW,5,0.8,16.64,21.0,83.18,3.0,20.0,2.164
ticker,HSY,28,0.6071,2.86,10.16,79.97,3.25,19.73,1.306
ticker,BA,3,0.6667,24.04,29.82,72.13,3.0,19.89,3.983
ticker,CAT,4,0.75,17.43,18.32,69.73,4.25,20.0,6.38
ticker,QCOM,11,0.6364,5.69,11.82,62.57,4.45,18.61,1.423
ticker,SCHW,11,0.5455,5.59,13.28,61.44,3.64,19.95,1.379
ticker,LYV,12,0.6667,5.08,14.22,61.01,3.75,19.73,1.619
ticker,SPG,3,1.0,20.03,19.59,60.1,3.0,20.0,
ticker,SRE,4,0.75,13.24,13.41,52.96,2.0,20.0,24.538
ticker,EA,13,0.6154,3.82,23.14,49.72,2.92,20.0,1.287
ticker,XEL,38,0.5789,1.28,8.66,48.75,3.53,20.0,1.134
ticker,WMT,14,0.7143,3.16,8.84,44.29,2.5,19.73,1.622
ticker,BSX,1,1.0,42.14,42.14,42.14,5.0,20.0,
ticker,SYY,32,0.625,1.3,10.69,41.62,3.38,20.0,1.15
ticker,NFLX,5,0.6,8.26,3.92,41.28,5.0,17.59,2.028
ticker,PH,4,0.5,10.26,13.57,41.03,3.25,20.0,1.886
ticker,COP,5,0.6,8.03,25.19,40.16,3.6,19.82,1.657
ticker,LMT,4,0.75,9.84,14.61,39.36,4.25,20.0,4.197
ticker,T,24,0.5833,1.61,5.92,38.54,3.25,20.0,1.176
