ticker,trades,win_rate,avg_pnl,median_pnl,total_pnl,long_trades,short_trades
GOOGL,7,1.0,31.4443,29.6,220.11,7,0
BKNG,7,1.0,30.4214,40.15,212.95,7,0
CI,20,0.65,7.705,15.31,154.1,20,0
PM,4,1.0,26.85,30.315,107.4,4,0
CMCSA,4,1.0,26.6225,23.945,106.49,4,0
SPG,5,0.6,19.622,35.39,98.11,5,0
KMB,20,0.7,4.8215,11.785,96.43,20,0
AMAT,13,0.6154,7.1362,17.72,92.77,13,0
KMI,13,0.6923,6.9615,15.24,90.5,13,0
GILD,9,0.6667,9.9044,12.99,89.14,9,0
GIS,14,0.7143,6.2714,10.44,87.8,14,0
SCHW,14,0.5714,5.9893,22.44,83.85,14,0
UNH,13,0.6154,6.1446,15.19,79.88,13,0
SLB,10,0.7,7.839,23.185,78.39,10,0
VZ,5,0.8,14.182,17.66,70.91,5,0
CCI,5,0.8,14.012,18.91,70.06,5,0
PSX,18,0.6111,3.8439,19.025,69.19,18,0
EQIX,2,1.0,34.165,34.165,68.33,2,0
MAR,7,0.7143,9.6186,18.12,67.33,7,0
FDX,16,0.6875,4.1806,8.535,66.89,16,0
EBAY,17,0.5294,3.5635,16.15,60.58,17,0
DHR,14,0.5,4.2971,1.34,60.16,14,0
PH,4,0.75,15.0375,29.39,60.15,4,0
BSX,3,0.6667,19.1133,27.9,57.34,3,0
TMO,1,1.0,55.23,55.23,55.23,1,0
SPGI,5,0.6,10.92,15.89,54.6,5,0
USB,5,0.8,10.016,20.81,50.08,5,0
ETN,5,0.8,9.94,15.95,49.7,5,0
BAC,4,0.75,12.35,19.335,49.4,4,0
LMT,9,0.6667,5.4622,14.54,49.16,9,0
DOW,6,0.6667,8.1617,36.295,48.97,6,0
PNC,11,0.5455,4.25,21.07,46.75,11,0
NEE,4,1.0,10.7975,10.805,43.19,4,0
WMB,12,0.5,3.4608,-0.19,41.53,12,0
AMT,4,0.5,10.3525,5.95,41.41,4,0
CRM,15,0.6,2.76,23.67,41.4,15,0
COF,12,0.5833,3.3508,4.565,40.21,12,0
FCX,13,0.6154,3.0238,15.53,39.31,13,0
AMZN,5,0.6,7.324,25.16,36.62,5,0
SYY,8,0.625,4.0887,7.895,32.71,8,0
PEG,9,0.5556,3.4144,13.06,30.73,9,0
AIG,7,0.7143,4.3414,20.05,30.39,7,0
MSFT,3,0.6667,10.1167,14.15,30.35,3,0
DUK,1,1.0,26.16,26.16,26.16,1,0
WMT,3,0.6667,8.57,25.02,25.71,3,0
NUE,8,0.625,3.1587,14.25,25.27,8,0
EA,8,0.625,3.1225,14.055,24.98,8,0
ROST,17,0.5882,1.4006,14.06,23.81,17,0
MRK,6,0.5,2.9817,-0.43,17.89,6,0
V,3,0.6667,5.4767,15.23,16.43,3,0
O,16,0.5625,0.93,11.285,14.88,16,0
DD,7,0.4286,1.86,-3.69,13.02,7,0
ABBV,37,0.5946,0.303,10.23,11.21,37,0
CVX,4,0.5,2.775,-1.85,11.1,4,0
SHW,4,0.75,2.115,15.74,8.46,4,0
PG,4,0.5,2.11,7.62,8.44,4,0
GE,23,0.6087,0.3565,7.58,8.2,23,0
BA,13,0.5385,0.4392,21.12,5.71,13,0
D,6,0.6667,0.8,12.0,4.8,6,0
COP,6,0.5,0.455,5.555,2.73,6,0
SYK,9,0.5556,0.2267,0.7,2.04,9,0
ADBE,12,0.5833,0.07,16.055,0.84,12,0
AEP,5,0.6,0.1,0.42,0.5,5,0
EOG,14,0.5,0.0193,4.97,0.27,14,0
CSX,2,0.5,-0.445,-0.445,-0.89,2,0
ABT,6,0.6667,-0.1917,11.855,-1.15,6,0
HON,4,0.5,-0.7125,-0.355,-2.85,4,0
ISRG,6,0.5,-0.8517,4.59,-5.11,6,0
RTX,2,0.5,-4.65,-4.65,-9.3,2,0
TMUS,5,0.6,-2.47,4.66,-12.35,5,0
MCD,3,0.6667,-4.83,2.45,-14.49,3,0
BRK-B,5,0.4,-3.182,-4.51,-15.91,5,0
NOC,5,0.4,-3.362,-18.39,-16.81,5,0
WFC,3,0.3333,-6.01,-28.8,-18.03,3,0
AAPL,8,0.5,-2.4125,-5.945,-19.3,8,0
COST,6,0.6667,-3.4717,9.995,-20.83,6,0
LYV,29,0.5862,-0.7576,13.36,-21.97,29,0
GM,7,0.4286,-3.1471,-1.52,-22.03,7,0
INTC,12,0.5833,-1.8525,10.555,-22.23,12,0
MO,9,0.5556,-2.4756,3.55,-22.28,9,0
EXC,5,0.6,-4.74,11.79,-23.7,5,0
XOM,1,0.0,-24.48,-24.48,-24.48,1,0
MMM,10,0.5,-2.465,-2.735,-24.65,10,0
MU,9,0.5556,-2.8511,17.08,-25.66,9,0
NFLX,20,0.5,-1.359,-7.285,-27.18,20,0
T,10,0.5,-2.895,1.325,-28.95,10,0
LIN,1,0.0,-30.29,-30.29,-30.29,1,0
MDT,4,0.25,-8.0975,-14.915,-32.39,4,0
KO,2,0.0,-16.95,-16.95,-33.9,2,0
MA,3,0.3333,-11.55,-17.31,-34.65,3,0
IBM,12,0.5833,-2.9192,8.915,-35.03,12,0
QCOM,9,0.5556,-3.95,1.98,-35.55,9,0
EMR,5,0.4,-7.232,-7.37,-36.16,5,0
C,4,0.5,-10.245,-0.185,-40.98,4,0
MPC,13,0.4615,-3.1738,-6.19,-41.26,13,0
ED,15,0.5333,-2.9073,5.85,-43.61,15,0
WELL,9,0.5556,-4.8622,6.38,-43.76,9,0
XEL,9,0.5556,-4.8711,1.04,-43.84,9,0
PLD,3,0.3333,-14.7833,-31.21,-44.35,3,0
