group_type,group,trades,win_rate,avg_pnl,median_pnl,total_pnl,profit_factor,raw_sharpe_proxy,avg_confidence,avg_expected_return,avg_rank_score,avg_holding_days
confidence_decile,C1,131,0.5038,0.67,3.55,87.83,1.044,0.018,50.04,0.2805,0.0101,3.25
confidence_decile,C4,131,0.542,-0.37,3.46,-47.92,0.975,-0.011,50.29,0.217,0.0114,3.19
confidence_decile,C8,131,0.542,-0.63,4.79,-81.99,0.955,-0.02,51.3,0.2267,0.0114,3.25
confidence_decile,C9,131,0.542,-2.02,4.27,-264.3,0.867,-0.062,51.86,0.2487,0.0137,3.24
confidence_decile,C7,131,0.5115,-2.37,0.3,-310.9,0.848,-0.071,50.87,0.2473,0.0112,3.49
confidence_decile,C2,131,0.5344,-2.41,7.42,-315.22,0.841,-0.075,50.12,0.2161,0.0155,3.02
confidence_decile,C3,131,0.5267,-2.59,4.13,-339.51,0.825,-0.083,50.19,0.2114,0.0129,3.41
confidence_decile,C10,131,0.5115,-3.25,1.47,-426.28,0.8,-0.095,53.59,0.2458,0.0106,3.19
confidence_decile,C6,130,0.5154,-3.48,2.12,-452.74,0.783,-0.105,50.62,0.2755,0.0106,3.23
confidence_decile,C5,131,0.4962,-5.35,-2.09,-701.24,0.675,-0.174,50.44,0.2638,0.0121,3.24
entry_year,2019,116,0.6034,3.39,10.59,392.93,1.278,0.106,50.32,0.2671,0.0115,3.29
entry_year,2026,29,0.6552,9.0,24.22,261.12,1.824,0.276,50.42,0.2072,0.002,3.14
entry_year,2020,44,0.5,0.07,-1.27,3.07,1.005,0.002,51.01,-0.147,0.0136,3.68
entry_year,2021,148,0.5541,-0.21,9.95,-30.64,0.987,-0.006,50.65,0.2843,0.0141,3.18
entry_year,2024,150,0.52,-0.69,4.42,-104.13,0.942,-0.027,51.32,0.2563,0.0086,3.1
entry_year,2023,119,0.5462,-1.29,6.2,-153.76,0.904,-0.044,51.18,0.2897,0.0071,3.27
entry_year,2025,103,0.5146,-1.88,2.82,-193.15,0.865,-0.066,50.54,0.298,0.0083,3.51
entry_year,2022,60,0.5,-3.62,0.58,-216.9,0.811,-0.093,51.04,0.3537,0.0085,3.52
entry_year,2015,114,0.5175,-3.24,5.28,-369.15,0.834,-0.081,50.93,0.2979,0.0156,3.27
entry_year,2016,136,0.4706,-4.39,-3.45,-596.4,0.735,-0.128,50.54,0.2321,0.0189,3.35
entry_year,2018,121,0.4876,-7.23,-2.78,-875.2,0.62,-0.201,50.87,0.3075,0.0138,3.21
entry_year,2017,169,0.4911,-5.74,-2.35,-970.06,0.626,-0.201,51.7,0.1082,0.0121,2.99
exit_reason,stop_loss,478,0.7301,7.98,18.27,3812.38,1.697,0.234,50.96,0.2451,0.0114,2.45
exit_reason,time_exit,398,0.4799,-1.88,-2.03,-750.08,0.811,-0.083,50.94,0.2385,0.0136,5.0
exit_reason,take_profit,433,0.3326,-13.66,-27.01,-5914.57,0.442,-0.382,50.89,0.2457,0.011,2.52
expected_return_decile,E9,131,0.6183,2.56,14.06,335.01,1.196,0.078,50.99,0.4559,0.0111,3.29
expected_return_decile,E3,131,0.5878,1.79,10.46,234.35,1.149,0.059,51.07,0.1142,0.0133,3.18
expected_return_decile,E8,131,0.542,-0.49,2.93,-63.62,0.966,-0.015,50.7,0.3724,0.0104,3.27
expected_return_decile,E10,131,0.542,-0.59,13.87,-76.94,0.968,-0.014,51.25,0.7385,0.0131,3.34
expected_return_decile,E6,130,0.5154,-1.3,4.33,-168.4,0.909,-0.041,50.72,0.2726,0.0101,3.23
expected_return_decile,E5,131,0.542,-2.07,5.76,-271.07,0.851,-0.071,50.65,0.2282,0.0102,3.14
expected_return_decile,E7,131,0.458,-4.21,-7.13,-551.18,0.739,-0.13,50.72,0.3145,0.014,3.35
expected_return_decile,E1,131,0.4656,-5.28,-4.51,-691.46,0.711,-0.149,51.28,-0.259,0.0141,3.46
expected_return_decile,E2,131,0.4656,-5.93,-6.41,-776.85,0.651,-0.186,51.09,0.0156,0.012,3.21
expected_return_decile,E4,131,0.4885,-6.28,-3.32,-822.11,0.611,-0.211,50.83,0.1799,0.0111,3.04
holding_days_bucket,1d,300,0.55,-1.78,10.37,-533.86,0.887,-0.054,50.96,0.2443,0.0117,1.0
holding_days_bucket,4-5d,634,0.4984,-1.51,-0.36,-959.82,0.886,-0.05,50.93,0.2415,0.0125,4.79
holding_days_bucket,2-3d,375,0.5413,-3.62,12.68,-1358.59,0.803,-0.098,50.9,0.2455,0.0112,2.46
rank_score_decile,R2,131,0.5573,0.05,7.62,7.01,1.004,0.002,50.96,0.2758,-0.0008,3.4
rank_score_decile,R5,131,0.5725,-0.12,8.4,-16.13,0.991,-0.004,50.97,0.2534,0.01,3.11
rank_score_decile,R4,131,0.5038,-0.87,1.41,-113.71,0.935,-0.03,50.97,0.2331,0.0075,2.96
rank_score_decile,R9,131,0.5191,-1.4,10.41,-183.6,0.91,-0.041,50.96,0.2651,0.0245,3.37
rank_score_decile,R8,131,0.5344,-1.95,3.55,-255.88,0.867,-0.062,50.74,0.2506,0.0193,3.24
