date,entry_date,exit_date,ticker,signal,signal_quality,confidence,expected_return,rank_score,rank_orientation,rank_orientation_corr,conformal_singleton,conformal_set_size,conformal_qhat,position_pct,regime_state,entry_price,exit_price,holding_days,net_pnl,exit_reason,sector,capacity_warning
2015-02-06,2015-02-09,2015-02-10,GM,LONG,HIGH,51.43,0.32,0.0559,1.0,,True,1,0.5138209462165833,20.0,neutral,27.6093,28.1934,1,41.65,stop_loss,XLY,False
2015-02-06,2015-02-09,2015-02-10,MU,LONG,MEDIUM,51.31,0.31,0.0307,1.0,,False,2,0.5138209462165833,20.0,neutral,28.1025,29.0533,1,67.06,stop_loss,XLK,False
2015-02-10,2015-02-11,2015-02-12,CSX,LONG,LOW,50.5,0.49,-0.0071,1.0,,False,2,0.5138209462165833,20.0,neutral,9.9211,10.1393,1,42.64,take_profit,XLI,False
2015-02-06,2015-02-09,2015-02-13,PH,LONG,LOW,51.39,0.43,0.0205,1.0,,True,1,0.5138209462165833,20.0,neutral,100.5924,102.8699,4,45.15,stop_loss,XLI,False
2015-02-10,2015-02-11,2015-02-13,AIG,LONG,LOW,50.78,0.53,-0.0093,1.0,,False,2,0.5138209462165833,20.0,neutral,40.0007,40.8097,2,40.57,take_profit,XLF,False
2015-02-06,2015-02-09,2015-02-17,CAT,LONG,LOW,51.31,0.33,0.0132,1.0,,False,2,0.5138209462165833,20.0,neutral,63.0029,64.5688,5,49.47,time_exit,XLI,False
2015-02-13,2015-02-17,2015-02-18,AXP,LONG,LOW,50.29,0.59,0.0059,1.0,,False,2,0.5138209462165833,20.0,bull,65.8544,67.6894,1,57.2,stop_loss,XLF,False
2015-02-13,2015-02-17,2015-02-19,AMAT,LONG,LOW,50.29,0.44,0.0144,1.0,,False,2,0.5138209462165833,20.0,bull,21.0136,21.5669,2,53.36,stop_loss,XLK,False
2015-02-12,2015-02-13,2015-02-23,MSFT,LONG,MEDIUM,50.33,0.45,0.0154,1.0,,False,2,0.5138209462165833,20.0,neutral,36.9475,37.7595,5,44.29,time_exit,XLK,False
2015-02-17,2015-02-18,2015-02-25,LYV,LONG,HIGH,50.35,0.31,0.0218,1.0,,False,2,0.5138209462165833,20.0,bull,25.3773,25.8236,5,35.72,stop_loss,XLC,False
2015-02-18,2015-02-19,2015-02-26,ABBV,LONG,LOW,51.68,0.19,0.0195,1.0,,True,1,0.5138209462165833,20.0,bull,37.3688,38.2615,5,49.03,time_exit,XLV,False
2015-02-19,2015-02-20,2015-02-27,MAR,LONG,LOW,50.64,0.37,-0.0124,1.0,,False,2,0.5138209462165833,20.0,bull,74.6518,74.519,5,-3.99,time_exit,XLY,False
2015-02-25,2015-02-26,2015-03-02,MCD,LONG,LOW,52.3,0.06,-0.0264,1.0,0.17,True,1,0.5138209462165833,20.0,bull,74.1663,75.157,2,27.81,stop_loss,XLY,False
2015-02-23,2015-02-24,2015-03-03,AMGN,LONG,LOW,51.58,0.23,0.005,1.0,,True,1,0.5138209462165833,20.0,bull,115.7789,115.1016,5,-12.5,time_exit,XLV,False
2015-03-02,2015-03-03,2015-03-04,MU,LONG,MEDIUM,51.56,0.02,0.0213,1.0,0.23,True,1,0.5138209462165833,20.0,bull,29.6783,28.5579,1,-80.99,take_profit,XLK,False
2015-02-26,2015-02-27,2015-03-06,WELL,LONG,HIGH,50.68,0.38,0.0601,1.0,0.1703,False,2,0.5138209462165833,20.0,bull,50.1618,48.5501,5,-68.43,stop_loss,XLRE,False
2015-03-03,2015-03-04,2015-03-06,PH,LONG,HIGH,50.57,0.18,-0.0072,1.0,0.2178,False,2,0.5138209462165833,20.0,bull,102.6354,101.1007,2,-31.74,take_profit,XLI,False
2015-03-04,2015-03-05,2015-03-06,EQIX,LONG,LOW,51.73,0.07,-0.0175,1.0,0.1346,True,1,0.5138209462165833,20.0,bull,172.2035,175.5945,1,41.04,stop_loss,XLRE,False
2015-02-27,2015-03-02,2015-03-09,MAR,LONG,MEDIUM,50.64,0.38,-0.0105,1.0,0.2162,False,2,0.5138209462165833,20.0,bull,74.9875,73.9605,5,-29.22,time_exit,XLY,False
