ticker,approved_for_live,approval_status,approval_reason,direction_accuracy,baseline_up_rate,direction_edge_pp,return_spearman,threshold_used_fallback,confidence_threshold,evaluated_at,walkforward_trades,walkforward_win_rate,walkforward_total_pnl,walkforward_sharpe,walkforward_max_drawdown_pct,quality_source,portfolio_sharpe,portfolio_max_drawdown_pct,portfolio_total_return_pct,portfolio_nw_tstat_vs_cash,walkforward_avg_win,walkforward_avg_loss,walkforward_avg_win_loss_ratio,walkforward_profit_factor,walkforward_avg_expected_return,walkforward_exposure_pct,portfolio_cagr_pct,portfolio_avg_gross_exposure_pct,portfolio_in_market_pct,rank_spearman,confidence_validated,confidence_validation_reason,daily_rank_ic_mean,daily_rank_ic_tstat
ABT,False,rejected,confidence_not_validated: confidence_not_correlated_with_correctness; bucket_precision_not_monotonic; walkforward_trades 5 < 10; avg_win_loss_ratio 0.000 < 1.000,47.88,46.41,1.47,,True,52.5,2026-05-02T18:03:48,5,1.0,134.25,9.235,0.0,backtest_walkforward,0.542,-17.47,139.1,2.443,26.85,,,999.0,0.188,18.55,5.49,21.6,39.86,0.0126,False,confidence_not_correlated_with_correctness; bucket_precision_not_monotonic,0.0011,0.318
EMR,False,rejected,confidence_not_validated: confidence_not_correlated_with_correctness; bucket_precision_not_monotonic; walkforward_trades 3 < 10; avg_win_loss_ratio 0.000 < 1.000,47.88,46.41,1.47,,True,52.5,2026-05-02T18:03:48,3,1.0,79.99,10.675,0.0,backtest_walkforward,0.542,-17.47,139.1,2.443,26.66,,,999.0,0.3267,20.0,5.49,21.6,39.86,0.0126,False,confidence_not_correlated_with_correctness; bucket_precision_not_monotonic,0.0011,0.318
SHW,False,rejected,confidence_not_validated: confidence_not_correlated_with_correctness; bucket_precision_not_monotonic; walkforward_trades 3 < 10; avg_win_loss_ratio 0.000 < 1.000,47.88,46.41,1.47,,True,52.5,2026-05-02T18:03:48,3,1.0,60.86,76.365,0.0,backtest_walkforward,0.542,-17.47,139.1,2.443,20.29,,,999.0,0.3933,20.0,5.49,21.6,39.86,0.0126,False,confidence_not_correlated_with_correctness; bucket_precision_not_monotonic,0.0011,0.318
PNC,False,rejected,confidence_not_validated: confidence_not_correlated_with_correctness; bucket_precision_not_monotonic; walkforward_trades 2 < 10; avg_win_loss_ratio 0.000 < 1.000,47.88,46.41,1.47,,True,52.5,2026-05-02T18:03:48,2,1.0,49.08,14.05,0.0,backtest_walkforward,0.542,-17.47,139.1,2.443,24.54,,,999.0,0.315,20.0,5.49,21.6,39.86,0.0126,False,confidence_not_correlated_with_correctness; bucket_precision_not_monotonic,0.0011,0.318
CVS,False,rejected,confidence_not_validated: confidence_not_correlated_with_correctness; bucket_precision_not_monotonic; walkforward_trades 2 < 10; avg_win_loss_ratio 0.000 < 1.000,47.88,46.41,1.47,,True,52.5,2026-05-02T18:03:48,2,1.0,35.91,33.456,0.0,backtest_walkforward,0.542,-17.47,139.1,2.443,17.95,,,999.0,0.41,20.0,5.49,21.6,39.86,0.0126,False,confidence_not_correlated_with_correctness; bucket_precision_not_monotonic,0.0011,0.318
CRM,False,rejected,confidence_not_validated: confidence_not_correlated_with_correctness; bucket_precision_not_monotonic; walkforward_trades 2 < 10; avg_win_loss_ratio 0.000 < 1.000,47.88,46.41,1.47,,True,52.5,2026-05-02T18:03:48,2,1.0,22.41,5.43,0.0,backtest_walkforward,0.542,-17.47,139.1,2.443,11.21,,,999.0,0.245,19.84,5.49,21.6,39.86,0.0126,False,confidence_not_correlated_with_correctness; bucket_precision_not_monotonic,0.0011,0.318
RTX,False,rejected,confidence_not_validated: confidence_not_correlated_with_correctness; bucket_precision_not_monotonic; walkforward_trades 2 < 10,47.88,46.41,1.47,,True,52.5,2026-05-02T18:03:48,2,0.5,41.96,3.519,-0.0,backtest_walkforward,0.542,-17.47,139.1,2.443,42.14,0.18,234.111,234.111,0.57,20.0,5.49,21.6,39.86,0.0126,False,confidence_not_correlated_with_correctness; bucket_precision_not_monotonic,0.0011,0.318
MAR,False,rejected,confidence_not_validated: confidence_not_correlated_with_correctness; bucket_precision_not_monotonic; walkforward_trades 2 < 10,47.88,46.41,1.47,,True,52.5,2026-05-02T18:03:48,2,0.5,45.3,2.195,-0.14,backtest_walkforward,0.542,-17.47,139.1,2.443,59.28,13.98,4.24,4.24,0.105,20.0,5.49,21.6,39.86,0.0126,False,confidence_not_correlated_with_correctness; bucket_precision_not_monotonic,0.0011,0.318
WFC,False,rejected,confidence_not_validated: confidence_not_correlated_with_correctness; bucket_precision_not_monotonic; avg_win_loss_ratio 0.752 < 1.000,47.88,46.41,1.47,,True,52.5,2026-05-02T18:03:48,12,0.8333,271.13,3.132,-0.45,backtest_walkforward,0.542,-17.47,139.1,2.443,36.93,49.09,0.752,3.762,0.4833,19.52,5.49,21.6,39.86,0.0126,False,confidence_not_correlated_with_correctness; bucket_precision_not_monotonic,0.0011,0.318
PLD,False,rejected,confidence_not_validated: confidence_not_correlated_with_correctness; bucket_precision_not_monotonic; walkforward_trades 6 < 10; avg_win_loss_ratio 0.695 < 1.000,47.88,46.41,1.47,,True,52.5,2026-05-02T18:03:48,6,0.8333,99.21,2.882,-0.4,backtest_walkforward,0.542,-17.47,139.1,2.443,27.86,40.11,0.695,3.473,0.375,20.0,5.49,21.6,39.86,0.0126,False,confidence_not_correlated_with_correctness; bucket_precision_not_monotonic,0.0011,0.318
IBM,False,rejected,confidence_not_validated: confidence_not_correlated_with_correctness; bucket_precision_not_monotonic; walkforward_trades 4 < 10,47.88,46.41,1.47,,True,52.5,2026-05-02T18:03:48,4,0.75,55.56,2.611,-0.25,backtest_walkforward,0.542,-17.47,139.1,2.443,26.95,25.29,1.066,3.197,0.445,20.0,5.49,21.6,39.86,0.0126,False,confidence_not_correlated_with_correctness; bucket_precision_not_monotonic,0.0011,0.318
COP,False,rejected,confidence_not_validated: confidence_not_correlated_with_correctness; bucket_precision_not_monotonic; walkforward_trades 2 < 10,47.88,46.41,1.47,,True,52.5,2026-05-02T18:03:48,2,0.5,47.93,1.749,-0.24,backtest_walkforward,0.542,-17.47,139.1,2.443,72.6,24.67,2.943,2.943,0.14,20.0,5.49,21.6,39.86,0.0126,False,confidence_not_correlated_with_correctness; bucket_precision_not_monotonic,0.0011,0.318
HSY,False,rejected,confidence_not_validated: confidence_not_correlated_with_correctness; bucket_precision_not_monotonic; walkforward_trades 9 < 10; avg_win_loss_ratio 0.839 < 1.000,47.88,46.41,1.47,,True,52.5,2026-05-02T18:03:48,9,0.7778,114.08,2.553,-0.58,backtest_walkforward,0.542,-17.47,139.1,2.443,24.71,29.44,0.839,2.938,0.2467,20.0,5.49,21.6,39.86,0.0126,False,confidence_not_correlated_with_correctness; bucket_precision_not_monotonic,0.0011,0.318
BSX,False,rejected,confidence_not_validated: confidence_not_correlated_with_correctness; bucket_precision_not_monotonic; walkforward_trades 7 < 10; avg_win_loss_ratio 0.482 < 1.000,47.88,46.41,1.47,,True,52.5,2026-05-02T18:03:48,7,0.8571,134.23,2.131,-0.71,backtest_walkforward,0.542,-17.47,139.1,2.443,34.19,70.9,0.482,2.893,0.4329,20.0,5.49,21.6,39.86,0.0126,False,confidence_not_correlated_with_correctness; bucket_precision_not_monotonic,0.0011,0.318
