ticker,val_accuracy,baseline_val,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight
AMZN,61.6114,60.4265,6,0.05,0.85,0.6,5
AMZN,61.6114,60.4265,6,0.05,0.7,0.8,3
AMZN,61.3744,60.4265,6,0.08,0.7,0.8,1
AMZN,61.3744,60.4265,8,0.08,0.85,0.6,3
AMZN,61.1374,60.4265,4,0.05,0.85,0.6,5
AMZN,61.1374,60.4265,6,0.05,0.7,0.8,1
AMZN,60.9005,60.4265,6,0.08,0.7,0.8,5
AMZN,60.6635,60.4265,6,0.03,0.7,0.8,1
AMZN,60.6635,60.4265,6,0.03,0.7,0.8,3
AMZN,60.6635,60.4265,4,0.03,0.7,0.8,5
AMZN,60.4265,60.4265,8,0.03,0.7,0.6,5
AMZN,60.4265,60.4265,6,0.08,0.7,0.6,3
AMZN,60.4265,60.4265,6,0.08,0.7,0.8,3
AMZN,60.4265,60.4265,6,0.03,0.85,0.6,3
AMZN,60.4265,60.4265,6,0.08,0.85,0.8,1
AMZN,60.4265,60.4265,6,0.08,0.85,0.8,3
AMZN,60.4265,60.4265,6,0.08,0.85,0.8,5
AMZN,60.4265,60.4265,6,0.03,0.85,0.6,1
AMZN,60.4265,60.4265,6,0.05,0.85,0.8,3
AMZN,60.4265,60.4265,4,0.03,0.7,0.6,1
AMZN,60.4265,60.4265,8,0.03,0.85,0.6,1
AMZN,60.4265,60.4265,8,0.03,0.85,0.8,3
AMZN,60.4265,60.4265,8,0.03,0.85,0.8,5
AMZN,60.4265,60.4265,8,0.05,0.7,0.8,3
AMZN,60.4265,60.4265,8,0.05,0.85,0.8,1
AMZN,60.4265,60.4265,8,0.05,0.85,0.8,3
AMZN,60.4265,60.4265,8,0.05,0.85,0.8,5
AMZN,60.4265,60.4265,8,0.08,0.7,0.6,3
AMZN,60.4265,60.4265,8,0.08,0.7,0.8,1
AMZN,60.4265,60.4265,8,0.08,0.7,0.8,3
AMZN,60.4265,60.4265,8,0.08,0.85,0.6,1
AMZN,60.4265,60.4265,8,0.08,0.85,0.6,5
AMZN,60.4265,60.4265,8,0.08,0.85,0.8,1
AMZN,60.4265,60.4265,8,0.08,0.85,0.8,3
AMZN,60.4265,60.4265,8,0.03,0.85,0.8,1
AMZN,60.4265,60.4265,8,0.08,0.85,0.8,5
AMZN,60.4265,60.4265,4,0.08,0.85,0.6,3
AMZN,60.4265,60.4265,4,0.03,0.85,0.8,5
AMZN,60.4265,60.4265,4,0.08,0.85,0.6,1
AMZN,60.4265,60.4265,4,0.08,0.7,0.8,5
AMZN,60.4265,60.4265,4,0.08,0.7,0.8,3
