ticker,val_accuracy,baseline_val,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight
MSFT,62.7078,60.8076,4,0.08,0.7,0.8,5
MSFT,62.7078,60.8076,8,0.08,0.7,0.6,1
MSFT,62.7078,60.8076,6,0.08,0.7,0.8,1
MSFT,62.4703,60.8076,4,0.08,0.7,0.6,5
MSFT,61.9952,60.8076,4,0.08,0.7,0.6,3
MSFT,61.7577,60.8076,8,0.05,0.7,0.6,5
MSFT,61.7577,60.8076,4,0.03,0.7,0.8,3
MSFT,61.5202,60.8076,4,0.05,0.7,0.8,5
MSFT,61.5202,60.8076,4,0.08,0.7,0.8,3
MSFT,61.5202,60.8076,4,0.08,0.7,0.8,1
MSFT,61.5202,60.8076,4,0.05,0.7,0.8,1
MSFT,61.2827,60.8076,4,0.05,0.7,0.6,5
MSFT,61.2827,60.8076,8,0.05,0.85,0.6,3
MSFT,61.2827,60.8076,6,0.05,0.7,0.6,5
MSFT,61.2827,60.8076,4,0.05,0.7,0.6,1
MSFT,61.2827,60.8076,8,0.03,0.7,0.6,3
MSFT,61.2827,60.8076,6,0.05,0.85,0.8,5
MSFT,61.0451,60.8076,6,0.05,0.85,0.6,3
MSFT,61.0451,60.8076,4,0.05,0.7,0.6,3
MSFT,61.0451,60.8076,8,0.03,0.85,0.6,1
MSFT,61.0451,60.8076,6,0.03,0.7,0.6,3
MSFT,61.0451,60.8076,6,0.08,0.7,0.6,3
MSFT,61.0451,60.8076,6,0.05,0.7,0.8,3
MSFT,60.8076,60.8076,6,0.05,0.7,0.8,1
MSFT,60.8076,60.8076,6,0.05,0.7,0.6,3
MSFT,60.8076,60.8076,6,0.05,0.85,0.8,1
MSFT,60.8076,60.8076,6,0.05,0.85,0.6,5
MSFT,60.8076,60.8076,6,0.05,0.7,0.8,5
MSFT,60.8076,60.8076,8,0.05,0.85,0.8,3
MSFT,60.8076,60.8076,4,0.03,0.7,0.6,1
MSFT,60.8076,60.8076,6,0.08,0.85,0.8,5
MSFT,60.8076,60.8076,6,0.08,0.85,0.6,5
MSFT,60.8076,60.8076,6,0.08,0.85,0.8,3
MSFT,60.8076,60.8076,6,0.03,0.85,0.8,5
MSFT,60.8076,60.8076,8,0.05,0.85,0.8,1
MSFT,60.8076,60.8076,8,0.03,0.7,0.8,1
MSFT,60.8076,60.8076,8,0.03,0.7,0.8,3
MSFT,60.8076,60.8076,8,0.03,0.7,0.8,5
MSFT,60.8076,60.8076,8,0.03,0.85,0.6,3
MSFT,60.8076,60.8076,8,0.05,0.85,0.6,5
MSFT,60.8076,60.8076,8,0.03,0.85,0.8,1
MSFT,60.8076,60.8076,8,0.03,0.85,0.8,3
MSFT,60.8076,60.8076,8,0.03,0.85,0.8,5
MSFT,60.8076,60.8076,8,0.05,0.7,0.6,1
MSFT,60.8076,60.8076,8,0.05,0.7,0.6,3
MSFT,60.8076,60.8076,8,0.05,0.7,0.8,1
MSFT,60.8076,60.8076,6,0.05,0.7,0.6,1
MSFT,60.8076,60.8076,6,0.03,0.85,0.8,1
MSFT,60.8076,60.8076,6,0.03,0.85,0.8,3
MSFT,60.8076,60.8076,4,0.08,0.85,0.8,5
MSFT,60.8076,60.8076,4,0.03,0.7,0.6,5
MSFT,60.8076,60.8076,4,0.03,0.7,0.8,1
MSFT,60.8076,60.8076,4,0.03,0.85,0.8,1
MSFT,60.8076,60.8076,4,0.03,0.85,0.8,3
MSFT,60.8076,60.8076,4,0.05,0.7,0.8,3
MSFT,60.8076,60.8076,8,0.08,0.85,0.6,5
MSFT,60.8076,60.8076,4,0.08,0.85,0.6,5
MSFT,60.8076,60.8076,8,0.05,0.7,0.8,5
MSFT,60.8076,60.8076,6,0.03,0.7,0.6,5
MSFT,60.8076,60.8076,6,0.03,0.85,0.6,3
MSFT,60.8076,60.8076,6,0.03,0.7,0.8,5
MSFT,60.8076,60.8076,6,0.03,0.7,0.6,1
MSFT,60.8076,60.8076,6,0.03,0.7,0.8,1
MSFT,60.8076,60.8076,6,0.03,0.7,0.8,3
MSFT,60.5701,60.8076,8,0.08,0.7,0.8,3
MSFT,60.5701,60.8076,4,0.03,0.85,0.8,5
MSFT,60.5701,60.8076,4,0.08,0.7,0.6,1
MSFT,60.5701,60.8076,6,0.08,0.85,0.8,1
MSFT,60.5701,60.8076,4,0.03,0.85,0.6,1
MSFT,60.5701,60.8076,4,0.03,0.7,0.8,5
MSFT,60.5701,60.8076,8,0.05,0.7,0.8,3
MSFT,60.5701,60.8076,6,0.08,0.85,0.6,3
MSFT,60.3325,60.8076,8,0.08,0.85,0.8,1
MSFT,60.3325,60.8076,4,0.03,0.85,0.6,5
MSFT,60.3325,60.8076,4,0.03,0.85,0.6,3
MSFT,60.3325,60.8076,4,0.03,0.7,0.6,3
MSFT,60.3325,60.8076,8,0.03,0.7,0.6,5
MSFT,60.3325,60.8076,4,0.05,0.85,0.8,3
MSFT,60.3325,60.8076,8,0.08,0.7,0.8,5
MSFT,60.3325,60.8076,8,0.08,0.7,0.6,5
MSFT,60.3325,60.8076,6,0.08,0.7,0.8,5
MSFT,60.095,60.8076,8,0.08,0.7,0.6,3
MSFT,60.095,60.8076,8,0.05,0.85,0.8,5
MSFT,60.095,60.8076,4,0.08,0.85,0.8,1
MSFT,59.8575,60.8076,4,0.05,0.85,0.6,3
MSFT,59.8575,60.8076,6,0.08,0.7,0.8,3
MSFT,59.8575,60.8076,6,0.08,0.7,0.6,5
MSFT,59.8575,60.8076,6,0.08,0.7,0.6,1
MSFT,59.8575,60.8076,6,0.05,0.85,0.8,3
MSFT,59.62,60.8076,8,0.08,0.85,0.6,3
MSFT,59.62,60.8076,6,0.05,0.85,0.6,1
MSFT,59.62,60.8076,6,0.03,0.85,0.6,5
MSFT,59.62,60.8076,4,0.05,0.85,0.6,5
MSFT,59.62,60.8076,4,0.08,0.85,0.6,1
MSFT,59.3824,60.8076,6,0.03,0.85,0.6,1
MSFT,59.1449,60.8076,8,0.08,0.7,0.8,1
MSFT,59.1449,60.8076,6,0.08,0.85,0.6,1
MSFT,59.1449,60.8076,4,0.08,0.85,0.6,3
MSFT,59.1449,60.8076,8,0.03,0.85,0.6,5
MSFT,58.9074,60.8076,8,0.08,0.85,0.8,3
MSFT,58.6698,60.8076,4,0.05,0.85,0.8,5
MSFT,58.6698,60.8076,8,0.08,0.85,0.8,5
MSFT,58.4323,60.8076,8,0.08,0.85,0.6,1
MSFT,58.4323,60.8076,8,0.03,0.7,0.6,1
MSFT,57.9572,60.8076,4,0.05,0.85,0.6,1
MSFT,57.2447,60.8076,4,0.05,0.85,0.8,1
MSFT,57.2447,60.8076,8,0.05,0.85,0.6,1
MSFT,57.0071,60.8076,4,0.08,0.85,0.8,3
