ticker,val_accuracy,baseline_val,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight
TSLA,51.0689,50.3563,8,0.08,0.85,0.6,5
TSLA,50.5938,50.3563,6,0.08,0.85,0.8,3
TSLA,50.3563,50.3563,4,0.03,0.7,0.6,1
TSLA,50.3563,50.3563,6,0.08,0.7,0.8,5
TSLA,50.3563,50.3563,8,0.03,0.7,0.8,3
TSLA,50.3563,50.3563,8,0.03,0.7,0.8,1
TSLA,50.3563,50.3563,8,0.03,0.7,0.6,5
TSLA,50.3563,50.3563,8,0.03,0.7,0.6,3
TSLA,50.3563,50.3563,8,0.03,0.7,0.6,1
TSLA,50.3563,50.3563,6,0.08,0.85,0.8,5
TSLA,50.3563,50.3563,6,0.08,0.85,0.6,5
TSLA,50.3563,50.3563,6,0.08,0.85,0.6,3
TSLA,50.3563,50.3563,6,0.08,0.85,0.6,1
TSLA,50.3563,50.3563,6,0.08,0.7,0.8,3
TSLA,50.3563,50.3563,8,0.03,0.85,0.6,1
TSLA,50.3563,50.3563,6,0.08,0.7,0.6,5
TSLA,50.3563,50.3563,6,0.08,0.7,0.6,3
TSLA,50.3563,50.3563,6,0.08,0.7,0.6,1
TSLA,50.3563,50.3563,6,0.05,0.85,0.8,5
TSLA,50.3563,50.3563,6,0.05,0.85,0.8,3
TSLA,50.3563,50.3563,6,0.05,0.85,0.8,1
TSLA,50.3563,50.3563,6,0.05,0.85,0.6,5
TSLA,50.3563,50.3563,6,0.05,0.85,0.6,3
TSLA,50.3563,50.3563,4,0.03,0.7,0.6,3
TSLA,50.3563,50.3563,6,0.05,0.7,0.8,5
TSLA,50.3563,50.3563,8,0.03,0.7,0.8,5
TSLA,50.3563,50.3563,8,0.03,0.85,0.6,3
TSLA,50.3563,50.3563,6,0.05,0.7,0.8,1
TSLA,50.3563,50.3563,8,0.03,0.85,0.6,5
TSLA,50.3563,50.3563,8,0.08,0.85,0.6,1
TSLA,50.3563,50.3563,8,0.08,0.7,0.8,5
TSLA,50.3563,50.3563,8,0.08,0.7,0.8,3
TSLA,50.3563,50.3563,8,0.08,0.7,0.8,1
TSLA,50.3563,50.3563,8,0.08,0.7,0.6,5
TSLA,50.3563,50.3563,8,0.08,0.7,0.6,3
TSLA,50.3563,50.3563,8,0.05,0.85,0.8,5
TSLA,50.3563,50.3563,8,0.05,0.85,0.8,3
TSLA,50.3563,50.3563,8,0.05,0.85,0.8,1
TSLA,50.3563,50.3563,8,0.05,0.85,0.6,5
TSLA,50.3563,50.3563,8,0.05,0.85,0.6,3
TSLA,50.3563,50.3563,8,0.05,0.85,0.6,1
TSLA,50.3563,50.3563,8,0.05,0.7,0.8,5
TSLA,50.3563,50.3563,8,0.05,0.7,0.8,3
TSLA,50.3563,50.3563,8,0.05,0.7,0.8,1
TSLA,50.3563,50.3563,8,0.05,0.7,0.6,5
TSLA,50.3563,50.3563,8,0.05,0.7,0.6,3
TSLA,50.3563,50.3563,8,0.05,0.7,0.6,1
TSLA,50.3563,50.3563,8,0.03,0.85,0.8,5
TSLA,50.3563,50.3563,8,0.03,0.85,0.8,3
TSLA,50.3563,50.3563,8,0.03,0.85,0.8,1
TSLA,50.3563,50.3563,6,0.05,0.7,0.8,3
TSLA,50.3563,50.3563,6,0.05,0.85,0.6,1
TSLA,50.3563,50.3563,6,0.05,0.7,0.6,5
TSLA,50.3563,50.3563,4,0.08,0.7,0.6,5
TSLA,50.3563,50.3563,6,0.05,0.7,0.6,3
TSLA,50.3563,50.3563,4,0.05,0.85,0.8,5
TSLA,50.3563,50.3563,4,0.05,0.85,0.8,3
TSLA,50.3563,50.3563,4,0.05,0.85,0.8,1
TSLA,50.3563,50.3563,4,0.05,0.85,0.6,5
TSLA,50.3563,50.3563,4,0.05,0.85,0.6,3
TSLA,50.3563,50.3563,4,0.05,0.85,0.6,1
TSLA,50.3563,50.3563,4,0.05,0.7,0.8,5
TSLA,50.3563,50.3563,4,0.05,0.7,0.8,3
TSLA,50.3563,50.3563,4,0.05,0.7,0.8,1
TSLA,50.3563,50.3563,4,0.05,0.7,0.6,5
TSLA,50.3563,50.3563,4,0.05,0.7,0.6,3
TSLA,50.3563,50.3563,4,0.05,0.7,0.6,1
