date,ticker,signal,signal_quality,confidence,expected_return,entry_date,exit_date,entry_price,exit_price,holding_days,exit_reason,position_pct,net_pnl
2019-02-01,AAPL,LONG,MEDIUM,64.11445140838623,0.6733005940914153,2019-02-04,2019-02-19,39.8092,40.7143,15,time_exit,15.0,33.77
2019-02-07,AAPL,LONG,MEDIUM,64.81890082359314,0.7089001834392549,2019-02-08,2019-02-25,40.3574,41.5003,17,time_exit,15.0,42.31
2019-02-08,AAPL,LONG,MEDIUM,63.712042570114136,0.7156407237052919,2019-02-11,2019-02-26,40.8493,41.5241,15,time_exit,15.0,24.63
2019-02-11,AAPL,LONG,MEDIUM,63.22198510169983,0.7318609207868575,2019-02-12,2019-02-27,40.6225,41.6526,15,time_exit,15.0,38.1
2019-02-27,AAPL,LONG,MEDIUM,62.975066900253296,0.6705674529075623,2019-02-28,2019-03-14,41.6305,43.7629,14,time_exit,15.0,77.63
2020-04-29,AAPL,LONG,MEDIUM,99.0,0.8431314527988433,2020-04-30,2020-05-14,70.1521,74.8988,14,time_exit,15.0,103.6
2020-04-30,AAPL,LONG,MEDIUM,99.0,0.8279456943273545,2020-05-01,2020-05-15,69.2545,74.4559,14,time_exit,15.0,116.19
2020-10-01,AAPL,LONG,MEDIUM,96.27683157610166,0.6519225537776948,2020-10-02,2020-10-16,109.7413,115.4046,14,time_exit,15.0,80.75
2020-10-09,AAPL,LONG,MEDIUM,99.0,0.8065885007381439,2020-10-12,2020-10-22,116.7115,111.7564,10,stop_loss,15.0,-67.2
2023-04-18,AAPL,LONG,MEDIUM,70.11924386024475,0.9000068604946136,2023-04-19,2023-05-03,163.6436,164.8454,14,time_exit,15.0,11.43
2023-04-19,AAPL,LONG,MEDIUM,70.28779983520508,0.8966445028781892,2023-04-20,2023-05-04,163.9299,163.2113,14,time_exit,15.0,-6.99
2023-04-20,AAPL,LONG,MEDIUM,70.67893147468567,0.918533131480217,2023-04-21,2023-05-05,162.9035,170.8705,14,time_exit,15.0,76.69
