group_type,group,trades,win_rate,avg_pnl,median_pnl,total_pnl,avg_holding_days,avg_position_pct,profit_factor
entry_year,2023,42,0.8095,22.75,25.33,955.69,13.48,15.0,3.439
entry_year,2024,8,1.0,74.03,82.48,592.28,15.38,15.0,
entry_year,2022,6,0.3333,6.23,-32.4,37.37,12.33,15.0,1.192
entry_year,2025,9,0.2222,-53.34,-75.71,-480.06,8.11,15.0,0.094
exit_reason,time_exit,51,0.902,41.55,34.23,2119.27,14.69,15.0,21.714
exit_reason,stop_loss,14,0.0,-72.43,-73.19,-1013.99,6.21,15.0,0.0
sector,XLK,65,0.7077,17.0,24.12,1105.28,12.86,15.0,1.99
signal,LONG,65,0.7077,17.0,24.12,1105.28,12.86,15.0,1.99
signal_quality,MEDIUM,65,0.7077,17.0,24.12,1105.28,12.86,15.0,1.99
ticker,AAPL,65,0.7077,17.0,24.12,1105.28,12.86,15.0,1.99
