date,entry_date,exit_date,ticker,signal,signal_quality,confidence,expected_return,position_pct,regime_state,entry_price,exit_price,holding_days,net_pnl,exit_reason,sector,capacity_warning
2019-02-01,2019-02-04,2019-02-19,AAPL,LONG,MEDIUM,64.11,0.67,15.0,neutral,39.8092,40.7143,15,33.77,time_exit,XLK,False
2019-02-07,2019-02-08,2019-02-25,AAPL,LONG,MEDIUM,64.82,0.71,15.0,neutral,40.3574,41.5003,17,42.29,time_exit,XLK,False
2019-02-08,2019-02-11,2019-02-26,AAPL,LONG,MEDIUM,63.71,0.72,15.0,neutral,40.8493,41.5241,15,24.54,time_exit,XLK,False
2019-02-11,2019-02-12,2019-02-27,AAPL,LONG,MEDIUM,63.22,0.73,15.0,neutral,40.6225,41.6527,15,37.75,time_exit,XLK,False
2019-02-27,2019-02-28,2019-03-14,AAPL,LONG,MEDIUM,62.98,0.67,15.0,neutral,41.6305,43.7629,14,77.63,time_exit,XLK,False
2020-04-29,2020-04-30,2020-05-14,AAPL,LONG,MEDIUM,99.0,0.84,15.0,neutral,70.1521,74.8988,14,103.6,time_exit,XLK,False
2020-04-30,2020-05-01,2020-05-15,AAPL,LONG,MEDIUM,99.0,0.83,15.0,neutral,69.2545,74.4559,14,115.23,time_exit,XLK,False
2020-10-01,2020-10-02,2020-10-16,AAPL,LONG,MEDIUM,96.28,0.65,15.0,neutral,109.7413,115.4046,14,80.74,time_exit,XLK,False
2020-10-09,2020-10-12,2020-10-22,AAPL,LONG,MEDIUM,99.0,0.81,15.0,neutral,116.7115,111.7564,10,-67.02,stop_loss,XLK,False
2023-04-18,2023-04-19,2023-05-03,AAPL,LONG,MEDIUM,70.12,0.9,15.0,neutral,163.6436,164.8454,14,11.42,time_exit,XLK,False
2023-04-19,2023-04-20,2023-05-04,AAPL,LONG,MEDIUM,70.29,0.9,15.0,neutral,163.9299,163.2113,14,-6.99,time_exit,XLK,False
2023-04-20,2023-04-21,2023-05-05,AAPL,LONG,MEDIUM,70.68,0.92,15.0,neutral,162.9035,170.8705,14,76.72,time_exit,XLK,False
2023-04-21,2023-04-24,2023-05-08,AAPL,LONG,MEDIUM,71.74,0.92,15.0,neutral,162.8542,170.8016,14,76.31,time_exit,XLK,False
2023-04-24,2023-04-25,2023-05-09,AAPL,LONG,MEDIUM,72.01,0.89,15.0,neutral,163.0417,169.0985,14,58.12,time_exit,XLK,False
2023-04-25,2023-04-26,2023-05-10,AAPL,LONG,MEDIUM,73.69,0.85,15.0,neutral,160.9394,170.8607,14,95.82,time_exit,XLK,False
2023-04-26,2023-04-27,2023-05-11,AAPL,LONG,MEDIUM,71.99,0.86,15.0,neutral,163.0416,171.0477,14,76.34,time_exit,XLK,False
2023-05-01,2023-05-02,2023-05-16,AAPL,LONG,MEDIUM,72.69,0.89,15.0,neutral,167.878,169.6281,14,16.71,time_exit,XLK,False
2023-05-08,2023-05-09,2023-05-23,AAPL,LONG,MEDIUM,74.76,0.99,15.0,neutral,170.7991,169.1254,14,-16.12,time_exit,XLK,False
2023-05-25,2023-05-26,2023-06-12,AAPL,LONG,MEDIUM,72.14,0.91,15.0,neutral,171.3022,181.1821,17,93.77,time_exit,XLK,False
2023-05-26,2023-05-30,2023-06-13,AAPL,LONG,MEDIUM,71.46,0.89,15.0,neutral,174.8998,180.709,14,54.06,time_exit,XLK,False
2023-05-30,2023-05-31,2023-06-14,AAPL,LONG,MEDIUM,73.56,0.89,15.0,neutral,175.2653,181.34,14,56.51,time_exit,XLK,False
2023-06-13,2023-06-14,2023-06-29,AAPL,LONG,MEDIUM,73.36,0.92,15.0,neutral,181.2347,186.9,15,51.73,time_exit,XLK,False
2023-06-14,2023-06-15,2023-06-30,AAPL,LONG,MEDIUM,76.29,0.92,15.0,neutral,181.8178,191.2179,15,85.67,time_exit,XLK,False
2023-06-20,2023-06-21,2023-07-06,AAPL,LONG,MEDIUM,79.54,0.77,15.0,neutral,182.7468,189.0882,15,57.56,time_exit,XLK,False
2023-06-21,2023-06-22,2023-07-07,AAPL,LONG,MEDIUM,78.4,0.91,15.0,neutral,181.6003,187.9741,15,58.06,time_exit,XLK,False
2023-06-22,2023-06-23,2023-07-10,AAPL,LONG,MEDIUM,73.93,0.91,15.0,neutral,183.3892,185.9335,17,23.12,time_exit,XLK,False
2023-06-23,2023-06-26,2023-07-11,AAPL,LONG,MEDIUM,83.24,0.92,15.0,neutral,184.6543,185.4111,15,6.77,time_exit,XLK,False
2023-06-26,2023-06-27,2023-07-12,AAPL,LONG,MEDIUM,78.22,0.91,15.0,neutral,183.7252,187.0771,15,30.21,time_exit,XLK,False
2023-06-27,2023-06-28,2023-07-13,AAPL,LONG,MEDIUM,80.84,0.91,15.0,neutral,185.7415,187.8361,15,18.92,time_exit,XLK,False
2023-06-28,2023-06-29,2023-07-14,AAPL,LONG,MEDIUM,82.95,0.91,15.0,neutral,186.8783,187.9839,15,9.96,time_exit,XLK,False
2023-06-29,2023-06-30,2023-07-17,AAPL,LONG,MEDIUM,81.79,0.91,15.0,neutral,189.3985,191.2371,17,16.44,time_exit,XLK,False
2023-07-06,2023-07-07,2023-07-21,AAPL,LONG,MEDIUM,77.66,0.77,15.0,neutral,189.1816,189.2161,14,0.23,time_exit,XLK,False
2023-07-07,2023-07-10,2023-07-24,AAPL,LONG,MEDIUM,77.18,0.91,15.0,neutral,187.0566,190.0146,14,27.05,time_exit,XLK,False
2023-07-10,2023-07-11,2023-07-25,AAPL,LONG,MEDIUM,78.34,0.92,15.0,neutral,186.9577,190.8722,14,35.4,time_exit,XLK,False
2023-07-11,2023-07-12,2023-07-26,AAPL,LONG,MEDIUM,70.99,0.91,15.0,neutral,187.4716,191.7398,14,38.34,time_exit,XLK,False
2023-07-28,2023-07-31,2023-08-04,AAPL,LONG,MEDIUM,72.82,0.88,15.0,neutral,193.7777,185.5467,4,-73.46,stop_loss,XLK,False
2023-08-02,2023-08-03,2023-08-04,AAPL,LONG,MEDIUM,75.77,0.86,15.0,neutral,189.34,181.2974,1,-73.25,stop_loss,XLK,False
2023-08-03,2023-08-04,2023-08-07,AAPL,LONG,MEDIUM,80.73,0.87,15.0,neutral,183.3602,175.5719,3,-73.13,stop_loss,XLK,False
2023-08-04,2023-08-07,2023-08-17,AAPL,LONG,MEDIUM,82.83,1.0,15.0,neutral,180.0096,172.3636,10,-72.3,stop_loss,XLK,False
