date,timestamp,equity,cash,invested
2026-08-26,2026-08-26 19:39:47,106927.59,658.37,106269.22
2026-08-27,2026-08-27 23:05:32,107992.67,657.24,107335.43
2026-08-28,2026-08-28 16:10:08,107643.15,657.24,106985.91
2026-08-29,2026-08-29 00:00:23,107380.13,657.24,106722.89
2026-08-31,2026-08-31 23:54:47,108070.56,657.24,107413.32
2026-09-01,2026-09-01 23:19:56,105976.41,20917.01,85059.4
2026-09-02,2026-09-02 23:20:28,106593.34,20916.53,85676.81
2026-09-03,2026-09-03 17:09:45,107473.94,562.15,106911.79
2026-09-04,2026-09-04 23:04:28,110303.14,562.14,109741.0
2026-09-05,2026-09-05 09:45:58,110471.01,562.14,109908.87
