submitted_at,order_id,ticker,side,quantity,price,trade_value,target_weight,fill_status,submitted_order_type,limit_price,limit_reference,limit_offset_bps,bid_price,ask_price,quote_mid_price,spread_pct,requested_quantity,original_quantity_before_cash_clamp,cash_clamped_to_available,cash_clamp_reason,cash_buffer_reserved,cash_available_after_buffer,buying_power_used_for_cash_check,broker_sellable_qty,quantity_clamped_to_sellable,live_risk_cap_enabled,live_risk_signal_target_qty,live_risk_capped_target_qty,live_risk_realized_vol,live_risk_atr_14,live_risk_reason,execution_risk_score,execution_risk_band,execution_risk_buy_scale,execution_symbol_risk_buy_scale,execution_risk_quantity_before_scale,execution_risk_quantity_after_scale,execution_risk_reason,execution_risk_report_orders,execution_risk_avg_slippage_bps,execution_risk_bad_slippage_rate,execution_scorecard_status,execution_scorecard_score,execution_scorecard_buy_scale,execution_scorecard_failed_checks,execution_scorecard_reason,filled_qty,filled_avg_price,run_id,parent_order_id,execution_stage,quote_time,broker_quote_timestamp,quote_age_seconds,stage1_order_id,stage1_limit_price,stage1_wait_seconds,stage1_status,stage1_filled_qty,stage1_filled_avg_price,stage1_cancel_requested,stage1_cancel_status,stage2_order_id,stage2_quote_time,stage2_bid_price,stage2_ask_price,stage2_spread_pct,stage2_quote_age_seconds,stage2_limit_price,stage2_offset_bps,stage2_quantity,remaining_quantity,fill_latency_seconds,realized_slippage_bps,execution_price_policy,arrival_mid,arrival_quote_timestamp,arrival_feed,arrival_spread_bps,original_requested_quantity,stage2_block_reason,stage2_broker_quote_timestamp
2026-08-26T19:39:40.091988+00:00,a9ca6630-f8e6-449e-a62c-d996005d609c,SPY,sell,46,766.67,35266.82,0.0,filled,limit,766.28,quote,5.0,766.67,766.68,766.675,1.3043336485461122e-05,46.0,,False,,,,,46.0,False,False,0.0,0.0,,,,,none,1.0,1.0,46.0,46.0,,,,,missing,,1.0,,,46.0,766.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-26T19:39:40.091988+00:00,ebccd4bb-d2f2-420d-aeb3-2fc986ba83cf,COP,sell,131,130.65,17115.15,0.0,filled,limit,130.48,quote,12.0,130.64,130.68,130.66,0.0003061380682689,131.0,,False,,,,,131.0,False,False,0.0,0.0,,,,,none,1.0,1.0,131.0,131.0,,,,,missing,,1.0,,,131.0,130.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-26T19:39:40.091988+00:00,8a9206b6-5f92-4776-8824-1259cd6807c3,QQQ,buy,90,711.98,64078.2,0.6,filled,limit,712.39,quote,5.0,712.0,712.03,712.015,4.213394380732529e-05,90.0,,False,,534.71,106407.87,106942.58,,False,False,90.0,90.0,,,,,none,1.0,1.0,90.0,90.0,,,,,missing,,1.0,,,90.0,712.019889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-26T19:39:40.091988+00:00,3544df2b-d47d-4fba-93a4-c2b80a6bf670,MU,buy,23,938.4,21583.2,0.2,filled,limit,939.63,quote,12.0,937.0,938.5,937.75,0.0015995734470807,23.0,,False,,534.71,106407.87,106942.58,,False,False,23.0,23.0,,,,,none,1.0,1.0,23.0,23.0,,,,,missing,,1.0,,,23.0,938.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-26T19:39:40.091988+00:00,ed4b917b-67f4-4b82-a3c4-916654472479,INTC,buy,208,87.735,18248.88,0.1708,filled,limit,87.85,quote,12.0,87.73,87.74,87.735,0.0001139795976519,208.0,,False,,534.71,106407.87,106942.58,,False,False,208.0,208.0,,,,,none,1.0,1.0,208.0,208.0,,,,,missing,,1.0,,,208.0,87.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-26T19:39:40.091988+00:00,d588e7ba-9e90-4ffd-a336-f4a07cd3ce73,FCX,buy,30,78.865,2365.95,0.0292,filled,limit,79.95,quote,12.0,78.88,79.85,79.365,0.0122220122220122,40.0,40.0,True,cash_limited:40->30;available_cash_before_order=2415.28;reserve_px=78.96,534.71,106407.87,106942.58,,False,False,40.0,40.0,,,,,none,1.0,1.0,40.0,40.0,,,,,missing,,1.0,,,30.0,78.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-03T14:10:34.575072+00:00,f0506fa0-9e10-4e66-9b91-63a5c46eca4a,INTC,buy,205,88.78,18199.9,0.1708,filled,limit,88.78,stage2_quote_cap,12.0,88.81,88.83,88.82,0.0002251745102453,205.0,,False,,532.15,20384.38,20916.53,,False,False,205.0,205.0,,,,,none,1.0,1.0,205.0,205.0,,,,,collecting,,1.0,,"execution_scorecard_not_decision_eligible_slippage_sample_6_below_20,adverse_15m_sample_6_below_20,adverse_60m_sample_5_below_20",205.0,88.78526865853658,github-33764832587,20260903_INTC_buy_205,stage2,2026-09-03T14:10:02.314+00:00,2026-09-03T14:10:02.340616+00:00,0.0,f2d59128-432c-4fac-9e25-8fdf86ba4c83,88.82,15.0,partially_filled,155.0,88.794065,True,canceled,f0506fa0-9e10-4e66-9b91-63a5c46eca4a,2026-09-03T14:10:18.579+00:00,88.72,88.75,0.0003380853101932,0.058,88.78,3.0,50.0,50.0,18.093,-3.91,balanced,,,,,,,
2026-09-03T14:10:34.575072+00:00,c2022762-c2ed-48e0-9886-c898de2c51c8,FCX,buy,30,71.725,2151.75,0.0292,filled,limit,71.78,stage2_quote_cap,12.0,70.02,71.71,70.865,0.0238481619981654,43.0,43.0,True,cash_limited:43->30;available_cash_before_order=2161.93;reserve_px=71.82,532.15,20384.38,20916.53,,False,False,43.0,43.0,,,,,none,1.0,1.0,43.0,43.0,,,,,collecting,,1.0,,"execution_scorecard_not_decision_eligible_slippage_sample_6_below_20,adverse_15m_sample_6_below_20,adverse_60m_sample_5_below_20",30.0,71.78,github-33764832587,20260903_FCX_buy_30,stage2,2026-09-03T14:10:18.579+00:00,2026-09-03T14:10:18.538027+00:00,0.041,6468bc26-daa4-4561-9f46-202674123137,70.86,15.0,new,0.0,,True,canceled,c2022762-c2ed-48e0-9886-c898de2c51c8,2026-09-03T14:10:34.574+00:00,71.72,71.75,0.0004182058967031,0.329,71.78,3.0,30.0,30.0,17.019,129.119,balanced,,,,,,,
2026-09-14T13:40:32.004888+00:00,SKIPPED: spread_guard:0.52%>0.5%,MU,buy,23,905.66,20830.18,0.1947,skipped,skipped,,spread_guard:0.52%>0.5%,12.0,905.24,910.0,907.62,0.0052444855776646,23.0,,False,,,,,,False,False,23.0,23.0,,,,,none,1.0,1.0,23.0,23.0,,,,,collecting,,1.0,,"execution_scorecard_not_decision_eligible_slippage_sample_9_below_20,adverse_15m_sample_9_below_20,adverse_60m_sample_8_below_20,rebalance_sessions_2_below_3",,,github-34850140992,,,,2026-09-14T13:40:19.271572+00:00,0.484051,,,,,,,,,,,,,,,,,,,,,two_stage_limit,907.62,2026-09-14T13:40:19.271572+00:00,unknown,52.44485577664651,23.0,,
2026-09-14T13:40:32.004888+00:00,SKIPPED: spread_guard:4.29%>0.5%,FCX,buy,44,67.975,2990.9,0.0279,skipped,skipped,,spread_guard:4.29%>0.5%,12.0,67.81,70.78,69.295,0.0428602352262067,44.0,,False,,,,,,False,False,44.0,44.0,,,,,none,1.0,1.0,44.0,44.0,,,,,collecting,,1.0,,"execution_scorecard_not_decision_eligible_slippage_sample_9_below_20,adverse_15m_sample_9_below_20,adverse_60m_sample_8_below_20,rebalance_sessions_2_below_3",,,github-34850140992,,,,2026-09-14T13:40:19.619393+00:00,0.253229,,,,,,,,,,,,,,,,,,,,,two_stage_limit,69.295,2026-09-14T13:40:19.619393+00:00,unknown,428.60235226206777,44.0,,
