schema_version,run_id,generated_at,status,reason_code,market_open,planned_orders,submitted_orders,accepted_orders,filled_orders,open_orders,skipped_orders,rejected_orders,failed_orders,account_alignment,errors,order_statuses
1,20260826T193934.328603Z,2026-08-26T19:39:45+00:00,executed,orders_accepted,,6,6,6,6,0,0,0,0,"{""fail_count"": 0, ""score"": 70.0, ""status"": ""warning"", ""warning_count"": 6}",[],"{""3544df2b-d47d-4fba-93a4-c2b80a6bf670"": ""filled"", ""8a9206b6-5f92-4776-8824-1259cd6807c3"": ""filled"", ""a9ca6630-f8e6-449e-a62c-d996005d609c"": ""filled"", ""d588e7ba-9e90-4ffd-a336-f4a07cd3ce73"": ""filled"", ""ebccd4bb-d2f2-420d-aeb3-2fc986ba83cf"": ""filled"", ""ed4b917b-67f4-4b82-a3c4-916654472479"": ""filled""}"
1,20260827T230530.427463Z,2026-08-27T23:05:31+00:00,no_action,portfolio_within_rebalance_thresholds,0.0,0,0,0,0,0,0,0,0,{},[],
1,20260828T161005.383580Z,2026-08-28T16:10:07+00:00,no_action,portfolio_within_rebalance_thresholds,1.0,0,0,0,0,0,0,0,0,{},[],
1,github-33431227408,2026-08-31T19:38:34+00:00,blocked,paper_version_lock_failed,,0,0,0,0,0,0,0,0,{},"[""paper_epoch_id_changed, paper_epoch_start_changed""]",
1,github-33764832587,2026-09-03T14:10:38+00:00,executed,orders_accepted,,2,2,2,2,0,0,0,0,"{""fail_count"": 0, ""score"": 90.0, ""status"": ""warning"", ""warning_count"": 2}",[],"{""c2022762-c2ed-48e0-9886-c898de2c51c8"": ""filled"", ""f0506fa0-9e10-4e66-9b91-63a5c46eca4a"": ""filled""}"
1,github-33782569450,2026-09-03T17:09:44+00:00,no_action,portfolio_within_rebalance_thresholds,1.0,0,0,0,0,0,0,0,0,{},[],
1,github-33878879713,2026-09-04T13:39:04+00:00,no_action,portfolio_within_rebalance_thresholds,1.0,0,0,0,0,0,0,0,0,{},[],
1,github-33897908550,2026-09-04T17:01:25+00:00,no_action,portfolio_within_rebalance_thresholds,1.0,0,0,0,0,0,0,0,0,{},[],
1,github-34328087734,2026-09-09T08:19:45+00:00,blocked,market_closed_during_session,0.0,1,0,0,0,0,0,0,0,{},[],
1,github-34358005186,2026-09-09T14:40:26+00:00,blocked,outside_execution_window,1.0,2,0,0,0,0,0,0,0,{},[],
1,github-34360292648,2026-09-09T14:45:33+00:00,blocked,outside_execution_window,1.0,2,0,0,0,0,0,0,0,{},[],
1,github-34370140204,2026-09-09T15:30:19+00:00,blocked,outside_execution_window,1.0,2,0,0,0,0,0,0,0,{},[],
1,github-34850140992,2026-09-14T13:40:34+00:00,executed,orders_accepted,,3,1,1,1,0,2,0,0,"{""fail_count"": 0, ""score"": 90.0, ""status"": ""warning"", ""warning_count"": 2}",[],"{""656b8244-ba8a-4161-9185-39b0c71f0085"": ""filled""}"
1,github-34864665751,2026-09-14T15:53:40+00:00,no_action,duplicate_retry_already_submitted,1.0,3,0,0,0,0,0,0,0,{},[],
1,github-34865332195,2026-09-14T16:00:24+00:00,no_action,duplicate_retry_already_submitted,1.0,3,0,0,0,0,0,0,0,{},[],
1,github-34866758080,2026-09-14T16:12:53+00:00,blocked,outside_execution_window,1.0,3,0,0,0,0,0,0,0,{},[],
1,github-34883033239,2026-09-14T18:54:05+00:00,no_action,duplicate_retry_already_submitted,1.0,3,0,0,0,0,0,0,0,{},[],
1,github-34975933092,2026-09-15T13:40:35+00:00,failed,partial_or_rejected_submission,,3,2,2,1,0,1,1,0,"{""fail_count"": 0, ""score"": 90.0, ""status"": ""warning"", ""warning_count"": 2}",[],"{""1ce1e093-ff82-4474-80f9-1ef225806acb"": ""filled"", ""36c11e0b-949d-477a-a8db-ac62f4517556"": ""canceled""}"
1,github-34987308361,2026-09-15T15:20:29+00:00,failed,partial_or_rejected_submission,,2,1,0,0,0,1,0,1,"{""fail_count"": 1, ""score"": 65.0, ""status"": ""fail"", ""warning_count"": 1}",[],{}
1,github-34989151059,2026-09-15T15:37:38+00:00,blocked,broker_truth_gate_removed_all_orders,1.0,2,0,0,0,0,2,0,0,{},[],
1,github-34990273238,2026-09-15T15:47:44+00:00,executed,orders_accepted,,2,1,1,1,0,1,0,0,"{""fail_count"": 0, ""score"": 90.0, ""status"": ""warning"", ""warning_count"": 2}",[],"{""338ebc71-6161-49f2-a72b-e36e0b992af9"": ""filled""}"
1,github-34990946596,2026-09-15T15:53:22+00:00,executed,orders_accepted,,1,1,1,1,0,0,0,0,"{""fail_count"": 0, ""score"": 90.0, ""status"": ""warning"", ""warning_count"": 2}",[],"{""54dd93b8-d625-408f-bb37-07ab7cbdc3e7"": ""filled""}"
1,github-35003018446,2026-09-15T17:47:57+00:00,no_action,duplicate_retry_already_submitted,1.0,1,0,0,0,0,0,0,0,{},[],
1,github-35102856274,2026-09-16T13:40:04+00:00,executed,orders_accepted,,2,1,1,1,0,1,0,0,"{""fail_count"": 0, ""score"": 95.0, ""status"": ""warning"", ""warning_count"": 1}",[],"{""c673676a-3eda-4b98-a2c9-fcce69026c23"": ""filled""}"
1,github-35129681158,2026-09-16T17:45:35+00:00,no_action,duplicate_retry_already_submitted,1.0,1,0,0,0,0,0,0,0,{},[],
1,github-35227985744,2026-09-17T13:39:20+00:00,executed,orders_accepted,,6,1,1,1,0,5,0,0,"{""fail_count"": 0, ""score"": 75.0, ""status"": ""warning"", ""warning_count"": 5}",[],"{""f0635b55-5a7c-4827-ba39-9c3c17d9d82f"": ""filled""}"
