horizon_days,score_source,shape,exposure,weighting,sector_mode,total_return_pct,cagr_pct,sharpe,max_drawdown_pct,alpha_vs_spy_pct,alpha_vs_qqq_pct,alpha_vs_blend_pct,nw_tstat_vs_blend,turnover_pct,estimated_cost_pct,avg_gross_exposure,feature_health_gate_pass,active_cluster_count,effective_cluster_count,max_cluster_weight,feature_health_gate_reasons,subperiod_stability_pass,paper_ready,robustness_score,drawdown_penalty,turnover_penalty,instability_penalty
5,factor_only,top_bottom_decile,long_short,score,sector_neutral,-40.1,-3.09,-0.652,-44.9,-802.85,-1664.91,-1147.67,-5.248,88536.84,88.5368,0.539,True,10,10,0.111111,,False,False,-6.1248,0.796,4.1768,0.5
5,factor_only,top_bottom_decile,long_short,equal,sector_neutral,-41.12,-3.2,-0.679,-45.6,-803.87,-1665.93,-1148.69,-5.274,88536.84,88.5368,0.539,True,10,10,0.111111,,False,False,-6.1798,0.824,4.1768,0.5
5,factor_plus_model,top_bottom_decile,long_short,equal,sector_neutral,-43.54,-3.44,-0.779,-46.79,-806.29,-1668.35,-1151.12,-5.403,87769.62,87.7696,0.534,True,10,10,0.111111,,False,False,-6.2891,0.8716,4.1385,0.5
5,factor_plus_model,top_bottom_decile,long_short,score,sector_neutral,-44.5,-3.55,-0.797,-48.21,-807.25,-1669.32,-1152.08,-5.423,87769.62,87.7696,0.534,True,10,10,0.111111,,False,False,-6.3639,0.9284,4.1385,0.5
5,factor_walkforward,top_bottom_decile,long_short,equal,sector_neutral,-46.42,-3.75,-0.865,-53.32,-809.17,-1671.23,-1154.0,-5.058,84439.66,84.4397,0.514,True,10,10,0.111111,,False,False,-6.4698,1.1328,3.972,0.5
5,factor_walkforward,top_bottom_decile,long_short,score,sector_neutral,-46.68,-3.78,-0.87,-54.29,-809.42,-1671.49,-1154.25,-5.07,84439.66,84.4397,0.514,True,10,10,0.111111,,False,False,-6.5136,1.1716,3.972,0.5
5,factor_walkforward,top_bottom_decile,beta_neutral,equal,sector_neutral,-47.67,-3.89,-0.976,-51.74,-810.42,-1672.48,-1155.24,-5.119,84439.66,84.4397,0.514,True,10,10,0.111111,,False,False,-6.5176,1.0696,3.972,0.5
5,factor_walkforward,top_bottom_decile,beta_neutral,score,sector_neutral,-47.89,-3.92,-0.977,-52.48,-810.64,-1672.7,-1155.46,-5.131,84439.66,84.4397,0.514,True,10,10,0.111111,,False,False,-6.5482,1.0992,3.972,0.5
5,factor_only,top_bottom_decile,beta_neutral,score,sector_neutral,-51.54,-4.35,-1.042,-54.3,-814.29,-1676.36,-1159.12,-5.403,88536.84,88.5368,0.539,True,10,10,0.111111,,False,False,-6.8908,1.172,4.1768,0.5
5,factor_plus_model,top_bottom_decile,beta_neutral,equal,sector_neutral,-52.25,-4.43,-1.127,-54.41,-814.99,-1677.06,-1159.82,-5.435,87769.62,87.7696,0.534,True,10,10,0.111111,,False,False,-6.9419,1.1764,4.1385,0.5
5,factor_only,top_bottom_decile,beta_neutral,equal,sector_neutral,-52.45,-4.46,-1.079,-54.92,-815.2,-1677.26,-1160.02,-5.432,88536.84,88.5368,0.539,True,10,10,0.111111,,False,False,-6.9526,1.1968,4.1768,0.5
5,factor_plus_model,top_bottom_decile,beta_neutral,score,sector_neutral,-53.18,-4.55,-1.144,-55.48,-815.93,-1677.99,-1160.76,-5.456,87769.62,87.7696,0.534,True,10,10,0.111111,,False,False,-7.0017,1.2192,4.1385,0.5
5,factor_only,top_quintile,long_only,score,sector_neutral,681.65,13.44,0.791,-25.12,-81.1,-943.16,-425.93,-0.881,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-7.6788,0.0048,7.965,0.5
5,factor_only,top_bottom_quintile,long_only,score,sector_neutral,681.65,13.44,0.791,-25.12,-81.1,-943.16,-425.93,-0.881,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-7.6788,0.0048,7.965,0.5
5,factor_plus_model,top_quintile,long_only,equal,sector_neutral,700.39,13.6,0.785,-24.59,-62.36,-924.42,-407.18,-0.838,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-7.68,0.0,7.965,0.5
5,factor_plus_model,top_bottom_quintile,long_only,equal,sector_neutral,700.39,13.6,0.785,-24.59,-62.36,-924.42,-407.18,-0.838,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-7.68,0.0,7.965,0.5
5,factor_plus_model,top_quintile,long_only,score,sector_neutral,686.82,13.48,0.777,-24.6,-75.93,-937.99,-420.75,-0.854,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-7.688,0.0,7.965,0.5
5,factor_plus_model,top_bottom_quintile,long_only,score,sector_neutral,686.82,13.48,0.777,-24.6,-75.93,-937.99,-420.75,-0.854,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-7.688,0.0,7.965,0.5
5,factor_plus_model,top10,long_only,equal,unconstrained,1177.06,16.9,0.84,-32.88,414.31,-447.75,69.49,0.296,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-7.6902,0.3152,7.965,0.25
5,factor_plus_model,top_quintile,long_only,score,unconstrained,1355.53,17.84,0.861,-33.53,592.78,-269.28,247.96,0.53,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-7.6952,0.3412,7.965,0.25
5,factor_plus_model,top_bottom_quintile,long_only,score,unconstrained,1355.53,17.84,0.861,-33.53,592.78,-269.28,247.96,0.53,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-7.6952,0.3412,7.965,0.25
5,factor_only,top_quintile,long_only,equal,sector_neutral,687.43,13.49,0.796,-25.67,-75.32,-937.38,-420.15,-0.888,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-7.6958,0.0268,7.965,0.5
5,factor_only,top_bottom_quintile,long_only,equal,sector_neutral,687.43,13.49,0.796,-25.67,-75.32,-937.38,-420.15,-0.888,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-7.6958,0.0268,7.965,0.5
5,factor_plus_model,top_decile,long_only,equal,unconstrained,2031.82,20.63,0.925,-36.48,1269.08,407.01,924.25,1.123,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-7.7492,0.4592,7.965,0.25
5,factor_plus_model,top_bottom_decile,long_only,equal,unconstrained,2031.82,20.63,0.925,-36.48,1269.08,407.01,924.25,1.123,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-7.7492,0.4592,7.965,0.25
5,factor_walkforward,top_decile,long_only,equal,sector_neutral,518.07,11.82,0.717,-25.83,-244.67,-1106.74,-589.5,-1.271,164300.0,164.3,1.0,True,10,10,0.111111,,False,False,-7.7812,0.0332,7.965,0.5
