date,n_positions,gross_exposure,net_exposure,turnover,cost,period_return
2010-01-04,5,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.0009999999999999998,-0.0031257068903182807
2010-01-11,5,1.0,1.0,2.0,0.002,-0.038603134761354005
2010-01-19,5,1.0000000000000002,1.0000000000000002,2.0,0.002,-0.01608359412326984
2010-01-26,5,1.0,1.0,2.0,0.002,0.019761381340766458
2010-02-02,5,1.0,1.0,1.9999999999999998,0.0019999999999999996,-0.04023371662183414
2010-02-09,5,1.0,1.0,2.0,0.002,0.060178900908552865
2010-02-17,5,1.0,1.0,2.0,0.002,0.006720141721688163
2010-02-24,5,1.0,1.0,2.0,0.002,0.03339985762122075
2010-03-03,5,1.0000000000000002,1.0000000000000002,2.0,0.002,0.018198653346988482
2010-03-10,5,1.0,1.0,2.0,0.002,0.019273714374142333
2010-03-17,5,1.0,1.0,2.0,0.002,-0.020691363016885726
2010-03-24,5,1.0,1.0,2.0,0.002,-0.006357792054205832
2010-03-31,5,1.0,1.0,2.0,0.002,-0.0012310015242523252
2010-04-08,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,0.0386904390536638
2010-04-15,5,1.0,1.0,2.0,0.002,-0.0017703399912109988
2010-04-22,5,1.0,1.0,2.0,0.002,0.020407681176771802
2010-04-29,5,1.0,1.0,2.0,0.002,-0.068018242339044
2010-05-06,5,1.0,1.0,2.0,0.002,0.030428912614360884
2010-05-13,5,1.0,1.0,2.0,0.002,-0.07349273995388489
2010-05-20,5,1.0,1.0,2.0,0.002,0.06829677221221282
2010-05-27,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,-0.03569722115076052
2010-06-04,5,1.0,1.0,2.0,0.002,0.06659083297282282
2010-06-11,5,1.0000000000000002,1.0000000000000002,2.0,0.002,0.008569079129684404
2010-06-18,5,1.0,1.0,2.0,0.002,-0.048881526989943185
2010-06-25,5,1.0,1.0,2.0,0.002,-0.04153246818142123
2010-07-02,5,1.0,1.0,2.0,0.002,0.05476539310427214
2010-07-12,5,1.0,1.0,2.0,0.002,-0.010401937944526434
2010-07-19,5,1.0,1.0,2.0,0.002,0.08064034480152134
2010-07-26,5,1.0,1.0,2.0,0.002,0.002782184269644822
2010-08-02,5,1.0,1.0,2.0,0.002,0.023797101565004725
2010-08-09,5,1.0,1.0,2.0,0.002,-0.044209043631952286
2010-08-16,5,1.0,1.0,2.0,0.002,-0.0243114347878515
2010-08-23,5,1.0,1.0,2.0,0.002,0.003217971912651583
2010-08-30,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,0.03963220424069647
2010-09-07,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,-0.0009722392925998332
2010-09-14,5,1.0,1.0,2.0,0.002,0.02910981856940264
2010-09-21,5,1.0,1.0,2.0,0.002,-0.001685489808483132
2010-09-28,5,1.0,1.0,2.0,0.002,0.003474148111536915
2010-10-05,5,1.0,1.0,2.0,0.002,0.002981036600461921
2010-10-12,5,1.0,1.0,2.0,0.002,-0.014033902933080773
2010-10-19,5,1.0,1.0,2.0,0.002,0.011576048043150298
2010-10-26,5,1.0,1.0,2.0,0.002,0.01617354009346337
2010-11-02,5,1.0,1.0,2.0,0.002,-0.006522053159506001
2010-11-09,5,1.0,1.0,2.0,0.002,-0.03067331738299297
2010-11-16,5,1.0,1.0,2.0,0.002,0.02588855199443646
2010-11-23,5,1.0,1.0,2.0,0.002,0.014287153800760405
2010-12-01,5,1.0,1.0,2.0,0.002,0.024850827446719778
2010-12-08,5,1.0,1.0,2.0,0.002,0.01602577644950018
2010-12-15,5,1.0,1.0,2.0,0.002,0.046680145328317144
2010-12-22,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,0.0012686851174397063
2010-12-30,5,1.0,1.0,2.0,0.002,0.030689236288936654
2011-01-06,5,1.0,1.0,2.0,0.002,0.0002001636236993636
