valid,fold_year,outer_year,strategy,inner_validation_years,inner_fold_count,train_start,train_end,inner_score,inner_mean_score,inner_median_score,inner_score_aggregation,inner_score_std,failed_evaluations,candidate_configs,used_relaxed_fallback,strict_inner_selection_diagnostics,relaxed_inner_selection_diagnostics,inner_selection_diagnostics,screened_config_count,survivor_config_count,selected_config,holding_days,overlay_gross,ma_window,high_vol,high_vol_mode,score_source,tqqq_weight,oos_return_pct,oos_sharpe,oos_drawdown_pct,oos_turnover_pct,oos_rebalance_count,oos_estimated_cost_pct,oos_alpha_vs_spy_pct,oos_alpha_vs_qqq_pct,boundary_mode,evaluation_trade_start,evaluation_trade_end,purged_leading_trade_count,purged_trailing_trade_count,baseline_oos_sharpe,baseline_oos_alpha_vs_qqq_pct,baseline_oos_turnover_pct,baseline_error,inner_stability_adjusted_score,inner_failed_fold_count,inner_mean_sharpe,inner_mean_return_pct,inner_mean_alpha_vs_spy_pct,inner_mean_alpha_vs_qqq_pct,inner_qqq_opportunity_cost_penalty,inner_config_momentum_bonus,inner_family_consensus_weight,inner_family_consensus_bonus,inner_family_consensus_match_count,inner_family_consensus_window_count,inner_mean_turnover_pct,inner_cost_stress_approval_pass,inner_stress_pass_ratio,inner_stress_passed,inner_stress_tested,oos_total_return_pct,oos_cagr_pct,oos_max_drawdown_pct,oos_alpha_vs_blend_pct,oos_benchmark_blend_return_pct,oos_n_equity_points,config_stability,selected_config_fold_count,selected_config_frequency,config_is_most_common,stable_family_signature,stable_family_fold_count,stable_family_frequency,stable_family_is_approved
True,2013,2013,core-alpha,2012,1,2010-01-01,2012-12-31,-0.0795,-0.053,-0.053,mean,0.0,0,1,False,"{'evaluated_configs': 1, 'valid_configs': 1, 'rejection_counts': {}, 'rejection_examples': {}}",{},"{'evaluated_configs': 1, 'valid_configs': 1, 'rejection_counts': {}, 'rejection_examples': {}}",1,1,"h=20,ov=0.5,ma=100,vol=percentile:0.3,score=regime_adaptive,shape=top3,weighting=sticky_score,tqqq=0.0,risk=off",20,0.5,100,0.3,percentile,regime_adaptive,0.0,36.58,2.349,-6.37,323.61,12,0.6472,14.62,10.15,flat_start_full_periods_only,2013-01-02,2013-12-12,1,1,2.349,10.15,323.61,,-0.0795,0,0.876,13.16,1.71,-0.53,0.0265,0.0,0.0,0.0,0,0,344.4,False,0.0,0,1,36.58,38.73,-6.37,12.83,23.75,13,1.0,14,1.0,True,"score=regime_adaptive,shape=top3,weighting=sticky_score,risk=off,tqqq=0.0",14,1.0,True
True,2014,2014,core-alpha,"2012,2013",2,2010-01-01,2013-12-31,0.5776,0.481,0.481,mean,0.534,0,1,False,"{'evaluated_configs': 1, 'valid_configs': 1, 'rejection_counts': {}, 'rejection_examples': {}}",{},"{'evaluated_configs': 1, 'valid_configs': 1, 'rejection_counts': {}, 'rejection_examples': {}}",1,1,"h=20,ov=0.5,ma=100,vol=percentile:0.3,score=regime_adaptive,shape=top3,weighting=sticky_score,tqqq=0.0,risk=off",20,0.5,100,0.3,percentile,regime_adaptive,0.0,19.13,1.278,-6.54,357.39,12,0.7148,9.31,1.49,flat_start_full_periods_only,2014-01-02,2014-12-12,1,1,1.278,1.49,357.39,,0.5776,0,1.6125,24.87,8.16,4.81,0.0,0.15,0.0,0.0,0,0,334.0,False,0.5,1,2,19.13,20.18,-6.54,6.18,12.95,13,1.0,14,1.0,True,"score=regime_adaptive,shape=top3,weighting=sticky_score,risk=off,tqqq=0.0",14,1.0,True
True,2015,2015,core-alpha,"2012,2013,2014",3,2010-01-01,2014-12-31,0.474,0.3703,0.149,mean,0.4632,0,1,False,"{'evaluated_configs': 1, 'valid_configs': 1, 'rejection_counts': {}, 'rejection_examples': {}}",{},"{'evaluated_configs': 1, 'valid_configs': 1, 'rejection_counts': {}, 'rejection_examples': {}}",1,1,"h=20,ov=0.5,ma=100,vol=percentile:0.3,score=regime_adaptive,shape=top3,weighting=sticky_score,tqqq=0.0,risk=off",20,0.5,100,0.3,percentile,regime_adaptive,0.0,10.14,0.959,-4.07,315.64,12,0.6313,11.37,1.7,flat_start_full_periods_only,2015-01-02,2015-12-14,1,1,0.959,1.7,315.64,,0.474,0,1.501,22.96,8.55,3.7,0.0,0.15,0.0,0.0,0,0,341.8,True,0.67,2,3,10.14,10.68,-4.07,7.51,2.64,13,1.0,14,1.0,True,"score=regime_adaptive,shape=top3,weighting=sticky_score,risk=off,tqqq=0.0",14,1.0,True
True,2016,2016,core-alpha,"2012,2013,2014,2015",4,2010-01-01,2015-12-31,0.4292,0.3202,0.1595,mean,0.4105,0,1,False,"{'evaluated_configs': 1, 'valid_configs': 1, 'rejection_counts': {}, 'rejection_examples': {}}",{},"{'evaluated_configs': 1, 'valid_configs': 1, 'rejection_counts': {}, 'rejection_examples': {}}",1,1,"h=20,ov=0.5,ma=100,vol=percentile:0.3,score=regime_adaptive,shape=top3,weighting=sticky_score,tqqq=0.0,risk=off",20,0.5,100,0.3,percentile,regime_adaptive,0.0,40.3,1.761,-5.12,299.87,12,0.5997,26.99,30.29,flat_start_full_periods_only,2016-01-04,2016-12-13,1,1,1.761,30.29,299.87,,0.4292,0,1.3655,19.75,9.25,3.2,0.0,0.15,0.0,0.0,0,0,335.26,True,0.75,3,4,40.3,42.69,-5.12,28.31,11.98,13,1.0,14,1.0,True,"score=regime_adaptive,shape=top3,weighting=sticky_score,risk=off,tqqq=0.0",14,1.0,True
True,2017,2017,core-alpha,"2012,2013,2014,2015,2016",5,2010-01-01,2016-12-31,0.8976,0.862,0.17,mean,1.144,0,1,False,"{'evaluated_configs': 1, 'valid_configs': 1, 'rejection_counts': {}, 'rejection_examples': {}}",{},"{'evaluated_configs': 1, 'valid_configs': 1, 'rejection_counts': {}, 'rejection_examples': {}}",1,1,"h=20,ov=0.5,ma=100,vol=percentile:0.3,score=regime_adaptive,shape=top3,weighting=sticky_score,tqqq=0.0,risk=off",20,0.5,100,0.3,percentile,regime_adaptive,0.0,41.18,3.212,-2.49,213.84,12,0.4277,22.75,10.69,flat_start_full_periods_only,2017-01-03,2017-12-13,1,1,3.212,10.69,213.84,,0.8976,0,1.4446,23.86,12.8,8.62,0.0,0.15,0.0,0.0,0,0,328.18,True,0.8,4,5,41.18,43.64,-2.49,17.93,23.25,13,1.0,14,1.0,True,"score=regime_adaptive,shape=top3,weighting=sticky_score,risk=off,tqqq=0.0",14,1.0,True
True,2018,2018,core-alpha,"2013,2014,2015,2016,2017",5,2010-01-01,2017-12-31,1.1315,1.0864,1.015,mean,1.0486,0,1,False,"{'evaluated_configs': 1, 'valid_configs': 1, 'rejection_counts': {}, 'rejection_examples': {}}",{},"{'evaluated_configs': 1, 'valid_configs': 1, 'rejection_counts': {}, 'rejection_examples': {}}",1,1,"h=20,ov=0.5,ma=100,vol=percentile:0.3,score=regime_adaptive,shape=top3,weighting=sticky_score,tqqq=0.0,risk=off",20,0.5,100,0.3,percentile,regime_adaptive,0.0,4.36,0.462,-6.8,325.73,12,0.6515,5.59,0.22,flat_start_full_periods_only,2018-01-02,2018-12-12,1,1,0.462,0.22,325.73,,1.1315,0,1.9118,29.47,17.01,10.86,0.0,0.15,0.0,0.0,0,0,302.07,True,1.0,5,5,4.36,4.58,-6.8,3.44,0.92,13,1.0,14,1.0,True,"score=regime_adaptive,shape=top3,weighting=sticky_score,risk=off,tqqq=0.0",14,1.0,True
True,2019,2019,core-alpha,"2014,2015,2016,2017,2018",5,2010-01-01,2018-12-31,0.9244,0.8878,0.17,mean,1.1339,0,1,False,"{'evaluated_configs': 1, 'valid_configs': 1, 'rejection_counts': {}, 'rejection_examples': {}}",{},"{'evaluated_configs': 1, 'valid_configs': 1, 'rejection_counts': {}, 'rejection_examples': {}}",1,1,"h=20,ov=0.5,ma=100,vol=percentile:0.3,score=regime_adaptive,shape=top3,weighting=sticky_score,tqqq=0.0,risk=off",20,0.5,100,0.3,percentile,regime_adaptive,0.0,37.01,2.706,-3.32,129.64,12,0.2593,10.25,3.67,flat_start_full_periods_only,2019-01-02,2019-12-12,1,1,2.706,3.67,129.64,,0.9244,0,1.5344,23.02,15.2,8.88,0.0,0.15,0.0,0.0,0,0,302.49,True,0.8,4,5,37.01,39.18,-3.32,7.62,29.39,13,1.0,14,1.0,True,"score=regime_adaptive,shape=top3,weighting=sticky_score,risk=off,tqqq=0.0",14,1.0,True
True,2020,2020,core-alpha,"2015,2016,2017,2018,2019",5,2010-01-01,2019-12-31,0.9705,0.9314,0.367,mean,1.1085,0,1,False,"{'evaluated_configs': 1, 'valid_configs': 1, 'rejection_counts': {}, 'rejection_examples': {}}",{},"{'evaluated_configs': 1, 'valid_configs': 1, 'rejection_counts': {}, 'rejection_examples': {}}",1,1,"h=20,ov=0.5,ma=100,vol=percentile:0.3,score=regime_adaptive,shape=top3,weighting=sticky_score,tqqq=0.0,risk=off",20,0.5,100,0.3,percentile,regime_adaptive,0.0,50.76,1.882,-10.27,372.43,12,0.7449,38.01,11.12,flat_start_full_periods_only,2020-01-02,2020-12-11,1,1,1.882,11.12,372.43,,0.9705,0,1.82,26.6,15.39,9.31,0.0,0.15,0.0,0.0,0,0,256.94,True,0.8,4,5,50.76,53.89,-10.27,27.25,23.51,13,1.0,14,1.0,True,"score=regime_adaptive,shape=top3,weighting=sticky_score,risk=off,tqqq=0.0",14,1.0,True
True,2021,2021,core-alpha,"2016,2017,2018,2019,2020",5,2010-01-01,2020-12-31,1.1657,1.1198,1.069,mean,1.0411,0,1,False,"{'evaluated_configs': 1, 'valid_configs': 1, 'rejection_counts': {}, 'rejection_examples': {}}",{},"{'evaluated_configs': 1, 'valid_configs': 1, 'rejection_counts': {}, 'rejection_examples': {}}",1,1,"h=20,ov=0.5,ma=100,vol=percentile:0.3,score=regime_adaptive,shape=top3,weighting=sticky_score,tqqq=0.0,risk=off",20,0.5,100,0.3,percentile,regime_adaptive,0.0,38.07,2.277,-3.71,80.99,12,0.162,12.43,12.57,flat_start_full_periods_only,2021-01-04,2021-12-14,1,1,2.277,12.57,80.99,,1.1657,0,2.0046,34.72,20.72,11.2,0.0,0.15,0.0,0.0,0,0,268.3,True,0.8,4,5,38.07,40.32,-3.71,12.49,25.59,13,1.0,14,1.0,True,"score=regime_adaptive,shape=top3,weighting=sticky_score,risk=off,tqqq=0.0",14,1.0,True
True,2022,2022,core-alpha,"2017,2018,2019,2020,2021",5,2010-01-01,2021-12-31,0.8671,0.7654,1.069,mean,0.4828,0,1,False,"{'evaluated_configs': 1, 'valid_configs': 1, 'rejection_counts': {}, 'rejection_examples': {}}",{},"{'evaluated_configs': 1, 'valid_configs': 1, 'rejection_counts': {}, 'rejection_examples': {}}",1,1,"h=20,ov=0.5,ma=100,vol=percentile:0.3,score=regime_adaptive,shape=top3,weighting=sticky_score,tqqq=0.0,risk=off",20,0.5,100,0.3,percentile,regime_adaptive,0.0,-16.91,-1.152,-22.89,135.08,12,0.2702,-0.52,11.76,flat_start_full_periods_only,2022-01-03,2022-12-14,1,1,-1.152,11.76,135.08,,0.8671,0,2.1078,34.28,17.81,7.65,0.0,0.15,0.0,0.0,0,0,224.53,True,0.8,4,5,-16.91,-17.68,-22.89,4.39,-21.3,13,1.0,14,1.0,True,"score=regime_adaptive,shape=top3,weighting=sticky_score,risk=off,tqqq=0.0",14,1.0,True
