name,shape,weighting,exit_floor,max_sector,paper_ready,return,sharpe,dd,alpha_qqq,alpha_blend,t_blend,turnover,cost
overlay70_core55,top3,score,0.8,2,True,9231.82,1.245,-30.02,7715.03,8183.82,3.594,15479.48,30.959
overlay70_core55,top3,score,0.8,3,True,8606.21,1.232,-32.06,7089.42,7558.21,3.505,15496.12,30.9922
overlay65_core60,top3,score,0.8,2,True,8457.03,1.25,-30.26,6940.23,7409.03,3.628,14572.76,29.1455
overlay70_core55,top3,score,0.7,3,True,8401.85,1.227,-30.75,6885.05,7353.84,3.386,14933.32,29.8666
overlay70_core55,top3,score,0.7,2,True,8020.81,1.213,-33.92,6504.02,6972.81,3.288,14850.4,29.7008
overlay65_core60,top3,score,0.8,3,True,7920.06,1.237,-32.15,6403.26,6872.05,3.54,14587.78,29.1756
overlay65_core60,top3,score,0.7,3,True,7796.36,1.234,-29.73,6279.56,6748.36,3.438,14067.78,28.1356
overlay70_core55,top3,equal,0.8,2,True,7773.52,1.283,-29.63,6256.72,6725.51,3.669,8143.33,16.2867
overlay60_core65,top3,score,0.8,2,True,7731.83,1.253,-30.49,6215.03,6683.83,3.659,13666.04,27.3321
overlay65_core60,top3,score,0.7,2,True,7466.33,1.22,-33.88,5949.54,6418.33,3.339,13990.78,27.9816
overlay70_core55,top3,equal,0.8,3,True,7440.95,1.275,-30.76,5924.15,6392.95,3.632,8096.67,16.1933
overlay60_core65,top3,score,0.8,3,True,7274.55,1.241,-32.24,5757.75,6226.55,3.574,13679.44,27.3589
overlay60_core65,top3,score,0.7,3,True,7220.03,1.24,-30.0,5703.23,6172.02,3.491,13202.24,26.4045
overlay65_core60,top3,equal,0.8,2,True,7207.5,1.285,-29.84,5690.71,6159.5,3.715,7666.67,15.3333
overlay60_core65,top3,score,0.7,2,True,6936.4,1.226,-33.84,5419.61,5888.4,3.391,13131.17,26.2623
overlay65_core60,top3,equal,0.8,3,True,6916.85,1.277,-30.88,5400.06,5868.85,3.679,7623.33,15.2467
overlay70_core55,top3,score,0.6,3,True,6709.48,1.18,-29.45,5192.68,5661.48,3.228,14077.95,28.1559
overlay60_core65,top3,equal,0.8,2,True,6673.29,1.285,-30.05,5156.49,5625.29,3.76,7190.0,14.38
qqq_trend_switch_overlay50,top3,score,0.8,2,True,6436.57,1.256,-30.08,4919.77,5388.57,3.821,11056.77,22.1135
overlay60_core65,top3,equal,0.8,3,True,6420.81,1.278,-31.01,4904.01,5372.81,3.725,7150.0,14.3
overlay70_core55,top3,score,0.6,2,True,6401.7,1.166,-33.92,4884.9,5353.7,3.137,14120.91,28.2418
overlay50_fast75,top3,score,0.7,2,True,6339.08,1.262,-30.08,4822.28,5291.08,3.989,11080.55,22.1611
overlay65_core60,top3,score,0.6,3,True,6311.33,1.188,-29.73,4794.53,5263.33,3.275,13262.58,26.5252
overlay50_fast75,top3,score,0.7,3,True,6257.87,1.254,-29.89,4741.07,5209.86,3.944,11129.92,22.2598
qqq_trend_switch_overlay50,top3,score,0.8,3,True,6112.91,1.245,-31.55,4596.12,5064.91,3.747,11068.66,22.1373
