core_preset,regime_ma_window,regime_high_vol,score_source,shape,weighting,exit_rank_floor,max_per_sector,core_gross,overlay_gross,cost_stress,holding_days,total_return_pct,cagr_pct,sharpe,max_drawdown_pct,alpha_vs_spy_pct,alpha_vs_qqq_pct,alpha_vs_blend_pct,holdout_alpha_vs_qqq_pct,holdout_alpha_vs_blend_pct,turnover_pct,estimated_cost_pct,max_single_name_weight,avg_effective_overlay_names,max_sector_overlay_weight,top_ticker_overlay_contribution_share,top_ticker_overlay_contributor,paper_ready,year_alpha_concentration_pass,single_name_weight_cap_pass,top_ticker_contribution_pass,holdout_2023_2026_vs_qqq_pass,holdout_2023_2026_vs_blend_pass,stress_levels,stress_min_alpha_vs_spy_pct,stress_min_alpha_vs_qqq_pct,stress_min_alpha_vs_blend_pct,stress_all_gates_pass,robust_promotion_candidate
robust_overlay70_ma100_vol30,100,0.3,regime_adaptive,top3,sticky_score,0.8,2,0.55,0.7,2.0,10,8407.2,31.32,1.271,-28.47,7671.73,6890.41,7359.2,213.25,239.02,10256.26,20.5125,0.35,2.683,0.6682,0.178,NVDA,True,True,True,True,True,True,"2.0,3.0,5.0",5422.21,4640.89,5109.68,True,True
robust_overlay70_ma100_vol30,100,0.3,regime_adaptive,top3,score,0.8,2,0.55,0.7,2.0,10,8328.92,31.24,1.25,-28.59,7593.45,6812.12,7280.92,224.01,249.78,14601.1,29.2022,0.35,2.402,0.6809,0.202,NVDA,True,True,True,True,True,True,"2.0,3.0,5.0",4610.94,3829.62,4298.42,True,True
robust_overlay60_ma100_vol30,100,0.3,regime_adaptive,top3,score,0.8,2,0.65,0.6,2.0,10,7709.21,30.63,1.26,-30.52,6973.74,6192.41,6661.21,188.23,214.0,13362.65,26.7253,0.35,2.354,0.5839,0.203,NVDA,True,True,True,True,True,True,"2.0,3.0,5.0",4402.04,3620.72,4089.51,True,True
robust_overlay70_ma100_vol30,100,0.3,regime_adaptive,top3,sticky_score,0.8,2,0.55,0.7,3.0,10,7580.01,30.5,1.244,-28.57,6844.53,6063.21,6532.0,204.28,230.05,10256.26,30.7688,0.35,2.683,0.6682,0.178,NVDA,True,True,True,True,True,True,"2.0,3.0,5.0",5422.21,4640.89,5109.68,True,True
robust_overlay70_ma100_vol30,100,0.3,regime_adaptive,top3,score,0.8,2,0.55,0.7,3.0,10,7187.88,30.08,1.212,-28.68,6452.41,5671.08,6139.88,211.26,237.03,14601.1,43.8033,0.35,2.402,0.6809,0.202,NVDA,True,True,True,True,True,True,"2.0,3.0,5.0",4610.94,3829.62,4298.42,True,True
robust_overlay60_ma100_vol30,100,0.3,regime_adaptive,top3,score,0.8,2,0.65,0.6,3.0,10,6736.27,29.57,1.224,-30.61,6000.8,5219.47,5688.27,177.56,203.33,13362.65,40.0879,0.35,2.354,0.5839,0.203,NVDA,True,True,True,True,True,True,"2.0,3.0,5.0",4402.04,3620.72,4089.51,True,True
robust_overlay70_ma100_vol30,100,0.3,regime_adaptive,top3,sticky_score,0.8,2,0.55,0.7,5.0,10,6157.69,28.87,1.189,-28.77,5422.21,4640.89,5109.68,186.86,212.64,10256.26,51.2813,0.35,2.683,0.6682,0.178,NVDA,True,True,True,True,True,True,"2.0,3.0,5.0",5422.21,4640.89,5109.68,True,True
robust_overlay70_ma100_vol30,100,0.3,regime_adaptive,top3,score,0.8,2,0.55,0.7,5.0,10,5346.42,27.78,1.136,-28.88,4610.94,3829.62,4298.42,186.77,212.54,14601.1,73.0055,0.35,2.402,0.6809,0.202,NVDA,True,True,True,True,True,True,"2.0,3.0,5.0",4610.94,3829.62,4298.42,True,True
robust_overlay60_ma100_vol30,100,0.3,regime_adaptive,top3,score,0.8,2,0.65,0.6,5.0,10,5137.51,27.47,1.152,-30.8,4402.04,3620.72,4089.51,157.0,182.78,13362.65,66.8132,0.35,2.354,0.5839,0.203,NVDA,True,True,True,True,True,True,"2.0,3.0,5.0",4402.04,3620.72,4089.51,True,True
robust_overlay70_ma100_vol30,100,0.3,regime_adaptive_consensus,top3,score,0.7,1,0.55,0.7,2.0,10,7774.7,30.7,1.28,-32.63,7039.23,6257.9,6726.7,110.74,136.51,21090.54,42.1811,0.35,2.256,0.35,0.156,TSLA,True,True,True,True,True,True,"2.0,3.0,5.0",3372.23,2590.91,3059.7,False,False
robust_overlay60_ma100_vol30,100,0.3,regime_adaptive,top3,sticky_score,0.8,2,0.65,0.6,2.0,10,7671.52,30.59,1.276,-30.5,6936.05,6154.73,6623.52,178.21,203.98,9206.43,18.4129,0.35,2.645,0.5727,0.174,NVDA,True,True,True,True,True,True,2.0,6936.05,6154.73,6623.52,True,False
robust_overlay70_ma100_vol30,100,0.3,regime_adaptive,top3,vol_score,0.8,2,0.55,0.7,2.0,10,7473.74,30.39,1.257,-28.64,6738.27,5956.94,6425.74,201.77,227.54,15118.21,30.2364,0.35,2.432,0.6818,0.198,NVDA,True,True,True,True,True,True,2.0,6738.27,5956.94,6425.74,True,False
robust_overlay70_ma100_vol30,100,0.3,regime_adaptive,top3,equal,0.8,2,0.55,0.7,2.0,10,7350.42,30.25,1.286,-27.72,6614.94,5833.62,6302.41,202.86,228.63,8143.33,16.2867,0.2333,2.993,0.4667,0.187,NVDA,True,True,True,True,True,True,2.0,6614.94,5833.62,6302.41,True,False
robust_overlay60_ma100_vol30,100,0.3,regime_adaptive_consensus,top3,score,0.7,1,0.65,0.6,2.0,10,7212.48,30.1,1.28,-33.57,6477.0,5695.68,6164.47,108.05,133.82,19527.26,39.0545,0.35,2.187,0.35,0.16,TSLA,True,True,True,True,True,True,2.0,6477.0,5695.68,6164.47,True,False
robust_overlay70_ma100_vol30,100,0.3,regime_adaptive_consensus,top3,vol_score,0.7,1,0.55,0.7,2.0,10,6794.44,29.64,1.26,-32.88,6058.97,5277.64,5746.44,109.26,135.03,21016.68,42.0334,0.35,2.266,0.35,0.158,TSLA,True,True,True,True,True,True,2.0,6058.97,5277.64,5746.44,True,False
robust_overlay70_ma100_vol30,100,0.3,regime_adaptive_consensus,top3,sticky_score,0.7,1,0.55,0.7,2.0,10,6732.58,29.56,1.289,-32.32,5997.11,5215.79,5684.58,61.72,87.49,13579.55,27.1591,0.35,2.744,0.35,0.165,TSLA,True,True,True,True,True,True,2.0,5997.11,5215.79,5684.58,True,False
robust_overlay60_ma100_vol30,100,0.3,regime_adaptive,top3,score,0.7,2,0.65,0.6,2.0,10,6682.46,29.51,1.218,-33.87,5946.99,5165.67,5634.46,193.53,219.3,12737.83,25.4757,0.35,2.297,0.5896,0.145,NVDA,True,True,True,True,True,True,2.0,5946.99,5165.67,5634.46,True,False
