date,regime,bull_fraction,n_long,n_total,gross_exposure,target_spy_weight,target_qqq_weight,target_bil_weight,target_ief_weight,target_gld_weight,target_cash_weight
2015-02-06,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-02-09,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-02-10,risk_off,1.0,146,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-02-11,risk_off,1.0,146,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-02-12,risk_off,1.0,146,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-02-13,risk_on,1.0,146,146,1.25,0.5,0.75,0.0,0.0,0.0,0.0
2015-02-17,risk_on,0.884,129,146,1.25,0.5,0.75,0.0,0.0,0.0,0.0
2015-02-18,risk_on,0.0,0,146,1.25,0.5,0.75,0.0,0.0,0.0,0.0
2015-02-19,risk_on,1.0,146,146,1.25,0.5,0.75,0.0,0.0,0.0,0.0
2015-02-20,risk_on,0.0,0,146,1.25,0.5,0.75,0.0,0.0,0.0,0.0
2015-02-23,risk_on,0.0,0,146,1.25,0.5,0.75,0.0,0.0,0.0,0.0
2015-02-24,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-02-25,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-02-26,risk_off,0.973,142,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-02-27,risk_off,0.979,143,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-03-02,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-03-03,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-03-04,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-03-05,risk_on,1.0,146,146,1.25,0.5,0.75,0.0,0.0,0.0,0.0
2015-03-06,risk_off,0.918,134,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-03-09,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-03-10,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-03-11,risk_off,0.973,142,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-03-12,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-03-13,risk_off,1.0,146,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-03-16,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-03-17,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-03-18,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-03-19,risk_off,0.308,45,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-03-20,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-03-23,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-03-24,risk_off,0.185,27,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-03-25,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-03-26,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-03-27,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-03-30,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-03-31,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-04-01,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-04-02,risk_off,1.0,146,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-04-06,risk_off,1.0,146,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-04-07,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-04-08,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-04-09,risk_on,1.0,146,146,1.1188,0.4475,0.6713,0.0,0.0,0.0,0.0
2015-04-10,risk_on,1.0,146,146,1.1188,0.4475,0.6713,0.0,0.0,0.0,0.0
2015-04-13,risk_on,1.0,146,146,1.1188,0.4475,0.6713,0.0,0.0,0.0,0.0
2015-04-14,risk_on,0.0,0,146,1.1188,0.4475,0.6713,0.0,0.0,0.0,0.0
2015-04-15,risk_on,1.0,146,146,1.1188,0.4475,0.6713,0.0,0.0,0.0,0.0
2015-04-16,risk_on,0.0,0,146,1.2263,0.4905,0.7358,0.0,0.0,0.0,0.0
2015-04-17,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-04-20,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-04-21,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-04-22,risk_off,0.904,132,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-04-23,risk_off,1.0,146,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-04-24,risk_off,0.158,23,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-04-27,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-04-28,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-04-29,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-04-30,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-05-01,risk_on,1.0,146,146,1.1166,0.4466,0.6699,0.0,0.0,0.0,0.0
2015-05-04,risk_on,0.973,142,146,1.1166,0.4466,0.6699,0.0,0.0,0.0,0.0
2015-05-05,risk_on,0.0,0,146,1.1166,0.4466,0.6699,0.0,0.0,0.0,0.0
2015-05-06,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-05-07,risk_off,1.0,146,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-05-08,risk_off,0.918,134,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-05-11,risk_off,1.0,146,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-05-12,risk_off,1.0,146,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-05-13,risk_off,0.103,15,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-05-14,risk_off,0.171,25,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-05-15,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-05-18,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-05-19,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-05-20,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-05-21,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-05-22,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-05-26,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-05-27,risk_on,1.0,146,146,1.0115,0.4046,0.6069,0.0,0.0,0.0,0.0
2015-05-28,risk_on,1.0,146,146,1.0115,0.4046,0.6069,0.0,0.0,0.0,0.0
2015-05-29,risk_on,0.0,0,146,1.0115,0.4046,0.6069,0.0,0.0,0.0,0.0
2015-06-01,risk_on,0.123,18,146,1.1673,0.4669,0.7004,0.0,0.0,0.0,0.0
2015-06-02,risk_on,0.0,0,146,1.1673,0.4669,0.7004,0.0,0.0,0.0,0.0
2015-06-03,risk_on,0.0,0,146,1.1673,0.4669,0.7004,0.0,0.0,0.0,0.0
2015-06-04,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-06-05,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-06-08,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-06-09,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-06-10,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-06-11,risk_off,1.0,146,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-06-12,risk_on,1.0,146,146,1.25,0.5,0.75,0.0,0.0,0.0,0.0
2015-06-15,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-06-16,risk_off,1.0,146,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
2015-06-17,risk_off,0.0,0,146,1.0,0.0,0.0,0.5,0.35,0.15,0.0
