feature,cluster_id,canonical_root,health_state,recent_vs_full_ratio,recent_ic,full_ic,active_candidate,forced_quarantine_reason,root_quarantine_inherited,contributes_to_score,effective_weight
factor_liquidity_dollar_vol_20d,cluster_01,factor_liquidity_dollar_vol_20d,quarantined,0.6462239658454969,-0.011201,-0.017333,False,,True,False,0.0
xs_rank_market_factor_liquidity_dollar_vol_20d,cluster_01,factor_liquidity_dollar_vol_20d,quarantined,0.7051870324189528,-0.014139,-0.02005,False,,True,False,0.0
xs_rank_market_factor_illiquidity_amihud_20d,cluster_01,factor_illiquidity_amihud_20d,watchlist,0.7739291248063177,0.015484,0.020007,True,,False,False,0.0
factor_illiquidity_amihud_20d,cluster_01,factor_illiquidity_amihud_20d,watchlist,0.6700030147723848,0.011112,0.016585,True,,False,False,0.0
dist_ma5,cluster_02,dist_ma5,strengthening,2.196296984333395,-0.035468,-0.016149,True,,False,True,0.125
ret_3d,cluster_02,ret_3d,strengthening,2.6650745878042397,-0.040733,-0.015284,True,,False,True,0.125
dist_ma10,cluster_02,dist_ma10,strengthening,2.277465708687133,-0.034868,-0.01531,True,,False,True,0.125
ret_5d,cluster_02,ret_5d,strengthening,2.7241730625551854,-0.040108,-0.014723,True,,False,True,0.125
xs_rank_market_ret_5d,cluster_02,ret_5d,strengthening,2.712720632988436,-0.040113,-0.014787,True,,False,True,0.125
ret_vs_spy_5d,cluster_02,ret_5d,strengthening,2.7217698154180234,-0.040108,-0.014736,True,,False,True,0.125
ret_vs_qqq_5d,cluster_02,ret_5d,strengthening,2.7304785894206547,-0.040108,-0.014689,True,,False,True,0.125
xs_rank_sector_factor_illiquidity_amihud_20d,cluster_01,factor_illiquidity_amihud_20d,healthy,1.1774044674173898,0.025512,0.021668,True,,False,True,0.125
xs_rank_sector_ret_5d,cluster_02,ret_5d,strengthening,3.231576848960064,-0.048632,-0.015049,True,,False,True,0.125
ret_vs_sector_5d,cluster_02,ret_vs_sector_5d,strengthening,3.718665236863685,-0.058952,-0.015853,True,,False,True,0.125
sector_rs_slope_5d,cluster_02,sector_rs_slope_5d,strengthening,3.7547515312243482,-0.059464,-0.015837,True,,False,True,0.125
ret_1d,cluster_03,ret_1d,strengthening,2.357924151696607,-0.029533,-0.012525,True,,False,True,0.125
xs_rank_sector_factor_liquidity_dollar_vol_20d,cluster_01,factor_liquidity_dollar_vol_20d,quarantined,0.11629053461875546,-0.002123,-0.018256,False,,False,False,0.0
ret_vs_sector_1d,cluster_03,ret_vs_sector_1d,strengthening,2.4955602847288474,-0.034007,-0.013627,True,,False,True,0.125
macd_hist,cluster_04,macd_hist,quarantined,-0.724699572946668,0.007297,-0.010069,False,,False,False,0.0
vwap_dist,cluster_02,vwap_dist,healthy,1.3247175359851417,-0.017118,-0.012922,True,,False,True,0.125
vol_trend_20_60,cluster_05,vol_trend_20_60,quarantined,-1.4098538170005415,0.01302,-0.009235,False,,False,False,0.0
uptick_ratio,cluster_06,uptick_ratio,strengthening,3.4232291254451916,-0.034602,-0.010108,True,,False,True,0.125
dist_ma20,cluster_02,dist_ma20,healthy,1.4114664267604482,-0.017258,-0.012227,True,,False,True,0.125
bb_pos,cluster_02,bb_pos,strengthening,2.3598314863998535,-0.025767,-0.010919,True,,False,True,0.125
rsi_7,cluster_02,rsi_7,healthy,,,,True,,False,True,0.125
xs_rank_sector_factor_mom_12_1,cluster_07,factor_mom_12_1,healthy,,,,True,,False,True,0.125
ret_10d,cluster_02,ret_10d,healthy,,,,True,,False,True,0.125
xs_rank_market_ret_10d,cluster_02,ret_10d,healthy,,,,True,,False,True,0.125
xs_rank_sector_factor_resid_mom_sector_12_1,cluster_07,factor_resid_mom_sector_12_1,healthy,,,,True,,False,True,0.125
xs_rank_market_factor_mom_12_1,cluster_07,factor_mom_12_1,healthy,,,,True,,False,True,0.125
factor_mom_12_1,cluster_07,factor_mom_12_1,healthy,,,,True,,False,True,0.125
xs_rank_sector_factor_idio_vol_252_spy,cluster_08,factor_idio_vol_252_spy,healthy,,,,True,,False,True,0.125
xs_rank_sector_ret_10d,cluster_02,ret_10d,healthy,,,,True,,False,True,0.125
rsi_divergence,cluster_09,rsi_divergence,healthy,,,,True,,False,True,0.125
xs_rank_sector_factor_beta_252_spy,cluster_10,factor_beta_252_spy,healthy,,,,True,,False,True,0.125
xs_rank_market_factor_resid_mom_sector_12_1,cluster_07,factor_resid_mom_sector_12_1,healthy,,,,True,,False,True,0.125
factor_resid_mom_sector_12_1,cluster_07,factor_resid_mom_sector_12_1,healthy,,,,True,,False,True,0.125
ret_vs_spy_20d,cluster_02,ret_20d,healthy,,,,True,,False,True,0.125
ret_vs_qqq_20d,cluster_02,ret_20d,healthy,,,,True,,False,True,0.125
rsi_14,cluster_02,rsi_14,healthy,,,,True,,False,True,0.125
xs_rank_market_rsi_14,cluster_02,rsi_14,healthy,,,,True,,False,True,0.125
xs_rank_market_factor_idio_vol_252_spy,cluster_08,factor_idio_vol_252_spy,healthy,,,,True,,False,True,0.125
