feature,grade,mean_ic,t_stat,rolling_252d_hit_rate,rolling_252d_stability,regime_stable,bull_ic,bear_ic,ic_half_life_days,decays_fast,turnover_pct,high_turnover
factor_liquidity_dollar_vol_20d,A,0.018324,9.2327,0.8402,1.0651,True,0.020938,0.015877,5.0,True,15.1,False
xs_rank_market_factor_liquidity_dollar_vol_20d,A,0.018324,9.2327,0.8402,1.0651,True,0.020938,0.015877,5.0,True,15.1,False
xs_rank_market_factor_illiquidity_amihud_20d,A,0.017578,7.8097,0.7902,0.8456,True,0.019139,0.016118,5.0,True,15.4,False
factor_illiquidity_amihud_20d,A,0.017578,7.8097,0.7902,0.8456,True,0.019139,0.016118,5.0,True,15.4,False
dist_ma5,A,0.012309,5.3901,0.8773,1.0867,True,0.009089,0.015324,20.0,False,86.8,True
ret_3d,A,0.011438,5.0237,0.8749,1.0595,True,0.009261,0.013472,20.0,False,86.7,True
dist_ma10,A,0.012263,5.2741,0.8191,0.8811,True,0.009093,0.015229,20.0,False,88.5,True
xs_rank_sector_factor_illiquidity_amihud_20d,A,0.018672,7.4437,0.7283,0.7642,True,0.02054,0.016924,,False,9.8,False
ret_vs_sector_5d,A,0.012337,4.6412,0.8283,0.8773,True,0.009988,0.014533,20.0,False,86.2,True
ret_1d,A,0.009882,4.4127,0.8603,1.1214,True,0.006196,0.013334,20.0,False,87.9,True
xs_rank_sector_factor_liquidity_dollar_vol_20d,A,0.014366,6.5328,0.7606,0.6699,True,0.017551,0.011387,,False,15.9,False
ret_vs_sector_1d,A,0.010599,4.0711,0.8668,1.0982,True,0.007045,0.013929,20.0,False,86.9,True
rsi_divergence,A,0.011824,5.5684,0.8167,0.9234,True,0.010189,0.013355,20.0,False,92.3,True
ret_5d,B,0.011185,4.8959,0.8463,0.9227,True,0.010177,0.012129,20.0,False,88.4,True
xs_rank_market_ret_5d,B,0.011185,4.8959,0.8463,0.9227,True,0.010177,0.012129,20.0,False,88.4,True
ret_vs_spy_5d,B,0.011169,4.8908,0.8463,0.9226,True,0.010194,0.01208,20.0,False,88.4,True
ret_vs_qqq_5d,B,0.01113,4.8748,0.8458,0.9208,True,0.01017,0.012028,20.0,False,88.4,True
xs_rank_sector_ret_5d,B,0.011375,4.5909,0.8077,0.7961,True,0.008721,0.013858,20.0,False,86.8,True
sector_rs_slope_5d,B,0.012293,4.6259,0.8255,0.8675,True,0.009872,0.014557,20.0,False,86.3,True
macd_hist,B,0.009844,4.5716,0.7413,0.5595,True,0.010575,0.00916,10.0,True,80.0,True
vwap_dist,B,0.010332,4.3249,0.7139,0.6207,True,0.008236,0.012293,5.0,True,77.2,True
vol_trend_20_60,B,0.011575,5.5607,0.7678,0.6889,True,0.011266,0.011864,,False,60.3,True
rsi_7,B,0.008008,3.6587,0.7354,0.4927,True,0.005954,0.009928,,False,91.2,True
xs_rank_sector_factor_mom_12_1,B,0.011854,4.2202,0.7357,0.594,True,0.011065,0.012592,,False,18.9,False
ret_10d,B,0.009774,4.1633,0.7599,0.6327,True,0.007979,0.011453,,False,89.2,True
xs_rank_market_ret_10d,B,0.009774,4.1633,0.7599,0.6327,True,0.007979,0.011453,,False,89.2,True
xs_rank_sector_factor_resid_mom_sector_12_1,B,0.00963,3.3776,0.734,0.4697,True,0.008623,0.010573,,False,17.9,False
xs_rank_market_factor_mom_12_1,B,0.010385,3.4573,0.6906,0.4435,True,0.010004,0.010741,,False,16.6,False
factor_mom_12_1,B,0.010385,3.4573,0.6906,0.4435,True,0.010004,0.010741,,False,16.6,False
xs_rank_sector_ret_10d,B,0.008524,3.3904,0.7412,0.5151,True,0.006044,0.010844,,False,88.6,True
xs_rank_sector_factor_beta_252_spy,B,0.009735,3.4563,0.6279,0.3062,True,0.007844,0.011504,5.0,True,7.8,False
xs_rank_market_factor_resid_mom_sector_12_1,B,0.008909,2.794,0.7029,0.3706,True,0.007004,0.010688,,False,14.0,False
factor_resid_mom_sector_12_1,B,0.008909,2.794,0.7029,0.3706,True,0.007004,0.010688,,False,14.0,False
uptick_ratio,C,0.006872,3.2359,0.6892,0.4874,False,0.004673,0.00893,20.0,False,87.9,True
dist_ma20,C,0.010115,4.2441,0.697,0.6103,True,0.008042,0.012055,5.0,True,76.9,True
bb_pos,C,0.006857,3.0432,0.6551,0.4051,False,0.004989,0.008605,,False,88.5,True
xs_rank_sector_factor_idio_vol_252_spy,D,0.004126,1.4016,0.5482,0.1366,False,0.000436,0.007578,5.0,True,5.9,False
ret_vs_spy_20d,D,0.004422,1.8651,0.575,0.2387,False,0.002898,0.005847,,False,65.4,True
ret_vs_qqq_20d,D,0.004407,1.8592,0.5745,0.2377,False,0.002907,0.005812,,False,65.4,True
rsi_14,D,0.005026,2.2131,0.5962,0.28,False,0.003711,0.006257,5.0,True,81.1,True
xs_rank_market_rsi_14,D,0.005026,2.2131,0.5962,0.28,False,0.003711,0.006257,5.0,True,81.1,True
xs_rank_market_factor_idio_vol_252_spy,F,-0.001583,-0.5797,0.4688,-0.1016,False,-0.006605,0.003109,5.0,True,4.6,False
