feature,aggregate_ic,aggregate_t_stat,n_ic_days,sector_specific,best_sector,best_sector_ic,worst_sector,worst_sector_ic,sector_dispersion,trend_slope,trending_down,recent_vs_full_trend,optimal_horizon,current_horizon,horizon_mismatch,ic_at_current,ic_at_optimal,recent_ic,full_ic,recent_t_stat,decaying,strengthening,conditional,most_variable_condition,vix_low_ic,vix_high_ic,yield_normal_ic,yield_inverted_ic,earnings_near_ic,earnings_far_ic,bull_ic,bear_ic,regime_stable
factor_liquidity_dollar_vol_20d,-0.016831,-11.22,4112,True,XLP,0.011117,XLE,-0.040338,0.013753,0.007346,False,0.4533,20,5,True,-0.016831,-0.030314,-0.009597,-0.016831,-1.31,False,False,True,yield_curve,-0.016858,-0.01907,-0.018795,-0.00564,-0.02264,-0.010477,-0.017619,-0.014063,False
xs_rank_market_factor_liquidity_dollar_vol_20d,-0.019754,-13.58,4116,True,XLP,0.010443,XLE,-0.038841,0.012964,0.005962,False,0.5947,20,5,True,-0.019754,-0.036134,-0.018509,-0.019754,-2.7,False,False,True,yield_curve,-0.020992,-0.020204,-0.02134,-0.010708,-0.02264,-0.013837,-0.020616,-0.016744,False
xs_rank_market_factor_illiquidity_amihud_20d,0.019498,10.73,4116,True,XLE,0.047292,XLP,-0.008541,0.014978,-0.005342,True,0.7339,20,5,True,0.019498,0.03805,0.028793,0.019498,3.21,False,False,True,earnings,0.018274,0.020838,0.021436,0.008444,0.042284,0.012986,0.018429,0.023233,True
factor_illiquidity_amihud_20d,0.016237,9.02,4111,True,XLE,0.047729,XLP,-0.010371,0.01526,-0.006682,True,0.5751,20,5,True,0.016237,0.031541,0.018031,0.016237,2.03,False,False,True,earnings,0.014284,0.018933,0.018498,0.003358,0.042284,0.009351,0.01545,0.019002,True
dist_ma5,-0.015372,-7.83,4112,True,XLE,-0.000719,XLU,-0.042022,0.010859,0.004547,False,0.5986,5,5,False,-0.015372,-0.015372,-0.010019,-0.015372,-0.8,False,False,True,vix,-0.006295,-0.023136,-0.017186,-0.00504,-0.018074,-0.014925,-0.011599,-0.028614,False
ret_3d,-0.014463,-7.34,4113,True,XLE,-0.002282,XLU,-0.041133,0.010367,0.004395,False,0.6089,5,5,False,-0.014463,-0.014463,-0.013438,-0.014463,-1.1,False,False,True,vix,-0.006761,-0.021062,-0.016169,-0.004745,-0.015793,-0.013809,-0.010853,-0.027119,False
dist_ma10,-0.014801,-7.35,4107,True,XLE,-0.00199,XLU,-0.04707,0.011861,0.00404,False,0.4428,5,5,False,-0.014801,-0.014801,-0.012725,-0.014801,-1.1,False,False,True,vix,-0.002962,-0.024951,-0.017749,0.001965,-0.005314,-0.014721,-0.009822,-0.032368,False
ret_5d,-0.013845,-7.01,4111,True,XLF,-0.00401,XLU,-0.04361,0.010758,0.004078,False,0.4696,5,5,False,-0.013845,-0.013845,-0.014891,-0.013845,-1.28,False,False,True,yield_curve,-0.005794,-0.022022,-0.016523,0.001406,-0.017522,-0.013212,-0.009086,-0.030565,False
xs_rank_market_ret_5d,-0.013888,-7.05,4116,True,XLF,-0.003456,XLU,-0.042774,0.010649,0.003994,False,0.4916,5,5,False,-0.013888,-0.013888,-0.014459,-0.013888,-1.25,False,False,True,yield_curve,-0.006005,-0.022145,-0.016473,0.000859,-0.017522,-0.013254,-0.009246,-0.030101,False
ret_vs_spy_5d,-0.013832,-7.0,4111,True,XLF,-0.003791,XLU,-0.043864,0.010761,0.004082,False,0.4678,5,5,False,-0.013832,-0.013832,-0.014891,-0.013832,-1.28,False,False,True,yield_curve,-0.005853,-0.022022,-0.016517,0.001458,-0.017522,-0.013188,-0.009095,-0.030474,False
ret_vs_qqq_5d,-0.013853,-7.01,4111,True,XLF,-0.00385,XLU,-0.043847,0.010751,0.004006,False,0.4802,5,5,False,-0.013853,-0.013853,-0.014891,-0.013853,-1.28,False,False,True,yield_curve,-0.005871,-0.022021,-0.016512,0.001292,-0.017522,-0.013189,-0.009073,-0.030644,False
xs_rank_sector_factor_illiquidity_amihud_20d,0.021121,10.2,4116,True,XLE,0.043996,XLP,-0.0039,0.01315,-0.00561,True,0.7144,20,5,True,0.021121,0.041146,0.035992,0.021121,3.03,False,True,True,earnings,0.017573,0.025521,0.023461,0.007775,0.037948,0.015464,0.019158,0.027979,True
xs_rank_sector_ret_5d,-0.013897,-6.27,4116,True,XLF,-0.003329,XLU,-0.043255,0.010445,0.005411,False,0.2048,5,5,False,-0.013897,-0.013897,-0.017876,-0.013897,-1.47,False,False,True,yield_curve,-0.002474,-0.02346,-0.017522,0.006773,-0.015472,-0.013487,-0.009263,-0.030088,False
ret_vs_sector_5d,-0.014565,-6.34,4111,True,XLF,-0.003768,XLU,-0.043693,0.010784,0.003901,False,0.3598,5,5,False,-0.014565,-0.014565,-0.019149,-0.014565,-1.36,False,False,True,yield_curve,-0.003146,-0.02554,-0.017946,0.004689,-0.011892,-0.014207,-0.010242,-0.029752,False
sector_rs_slope_5d,-0.014538,-6.33,4111,True,XLF,-0.003765,XLU,-0.043693,0.010769,0.003896,False,0.3577,5,5,False,-0.014538,-0.014538,-0.019212,-0.014538,-1.36,False,False,True,yield_curve,-0.003169,-0.025354,-0.017914,0.004691,-0.012052,-0.014188,-0.010262,-0.029558,False
ret_1d,-0.012048,-6.31,4115,True,XLE,0.000165,XLC,-0.029144,0.007514,0.004105,False,0.5828,5,5,False,-0.012048,-0.012048,-0.011212,-0.012048,-0.96,False,False,True,vix,-0.00312,-0.018872,-0.013114,-0.00597,-0.009551,-0.011384,-0.010037,-0.019082,False
xs_rank_sector_factor_liquidity_dollar_vol_20d,-0.018106,-10.67,4116,True,XLP,0.010011,XLE,-0.039991,0.01213,0.008014,False,0.3871,20,5,True,-0.018106,-0.034797,-0.011962,-0.018106,-1.19,False,False,True,yield_curve,-0.015266,-0.021708,-0.020793,-0.002782,-0.021841,-0.012332,-0.018578,-0.016456,False
ret_vs_sector_1d,-0.012872,-5.83,4115,True,XLE,1.9e-05,XLC,-0.02922,0.007507,0.003965,False,0.5786,5,5,False,-0.012872,-0.012872,-0.008776,-0.012872,-0.61,False,False,True,vix,-0.001131,-0.02054,-0.013872,-0.007169,-0.012115,-0.012317,-0.011056,-0.019223,False
macd_hist,-0.010793,-5.98,4115,True,XLE,0.014146,XLU,-0.024356,0.011559,0.002297,False,0.2802,5,5,False,-0.010793,-0.010793,-0.013287,-0.010793,-1.25,False,False,True,earnings,0.001348,-0.017483,-0.011708,-0.005574,0.015081,-0.012753,-0.008518,-0.018749,False
vwap_dist,-0.012637,-6.13,4097,True,XLE,0.007402,XLU,-0.044583,0.012315,0.001933,False,0.7231,5,5,False,-0.012637,-0.012637,-0.023227,-0.012637,-2.15,False,True,True,vix,7.5e-05,-0.021675,-0.014773,-0.000516,0.006627,-0.013493,-0.007534,-0.03084,False
vol_trend_20_60,-0.009883,-6.62,4107,True,XLU,0.003581,XLK,-0.021701,0.007497,0.003559,False,0.6453,20,5,True,-0.009883,-0.015863,-0.014502,-0.009883,-1.55,False,False,False,vix,-0.015127,-0.005666,-0.010627,-0.005646,-0.004171,-0.01246,-0.009131,-0.012535,False
uptick_ratio,-0.009702,-5.84,4112,True,XLE,0.000639,XLC,-0.029421,0.008049,0.002161,False,0.6628,5,5,False,-0.009702,-0.009702,-0.020386,-0.009702,-2.04,False,True,True,yield_curve,-0.003905,-0.013001,-0.01138,-0.000146,-0.012738,-0.007649,-0.005824,-0.023311,False
dist_ma20,-0.01199,-5.82,4097,True,XLE,0.005749,XLU,-0.0444,0.012135,0.001794,False,0.7004,5,5,False,-0.01199,-0.01199,-0.020346,-0.01199,-1.85,False,True,True,vix,0.000682,-0.020847,-0.01421,0.000605,0.007402,-0.012713,-0.007001,-0.029787,False
bb_pos,-0.010435,-5.46,4097,True,XLE,0.004993,XLU,-0.038901,0.011671,0.001734,False,0.6451,5,5,False,-0.010435,-0.010435,-0.016939,-0.010435,-1.74,False,True,True,vix,-0.001385,-0.01624,-0.012487,0.001204,0.002434,-0.01081,-0.005027,-0.029729,False
