order_id,simulated_at,valuation_date,signal_key,mode,ticker,side,order_type,time_in_force,quantity,notional,reference_price,simulated_fill_price,slippage_bps,slippage_cost,regulatory_fee_raw,commission,target_weight,drift_before,broker_order_submitted
frac-shadow-2a60afcb2e-qqq-buy,2026-08-31T23:45:09+00:00,2026-08-28,2a60afcb2ee8b3e4a117,fractional_shadow_only,QQQ,buy,market,day,0.333319379,239.0388,716.429993,717.146423,10.0,0.2388,1e-06,0.0,0.6,0.6,False
frac-shadow-2a60afcb2e-mu-buy,2026-08-31T23:45:09+00:00,2026-08-28,2a60afcb2ee8b3e4a117,fractional_shadow_only,MU,buy,market,day,0.08532899,79.6796,932.859985,933.792845,10.0,0.0796,2.6e-07,0.0,0.2,0.2,False
frac-shadow-2a60afcb2e-intc-buy,2026-08-31T23:45:09+00:00,2026-08-28,2a60afcb2ee8b3e4a117,fractional_shadow_only,INTC,buy,market,day,0.781275724,69.970641,89.470001,89.559471,10.0,0.06990074,2.34e-06,0.0,0.17563,0.17563,False
frac-shadow-2a60afcb2e-fcx-buy,2026-08-31T23:45:09+00:00,2026-08-28,2a60afcb2ee8b3e4a117,fractional_shadow_only,FCX,buy,market,day,0.121669815,9.310959,76.449997,76.526447,10.0,0.00930166,3.7e-07,0.0,0.02437,0.02437,False
frac-shadow-1320b07913-intc-sell,2026-09-09T17:29:09+00:00,2026-09-08,1320b07913129413e150,fractional_shadow_only,INTC,sell,market,day,0.074408546,7.765687,104.470001,104.365531,10.0,0.00777346,0.00017471,0.0,0.17767,0.0177206136,False
frac-shadow-1320b07913-qqq-buy,2026-09-09T17:29:09+00:00,2026-09-08,1320b07913129413e150,fractional_shadow_only,QQQ,buy,market,day,0.010662335,7.667054,718.359985,719.078345,10.0,0.00765939,3e-08,0.0,0.6,0.0267943482,False
frac-shadow-3a76775486-mu-sell,2026-09-14T16:59:11+00:00,2026-09-11,3a76775486ad9f53ffef,fractional_shadow_only,MU,sell,market,day,0.011876345,11.570942,975.26001,974.28475,10.0,0.01158252,0.00024071,0.0,0.174486,0.0271986444,False
frac-shadow-3a76775486-intc-buy,2026-09-14T16:59:11+00:00,2026-09-11,3a76775486ad9f53ffef,fractional_shadow_only,INTC,buy,market,day,0.090784145,9.354665,102.940002,103.042942,10.0,0.00934532,2.7e-07,0.0,0.2,0.0236490503,False
frac-shadow-611b939723-qqq-sell,2026-09-17T14:00:22+00:00,2026-09-16,611b939723cba112afab,fractional_shadow_only,QQQ,sell,market,day,0.130193911,91.658499,704.719971,704.015251,10.0,0.09175025,0.00191394,0.0,0.375,0.2253531311,False
frac-shadow-611b939723-intc-sell,2026-09-17T14:00:22+00:00,2026-09-16,611b939723cba112afab,fractional_shadow_only,INTC,sell,market,day,0.797651323,80.522066,101.050003,100.948953,10.0,0.08060267,0.00181669,0.0,0.0,0.1996200986,False
frac-shadow-611b939723-gs-buy,2026-09-17T14:00:22+00:00,2026-09-16,611b939723cba112afab,fractional_shadow_only,GS,buy,market,day,0.080816164,75.879748,937.97998,938.91796,10.0,0.07580394,2.4e-07,0.0,0.188679,0.188679,False
frac-shadow-611b939723-spy-buy,2026-09-17T14:00:22+00:00,2026-09-16,611b939723cba112afab,fractional_shadow_only,SPY,buy,market,day,0.066600595,50.270398,754.049988,754.804038,10.0,0.05022018,2e-07,0.0,0.125,0.125,False
frac-shadow-611b939723-mu-buy,2026-09-17T14:00:22+00:00,2026-09-16,611b939723cba112afab,fractional_shadow_only,MU,buy,market,day,0.026443749,24.525957,926.549988,927.476538,10.0,0.02450146,8e-08,0.0,0.230383,0.0618320756,False
frac-shadow-611b939723-fcx-buy,2026-09-17T14:00:22+00:00,2026-09-16,611b939723cba112afab,fractional_shadow_only,FCX,buy,market,day,0.34296251,23.77047,69.239998,69.309238,10.0,0.02374672,1.03e-06,0.0,0.080938,0.0600741362,False
