ticker,effective_from,effective_to,status,source,source_url,retrieved_at,license,access_cost,addition_evidence_ids,deletion_evidence_ids,identity_evidence_urls,addition_boundary_supported,deletion_boundary_supported,interval_verified,security_history_verified,next_action
A,2000-06-05,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
AABA,1999-12-08,2017-06-18,removed,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
AAL,2015-03-23,2024-09-22,removed,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
AAP,2015-07-09,2023-08-24,removed,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
AAPL,1996-01-02,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
ABBV,2013-01-02,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
ABC,2001-08-30,2023-08-29,removed,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
ABMD,2018-05-31,2022-12-21,removed,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
ABNB,2023-09-18,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
ABT,1996-01-02,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
ACGL,2022-11-01,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
ACN,2011-07-06,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
ADBE,1997-05-06,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
