code,stock_name,order_market,trd_side,order_type,order_status,order_id,qty,price,create_time,updated_time,dealt_qty,dealt_avg_price,last_err_msg,remark,time_in_force,fill_outside_rth,session,aux_price,trail_type,trail_value,trail_spread,currency,jp_acc_type
US.AMZN,Amazon,US,BUY,NORMAL,FILLED_ALL,2808499,596.0,253.05,2026-04-21 10:37:34,2026-04-21 10:37:36,596.0,252.76,,quant_pipeline|conf=63.2|exp=0.37,DAY,N/A,RTH,N/A,N/A,N/A,N/A,USD,N/A
US.GOOGL,Alphabet-A,US,BUY,NORMAL,FILLED_ALL,2808498,446.0,338.04,2026-04-21 10:37:34,2026-04-21 10:37:36,446.0,337.69,,quant_pipeline|conf=72.0|exp=0.30,DAY,N/A,RTH,N/A,N/A,N/A,N/A,USD,N/A
US.GOOGL,Alphabet-A,US,SELL,MARKET,FILLED_ALL,2808496,446.0,0.0,2026-04-21 10:37:04,2026-04-21 10:37:21,446.0,337.72,,,DAY,N/A,RTH,N/A,N/A,N/A,N/A,USD,N/A
US.META,Meta Platforms,US,SELL,MARKET,FILLED_ALL,2808494,224.0,0.0,2026-04-21 10:36:41,2026-04-21 10:36:51,224.0,674.94,,,DAY,N/A,RTH,N/A,N/A,N/A,N/A,USD,N/A
US.GOOGL,Alphabet-A,US,SELL,NORMAL,CANCELLED_ALL,2808493,446.0,337.87,2026-04-21 10:36:34,2026-04-21 10:36:54,0.0,0.0,,,DAY,N/A,ETH,N/A,N/A,N/A,N/A,USD,N/A
US.BAC,Bank of America,US,BUY,NORMAL,FILLED_ALL,2808491,2792.0,54.285,2026-04-21 10:36:20,2026-04-21 10:36:45,2792.0,54.265,,,DAY,N/A,ETH,N/A,N/A,N/A,N/A,USD,N/A
US.AMZN,Amazon,US,SELL,MARKET,FILLED_ALL,2808490,595.0,0.0,2026-04-21 10:35:56,2026-04-21 10:36:12,595.0,252.875,,,DAY,N/A,RTH,N/A,N/A,N/A,N/A,USD,N/A
US.GS,Goldman Sachs,US,SELL,MARKET,FILLED_ALL,2808489,160.0,0.0,2026-04-21 10:35:46,2026-04-21 10:36:03,160.0,938.125,,,DAY,N/A,RTH,N/A,N/A,N/A,N/A,USD,N/A
US.GS,Goldman Sachs,US,SELL,NORMAL,CANCELLED_ALL,2808487,160.0,938.59,2026-04-21 10:35:28,2026-04-21 10:35:38,0.0,0.0,,,DAY,N/A,ETH,N/A,N/A,N/A,N/A,USD,N/A
US.AMZN,Amazon,US,BUY,NORMAL,FILLED_ALL,2808485,595.0,253.11,2026-04-21 10:34:39,2026-04-21 10:34:45,595.0,252.81,,quant_pipeline|conf=63.2|exp=0.37,DAY,N/A,RTH,N/A,N/A,N/A,N/A,USD,N/A
US.GS,Goldman Sachs,US,BUY,NORMAL,FILLED_ALL,2808484,160.0,939.52,2026-04-21 10:34:39,2026-04-21 10:34:54,160.0,938.17,,quant_pipeline|conf=63.7|exp=0.15,DAY,N/A,RTH,N/A,N/A,N/A,N/A,USD,N/A
US.META,Meta Platforms,US,BUY,NORMAL,FILLED_ALL,2808290,224.0,675.32,2026-04-21 09:14:03,2026-04-21 09:30:09,224.0,671.755,,quant_pipeline|conf=61.0|exp=0.33,DAY,N/A,RTH,N/A,N/A,N/A,N/A,USD,N/A
US.BAC,Bank of America,US,SELL,NORMAL,FILLED_ALL,2808289,2792.0,53.83,2026-04-21 09:13:21,2026-04-21 09:30:15,2792.0,53.96,,quant_pipeline|conf=61.3|exp=-0.07,DAY,N/A,RTH,N/A,N/A,N/A,N/A,USD,N/A
US.GOOGL,Alphabet-A,US,BUY,NORMAL,FILLED_ALL,2808288,446.0,338.29,2026-04-21 09:13:20,2026-04-21 09:30:12,446.0,336.99,,quant_pipeline|conf=58.2|exp=0.24,DAY,N/A,RTH,N/A,N/A,N/A,N/A,USD,N/A
US.MU,Micron Technology,US,BUY,NORMAL,CANCELLED_ALL,2808287,335.0,451.12,2026-04-21 09:13:20,2026-04-21 09:14:14,0.0,0.0,,quant_pipeline|conf=59.9|exp=0.04,DAY,N/A,RTH,N/A,N/A,N/A,N/A,USD,N/A
US.META,Meta Platforms,US,BUY,NORMAL,CANCELLED_ALL,2808286,224.0,675.48,2026-04-21 09:13:20,2026-04-21 09:13:56,0.0,0.0,,quant_pipeline|conf=61.0|exp=0.33,DAY,N/A,RTH,N/A,N/A,N/A,N/A,USD,N/A
US.NVDA,NVIDIA,US,SELL,MARKET,FILLED_ALL,2806795,100.0,0.0,2026-04-20 07:50:01,2026-04-20 09:30:39,100.0,198.499,,,DAY,N/A,RTH,N/A,N/A,N/A,N/A,USD,N/A
US.SPY,SPDR S&P 500 ETF,US,SELL,MARKET,FILLED_ALL,2806794,100.0,0.0,2026-04-20 07:49:54,2026-04-20 09:30:27,100.0,708.94,,,DAY,N/A,RTH,N/A,N/A,N/A,N/A,USD,N/A
US.NVDA,NVIDIA,US,SELL,NORMAL,CANCELLED_ALL,2806413,100.0,201.68,2026-04-19 23:37:13,2026-04-20 07:49:08,0.0,0.0,,,DAY,N/A,ETH,N/A,N/A,N/A,N/A,USD,N/A
US.SPY,SPDR S&P 500 ETF,US,SELL,NORMAL,CANCELLED_ALL,2806412,100.0,710.14,2026-04-19 23:37:07,2026-04-20 07:49:46,0.0,0.0,,,DAY,N/A,ETH,N/A,N/A,N/A,N/A,USD,N/A
US.NVDA,NVIDIA,US,SELL,MARKET,CANCELLED_ALL,2806013,100.0,0.0,2026-04-19 07:42:53,2026-04-19 20:01:00,0.0,0.0,,,DAY,N/A,RTH,N/A,N/A,N/A,N/A,USD,N/A
US.SPY,SPDR S&P 500 ETF,US,SELL,NORMAL,CANCELLED_ALL,2806012,100.0,710.14,2026-04-19 07:42:41,2026-04-19 20:01:00,0.0,0.0,,,DAY,N/A,ETH,N/A,N/A,N/A,N/A,USD,N/A
US.AMZN,Amazon,US,SELL,NORMAL,CANCELLED_ALL,2806011,601.0,250.45,2026-04-19 07:25:53,2026-04-19 20:01:00,0.0,0.0,,quant_pipeline|conf=58.4|exp=-0.60,DAY,N/A,RTH,N/A,N/A,N/A,N/A,USD,N/A
US.TSLA,Tesla,US,BUY,NORMAL,CANCELLED_ALL,2806010,376.0,401.49,2026-04-19 07:25:53,2026-04-19 20:01:00,0.0,0.0,,quant_pipeline|conf=61.4|exp=1.49,DAY,N/A,RTH,N/A,N/A,N/A,N/A,USD,N/A
US.MU,Micron Technology,US,SELL,NORMAL,CANCELLED_ALL,2806009,331.0,452.05,2026-04-19 07:25:53,2026-04-19 20:01:00,0.0,0.0,,quant_pipeline|conf=61.5|exp=-1.04,DAY,N/A,RTH,N/A,N/A,N/A,N/A,USD,N/A
US.UNH,UnitedHealth,US,BUY,NORMAL,CANCELLED_ALL,2806008,464.0,324.51,2026-04-19 07:25:52,2026-04-19 20:01:00,0.0,0.0,,quant_pipeline|conf=67.4|exp=1.26,DAY,N/A,RTH,N/A,N/A,N/A,N/A,USD,N/A
US.MSFT,Microsoft,US,BUY,NORMAL,CANCELLED_ALL,2806007,356.0,422.91,2026-04-19 07:25:52,2026-04-19 20:01:00,0.0,0.0,,quant_pipeline|conf=68.5|exp=1.18,DAY,N/A,RTH,N/A,N/A,N/A,N/A,USD,N/A
