,equity,benchmark_spy_norm
2015-01-02,10000.0,1.0
2015-01-05,10000.0,0.9819399618559423
2015-01-06,10000.0,0.9726914988117652
2015-01-07,10000.0,0.9848122467108285
2015-01-08,10000.0,1.0022877644826873
2015-01-09,10000.0,0.9942559684400257
2015-01-12,10000.0,0.9864673264144012
2015-01-13,10000.0,0.9836928951311077
2015-01-14,10000.0,0.9777538739610121
2015-01-15,10002.428333833876,0.9687973571822189
2015-01-16,10022.399688278309,0.981502176995316
2015-01-20,10032.21953906998,0.9835953106344141
2015-01-21,10001.451612842326,0.9885605497451323
2015-01-22,10080.659908170772,1.0032616362336977
2015-01-23,10083.932604526592,0.9977609380740264
2015-01-26,10069.50379265531,1.0000974948050607
2015-01-27,9919.555103352594,0.9869053803499265
2015-01-28,9874.667510969572,0.9742494424768093
2015-01-29,9946.050631827966,0.9832546618123164
2015-01-30,9764.361183131981,0.9708900423631521
2015-02-02,9874.317040666845,0.9829141026818515
2015-02-03,9916.123679882056,0.9971278945283799
2015-02-04,9964.29939658066,0.9933308889373622
2015-02-05,10058.83209620546,1.0033588619638594
2015-02-06,10051.29522715495,1.0005842512972998
2015-02-09,10018.412415515648,0.9961054099122888
2015-02-10,10053.557271837992,1.0067174548528197
2015-02-11,9994.526105491612,1.0073015267668535
2015-02-12,10118.985560298894,1.0169886715879868
2015-02-13,10294.384987236112,1.021174938866183
2015-02-17,10289.899705721498,1.022781674779574
2015-02-18,10285.238916471562,1.0228789005097354
2015-02-19,10275.530951897073,1.0221487209255602
2015-02-20,10323.177380173562,1.0282819244810801
2015-02-23,10350.647664673723,1.0281362652691035
2015-02-24,10346.390645395388,1.0310565351476395
2015-02-25,10335.983023292798,1.030180606659855
2015-02-26,10335.12932790066,1.0289636705834404
2015-02-27,10335.12932790066,1.0254588803327058
2015-03-02,10335.12932790066,1.0319331811684882
2015-03-03,10335.12932790066,1.0276978525670464
2015-03-04,10335.12932790066,1.0233655673103417
2015-03-05,10335.12932790066,1.0244854570398605
2015-03-06,10335.12932790066,1.0100764065083119
2015-03-09,10335.12932790066,1.0142628531697742
2015-03-10,10335.12932790066,0.9978091921725754
2015-03-11,10335.12932790066,0.9954729045164401
2015-03-12,10335.12932790066,1.0081292908477222
2015-03-13,10335.12932790066,1.0019471156605897
2015-03-16,10335.12932790066,1.01533377126768
2015-03-17,10335.12932790066,1.0123152890510194
2015-03-18,10335.12932790066,1.0244854570398605
2015-03-19,10335.12932790066,1.0198120745028931
2015-03-20,10335.12932790066,1.0288137958647134
2015-03-23,10335.12932790066,1.0268090981757438
2015-03-24,10335.12932790066,1.0210398632668993
2015-03-25,10335.12932790066,1.0060773256681668
2015-03-26,10335.201519790413,1.0036816621509919
2015-03-27,10317.971789168885,1.0059792927133082
2015-03-30,10320.724727447317,1.0182525163884553
2015-03-31,10285.765160146668,1.0093533125631429
2015-04-01,10293.802244006758,1.005784213411554
2015-04-02,10207.379713480641,1.0094020151198568
2015-04-06,10489.857267147665,1.016199026451139
2015-04-07,10482.014743126701,1.0135096228359204
2015-04-08,10460.92039259236,1.0169321658592028
2015-04-09,10468.921984762166,1.0214302909453068
2015-04-10,10501.922909558842,1.027004625935663
2015-04-13,10503.084328165061,1.0223595859547208
2015-04-14,10494.74648619336,1.0243155810869764
2015-04-15,10537.566562496702,1.028911380361407
2015-04-16,10530.34977737339,1.0286184474880602
2015-04-17,10530.34977737339,1.0167857891141623
2015-04-20,10530.34977737339,1.026075869076047
2015-04-21,10525.873075095753,1.0248534618100202
2015-04-22,10539.11183621411,1.029889736694067
2015-04-23,10564.91672240146,1.0324810176627939
2015-04-24,10898.904242488214,1.0348767708716018
2015-04-27,10910.701080871218,1.030574083853784
2015-04-28,10994.014158624777,1.0338500707487601
2015-04-29,10982.801100230921,1.029596175979289
2015-04-30,10963.558886918177,1.0192793062029297
2015-05-01,10963.558886918177,1.030329584462252
2015-05-04,10963.558886918177,1.0332633080857365
2015-05-05,10963.558886918177,1.0214302909453068
2015-05-06,10963.558886918177,1.0172258162656136
2015-05-07,10963.558886918177,1.0212839142002663
2015-05-08,10963.558886918177,1.0347300353600295
2015-05-11,10978.287825700909,1.0297914346643093
2015-05-12,10945.45733893622,1.0267115136790503
2015-05-13,10947.661577877812,1.0269069517473366
2015-05-14,11060.26805168216,1.037615146118433
2015-05-15,11024.380590169754,1.0387394307379685
2015-05-18,10985.800693495417,1.0419668047678636
2015-05-19,10964.56268642893,1.041624631188005
2015-05-20,10961.097425446778,1.0408910433217762
2015-05-21,10936.200708259468,1.0439227999001195
2015-05-22,10863.205132304927,1.041429103428086
2015-05-26,10794.726594269048,1.0302319102739255
2015-05-27,10967.786098751265,1.04001116840214
2015-05-28,10942.137998928854,1.038837463692827
2015-05-29,10880.8425491118,1.0323828950163023
2015-06-01,10915.811041984749,1.0344856256601305
2015-06-02,10890.873886841533,1.0334587461540228
2015-06-03,10885.017374474413,1.036197121400854
2015-06-04,10885.017374474413,1.0274447427787472
2015-06-05,10885.017374474413,1.0256844547896766
2015-06-08,10885.017374474413,1.0193768010079904
2015-06-09,10885.017374474413,1.01923042426295
2015-06-10,10885.017374474413,1.0314541381566862
2015-06-11,10885.017374474413,1.034779276066541
2015-06-12,10885.017374474413,1.0268581594989896
2015-06-15,10885.017374474413,1.0224576189095793
2015-06-16,10885.017374474413,1.0280316848250368
2015-06-17,10885.017374474413,1.0296941192425146
2015-06-18,10885.017374474413,1.0404020445387123
2015-06-19,10885.017374474413,1.0357836429727683
2015-06-22,10885.017374474413,1.0410901587470152
2015-06-23,10885.017374474413,1.0418270652036645
2015-06-24,10867.747349348327,1.0342604996613245
2015-06-25,10866.716539944306,1.0311158213170464
2015-06-26,10847.35067050983,1.0309193966407972
2015-06-29,10803.156014004522,1.0093004841913116
2015-06-30,10786.348298008012,1.0114136190645664
2015-07-01,10805.607049385502,1.0195202179291423
2015-07-02,10804.142242985474,1.0185869764878765
2015-07-06,10801.709654329103,1.0156878738347264
2015-07-07,10794.350610345607,1.0220752634781411
2015-07-08,10782.107578928575,1.0049278376997612
2015-07-09,10792.701885054157,1.0067452592590467
2015-07-10,10792.5436474431,1.0194221849742837
2015-07-13,10871.819209250798,1.0306738209496693
2015-07-14,10879.054104770468,1.0351446797793442
2015-07-15,10890.735826376931,1.034800802058459
2015-07-16,10960.399348973817,1.0431040946741825
2015-07-17,10956.394405669911,1.0439889026336333
2015-07-20,10970.01763193402,1.0445292050307677
2015-07-21,10979.315231725866,1.0404020445387123
2015-07-22,10979.315231725866,1.038535113198016
2015-07-23,10979.315231725866,1.03268784656847
2015-07-24,10977.917339819702,1.0219769614483836
2015-07-27,10964.762045321693,1.0160317515556117
2015-07-28,10958.813138067293,1.0285117144448017
2015-07-29,11018.00874638778,1.035586769838354
2015-07-30,11059.429367117264,1.035832524912748
