date,entry_date,exit_date,ticker,signal,signal_quality,confidence,expected_return,position_pct,regime_mult,regime_state,vix_at_trade,entry_price,exit_price,holding_days,net_pnl,sector
2015-01-15,2015-01-16,2015-01-26,MSFT,LONG,MEDIUM,60.07,0.62,15.0,1.0,unknown,22.4,38.6116,39.9003,5,49.68,XLK
2015-01-16,2015-01-20,2015-01-27,MSFT,LONG,MEDIUM,60.65,0.43,15.0,1.0,unknown,21.0,39.4552,36.2082,5,-124.17,XLK
2015-01-27,2015-01-28,2015-02-04,MSFT,LONG,MEDIUM,61.71,0.42,15.0,1.0,unknown,17.2,36.4215,35.5122,5,-37.58,XLK
2015-01-28,2015-01-29,2015-02-05,MSFT,LONG,MEDIUM,61.71,0.52,15.0,1.0,unknown,20.4,34.8791,36.03,5,48.42,XLK
2015-01-29,2015-01-30,2015-02-06,MSFT,LONG,MEDIUM,64.41,0.59,15.0,1.0,unknown,18.8,35.4074,35.996,5,24.35,XLK
2015-01-30,2015-02-02,2015-02-09,MSFT,LONG,MEDIUM,63.13,0.97,15.0,1.0,unknown,21.0,34.5894,35.9536,5,57.4,XLK
2015-02-02,2015-02-03,2015-02-10,MSFT,LONG,MEDIUM,62.28,0.83,15.0,1.0,unknown,19.4,35.4756,36.1573,5,28.09,XLK
2015-02-03,2015-02-04,2015-02-11,MSFT,LONG,MEDIUM,60.52,0.69,15.0,1.0,unknown,17.3,35.7398,35.9706,5,9.2,XLK
2015-02-05,2015-02-06,2015-02-13,MSFT,LONG,MEDIUM,62.89,0.68,15.0,1.0,unknown,16.9,36.3704,37.2352,5,35.5,XLK
2015-02-06,2015-02-09,2015-02-17,MSFT,LONG,MEDIUM,61.97,0.95,15.0,1.0,unknown,17.3,35.9954,37.2523,5,52.21,XLK
2015-02-09,2015-02-10,2015-02-18,MSFT,LONG,HIGH,61.97,1.06,18.75,1.0,unknown,18.5,36.4215,37.2096,5,40.21,XLK
2015-02-10,2015-02-11,2015-02-19,MSFT,LONG,HIGH,60.12,1.01,18.75,1.0,unknown,17.2,36.3448,37.1839,5,43.03,XLK
2015-02-11,2015-02-12,2015-02-20,MSFT,LONG,MEDIUM,60.12,0.98,15.0,1.0,unknown,17.0,36.3533,37.4917,5,46.59,XLK
2015-02-12,2015-02-13,2015-02-23,MSFT,LONG,MEDIUM,61.53,0.62,15.0,1.0,unknown,15.3,36.9669,37.7396,5,31.36,XLK
2015-02-17,2015-02-18,2015-02-25,MSFT,LONG,MEDIUM,60.69,0.77,15.0,1.0,unknown,15.8,37.4445,37.6028,5,6.11,XLK
2015-02-18,2015-02-19,2015-02-26,MSFT,LONG,MEDIUM,63.22,0.79,15.0,1.0,unknown,15.4,37.0583,37.6626,5,24.72,XLK
2015-03-26,2015-03-27,2015-04-06,MSFT,LONG,MEDIUM,60.25,0.49,15.0,1.0,neutral,15.8,35.2904,35.5171,5,9.52,XLK
2015-03-27,2015-03-30,2015-04-07,MSFT,LONG,MEDIUM,60.31,0.56,15.0,1.0,neutral,15.1,35.2732,35.5,5,9.52,XLK
