date,entry_date,exit_date,ticker,signal,signal_quality,confidence,expected_return,position_pct,regime_mult,regime_state,vix_at_trade,entry_price,exit_price,holding_days,net_pnl,sector
2015-01-02,2015-01-05,2015-01-12,MU,LONG,MEDIUM,74.28,0.05,15.0,1.0,unknown,17.8,33.9199,30.8158,5,-137.71,XLK
2015-01-05,2015-01-06,2015-01-13,MU,LONG,MEDIUM,77.3,0.03,15.0,1.0,unknown,19.9,33.3238,30.0177,5,-148.62,XLK
2015-01-06,2015-01-07,2015-01-14,MU,LONG,MEDIUM,77.3,0.05,15.0,1.0,unknown,21.1,30.8123,29.2488,5,-75.53,XLK
2015-01-07,2015-01-08,2015-01-15,MU,LONG,MEDIUM,76.18,0.05,15.0,1.0,unknown,19.3,31.8189,28.5188,5,-153.19,XLK
2015-01-08,2015-01-09,2015-01-16,MU,LONG,MEDIUM,78.22,0.06,15.0,1.0,unknown,17.0,32.9915,28.217,5,-219.14,XLK
2015-01-09,2015-01-12,2015-01-20,MU,LONG,MEDIUM,76.01,0.04,15.0,1.0,unknown,17.5,31.6527,28.8789,5,-132.39,XLK
2015-01-12,2015-01-13,2015-01-21,MU,LONG,MEDIUM,74.03,0.04,15.0,1.0,unknown,19.6,31.1934,29.677,5,-70.3,XLK
2015-01-13,2015-01-14,2015-01-22,MU,LONG,MEDIUM,66.05,0.14,15.0,1.0,unknown,20.6,29.581,30.0664,5,22.51,XLK
2015-01-15,2015-01-16,2015-01-26,MSFT,LONG,MEDIUM,60.07,0.62,15.0,1.0,unknown,22.4,38.6116,39.9003,5,44.55,XLK
2015-01-16,2015-01-20,2015-01-27,MSFT,LONG,MEDIUM,60.65,0.43,15.0,1.0,unknown,21.0,39.4552,36.2082,5,-110.61,XLK
2015-01-20,2015-01-21,2015-01-28,MU,LONG,MEDIUM,61.48,0.16,15.0,1.0,unknown,19.9,28.8285,28.3241,5,-24.16,XLK
2015-01-21,2015-01-22,2015-01-29,MU,LONG,MEDIUM,70.85,0.16,15.0,1.0,unknown,18.9,29.7569,28.9178,5,-39.01,XLK
2015-01-22,2015-01-23,2015-01-30,MU,LONG,MEDIUM,68.04,0.16,15.0,1.0,unknown,16.4,30.1869,28.4896,5,-78.35,XLK
2015-01-23,2015-01-26,2015-02-02,MU,LONG,MEDIUM,70.88,0.19,15.0,1.0,unknown,16.7,29.8448,27.6817,5,-100.96,XLK
2015-01-26,2015-01-27,2015-02-03,MU,LONG,MEDIUM,71.84,0.15,15.0,1.0,unknown,15.5,29.7373,28.1781,5,-73.29,XLK
2015-01-27,2015-01-28,2015-02-04,MU,LONG,MEDIUM,66.76,0.25,15.0,1.0,unknown,17.2,29.3171,28.256,5,-48.47,XLK
2015-01-27,2015-01-28,2015-02-04,MSFT,LONG,MEDIUM,61.71,0.42,15.0,1.0,unknown,17.2,36.4215,35.5122,5,-33.49,XLK
2015-01-28,2015-01-29,2015-02-05,MU,LONG,MEDIUM,70.94,0.17,15.0,1.0,unknown,20.4,28.6233,28.7037,5,3.18,XLK
2015-01-28,2015-01-29,2015-02-05,MSFT,LONG,MEDIUM,61.71,0.52,15.0,1.0,unknown,20.4,34.8791,36.03,5,42.31,XLK
2015-01-29,2015-01-30,2015-02-06,MU,LONG,MEDIUM,69.37,0.16,15.0,1.0,unknown,18.8,28.7308,28.1392,5,-27.74,XLK
2015-01-29,2015-01-30,2015-02-06,MSFT,LONG,MEDIUM,64.41,0.59,15.0,1.0,unknown,18.8,35.4074,35.996,5,21.64,XLK
2015-01-30,2015-02-02,2015-02-09,MU,LONG,MEDIUM,66.39,0.21,15.0,1.0,unknown,21.0,28.5842,27.5941,5,-45.03,XLK
2015-01-30,2015-02-02,2015-02-09,MSFT,LONG,MEDIUM,63.13,0.97,15.0,1.0,unknown,21.0,34.5894,35.9536,5,50.39,XLK
2015-02-04,2015-02-05,2015-02-12,MU,LONG,MEDIUM,64.32,0.23,15.0,1.0,unknown,18.3,28.6331,31.0884,5,110.74,XLK
2015-02-05,2015-02-06,2015-02-13,MSFT,LONG,MEDIUM,62.89,0.68,15.0,1.0,unknown,16.9,36.3704,37.2352,5,30.9,XLK
2015-02-06,2015-02-09,2015-02-17,MU,LONG,MEDIUM,64.84,0.22,15.0,1.0,unknown,17.3,28.1151,31.468,5,154.58,XLK
2015-02-06,2015-02-09,2015-02-17,MSFT,LONG,MEDIUM,61.97,0.95,15.0,1.0,unknown,17.3,35.9954,37.2523,5,45.04,XLK
2015-02-09,2015-02-10,2015-02-18,MU,LONG,MEDIUM,65.09,0.11,15.0,1.0,unknown,18.5,28.4376,31.3122,5,129.77,XLK
