date,entry_date,exit_date,ticker,signal,signal_quality,confidence,expected_return,position_pct,regime_mult,vix_at_trade,entry_price,exit_price,holding_days,net_pnl,sector
2015-01-02,2015-01-05,2015-01-12,MU,LONG,MEDIUM,74.28,0.05,15.0,1.0,17.8,33.9199,30.8158,5,-137.71,XLK
2015-01-05,2015-01-06,2015-01-13,MU,LONG,MEDIUM,77.3,0.03,15.0,1.0,19.9,33.3238,30.0177,5,-148.62,XLK
2015-01-05,2015-01-06,2015-01-13,MSFT,LONG,MEDIUM,59.31,0.47,15.0,1.0,19.9,39.5234,39.3486,5,-6.98,XLK
2015-01-06,2015-01-07,2015-01-14,MU,LONG,MEDIUM,77.3,0.05,15.0,1.0,21.1,30.8123,29.2488,5,-75.33,XLK
2015-01-06,2015-01-07,2015-01-14,MSFT,LONG,MEDIUM,59.31,0.5,15.0,1.0,21.1,39.1825,39.0091,5,-6.9,XLK
2015-01-07,2015-01-08,2015-01-15,MU,LONG,MEDIUM,76.18,0.05,15.0,1.0,19.3,31.8189,28.5188,5,-153.14,XLK
2015-01-08,2015-01-09,2015-01-16,MU,LONG,MEDIUM,78.22,0.06,15.0,1.0,17.0,32.9915,28.217,5,-220.96,XLK
2015-01-09,2015-01-12,2015-01-20,MU,LONG,MEDIUM,76.01,0.04,15.0,1.0,17.5,31.6527,28.8789,5,-133.16,XLK
2015-01-12,2015-01-13,2015-01-21,MU,LONG,MEDIUM,74.03,0.04,15.0,1.0,19.6,31.1934,29.677,5,-70.44,XLK
2015-01-12,2015-01-13,2015-01-21,AMZN,LONG,MEDIUM,58.92,0.68,15.0,1.0,19.6,14.9037,14.8328,5,-7.82,XLY
2015-01-13,2015-01-14,2015-01-22,MU,LONG,MEDIUM,66.05,0.14,15.0,1.0,20.6,29.581,30.0664,5,22.47,XLK
2015-01-13,2015-01-14,2015-01-22,AMZN,LONG,MEDIUM,58.92,0.65,15.0,1.0,20.6,14.6257,15.485,5,81.19,XLY
2015-01-14,2015-01-15,2015-01-23,AMZN,LONG,MEDIUM,58.92,0.69,15.0,1.0,21.5,14.7294,15.5883,5,78.7,XLY
2015-01-15,2015-01-16,2015-01-26,MSFT,LONG,MEDIUM,62.22,0.51,15.0,1.0,22.4,38.6116,39.9003,5,43.88,XLK
2015-01-15,2015-01-16,2015-01-26,AMZN,LONG,MEDIUM,58.92,0.74,15.0,1.0,22.4,14.3426,15.452,5,101.57,XLY
2015-01-16,2015-01-20,2015-01-27,MSFT,LONG,MEDIUM,62.38,0.54,15.0,1.0,21.0,39.4552,36.2082,5,-109.83,XLK
2015-01-16,2015-01-20,2015-01-27,GOOGL,LONG,MEDIUM,59.34,1.35,15.0,1.0,21.0,25.4792,25.7942,5,15.93,XLK
2015-01-16,2015-01-20,2015-01-27,AMZN,LONG,MEDIUM,58.92,0.74,15.0,1.0,21.0,14.6588,15.3068,5,57.91,XLY
2015-01-20,2015-01-21,2015-01-28,MU,LONG,MEDIUM,61.48,0.16,15.0,1.0,19.9,28.8285,28.3241,5,-23.86,XLK
2015-01-20,2015-01-21,2015-01-28,GOOGL,LONG,MEDIUM,59.34,0.78,15.0,1.0,19.9,25.3833,25.3607,5,-1.72,XLK
2015-01-20,2015-01-21,2015-01-28,AMZN,LONG,MEDIUM,58.92,0.64,15.0,1.0,19.9,14.511,15.1651,5,59.35,XLY
2015-01-20,2015-01-21,2015-01-28,TSLA,LONG,MEDIUM,57.93,0.83,15.0,1.0,19.9,12.6619,13.2648,5,62.59,XLY
2015-01-21,2015-01-22,2015-01-29,MU,LONG,MEDIUM,70.85,0.16,15.0,1.0,18.9,29.7569,28.9178,5,-39.83,XLK
2015-01-21,2015-01-22,2015-01-29,MSFT,LONG,MEDIUM,59.58,0.16,15.0,1.0,18.9,39.5234,35.6565,5,-136.92,XLK
2015-01-21,2015-01-22,2015-01-29,AMZN,LONG,MEDIUM,58.92,0.65,15.0,1.0,18.9,15.03,15.5578,5,48.09,XLY
2015-01-21,2015-01-22,2015-01-29,TSLA,LONG,MEDIUM,57.93,0.59,15.0,1.0,18.9,13.1596,13.6526,5,51.24,XLY
2015-01-22,2015-01-23,2015-01-30,MU,LONG,MEDIUM,68.04,0.16,15.0,1.0,16.4,30.1869,28.4896,5,-84.35,XLK
2015-01-22,2015-01-23,2015-01-30,AMZN,LONG,MEDIUM,58.92,0.64,15.0,1.0,16.4,15.4348,17.691,5,217.05,XLY
2015-01-22,2015-01-23,2015-01-30,TSLA,LONG,MEDIUM,57.93,0.59,15.0,1.0,16.4,13.3794,13.5462,5,17.48,XLY
2015-01-23,2015-01-26,2015-02-02,MU,LONG,MEDIUM,70.88,0.19,15.0,1.0,16.7,29.8448,27.6817,5,-109.63,XLK
