ticker,trades,win_rate,avg_pnl,median_pnl,total_pnl,long_trades,short_trades
BKNG,18,0.6667,12.5194,28.04,225.35,18,0
LYV,20,0.75,9.5405,17.02,190.81,20,0
SLB,8,0.875,21.5312,36.32,172.25,8,0
AMAT,29,0.5862,4.2283,13.79,122.62,29,0
UNH,30,0.5667,3.9697,17.49,119.09,30,0
EA,13,0.6923,8.9523,30.22,116.38,13,0
TMUS,33,0.6364,3.1018,10.53,102.36,33,0
SCHW,16,0.625,6.2544,13.2,100.07,16,0
CAT,3,1.0,32.8633,47.18,98.59,3,0
CCI,15,0.8,6.5033,11.84,97.55,15,0
TSLA,10,0.7,9.274,32.005,92.74,10,0
ETN,47,0.5957,1.886,14.34,88.64,47,0
FCX,4,0.75,20.9275,42.815,83.71,4,0
DD,7,0.7143,9.9643,11.01,69.75,7,0
PNC,6,0.8333,11.36,15.855,68.16,6,0
CVX,4,0.75,16.57,14.655,66.28,4,0
MAR,16,0.5625,4.1369,14.495,66.19,16,0
FDX,5,0.8,11.62,12.71,58.1,5,0
LMT,3,1.0,19.3233,19.83,57.97,3,0
C,2,1.0,28.885,28.885,57.77,2,0
PH,5,0.6,10.514,22.43,52.57,5,0
DOW,5,0.8,9.58,21.1,47.9,5,0
MO,7,0.7143,6.0329,17.35,42.23,7,0
AIG,6,0.5,7.0,10.905,42.0,6,0
ABT,9,0.5556,4.5333,16.81,40.8,9,0
CSX,14,0.5714,2.655,7.215,37.17,14,0
HD,5,0.6,6.472,10.85,32.36,5,0
V,3,0.6667,9.63,13.75,28.89,3,0
SPGI,9,0.6667,3.1011,9.5,27.91,9,0
AXP,6,0.5,4.5467,1.07,27.28,6,0
CHTR,4,0.5,5.9275,19.425,23.71,4,0
META,15,0.5333,1.4713,1.38,22.07,15,0
AMT,3,0.6667,6.7967,8.45,20.39,3,0
LLY,3,0.6667,5.6467,18.28,16.94,3,0
KMB,4,0.5,4.1,1.99,16.4,4,0
SYK,14,0.5,1.1014,0.64,15.42,14,0
NFLX,3,0.3333,5.0,-2.25,15.0,3,0
PSA,2,0.5,7.075,7.075,14.15,2,0
CL,35,0.5714,0.3897,8.13,13.64,35,0
KO,19,0.6842,0.7126,6.82,13.54,19,0
SHW,3,0.6667,1.95,17.0,5.85,3,0
ORCL,4,0.75,0.3525,13.12,1.41,4,0
JNJ,5,0.4,0.034,-5.18,0.17,5,0
NEM,4,0.5,-0.3675,16.215,-1.47,4,0
GE,5,0.6,-0.32,2.35,-1.6,5,0
TRV,22,0.5455,-0.1468,0.46,-3.23,22,0
OMC,9,0.5556,-0.7489,12.9,-6.74,9,0
DHR,1,0.0,-7.43,-7.43,-7.43,1,0
SPG,2,0.5,-3.94,-3.94,-7.88,2,0
PEG,9,0.4444,-1.0644,-11.3,-9.58,9,0
BA,3,0.3333,-3.62,-16.64,-10.86,3,0
EMR,4,0.5,-2.8975,4.9,-11.59,4,0
EBAY,4,0.5,-3.0575,-1.125,-12.23,4,0
PM,6,0.5,-2.105,-2.03,-12.63,6,0
AAPL,3,0.3333,-4.8267,-23.76,-14.48,3,0
TMO,5,0.4,-3.106,-0.33,-15.53,5,0
MPC,5,0.6,-3.318,16.4,-16.59,5,0
IFF,8,0.5,-2.4938,6.445,-19.95,8,0
CMCSA,7,0.5714,-3.2029,3.72,-22.42,7,0
WFC,5,0.6,-4.658,4.25,-23.29,5,0
INTC,2,0.5,-11.675,-11.675,-23.35,2,0
SO,1,0.0,-25.18,-25.18,-25.18,1,0
CSCO,4,0.25,-6.3325,-3.19,-25.33,4,0
IBM,5,0.4,-5.102,-5.81,-25.51,5,0
CVS,2,0.5,-13.16,-13.16,-26.32,2,0
GILD,6,0.5,-4.4167,-1.81,-26.5,6,0
BLK,4,0.5,-6.6475,-10.775,-26.59,4,0
T,4,0.5,-6.8775,-8.12,-27.51,4,0
DE,7,0.4286,-3.9586,-5.81,-27.71,7,0
COF,2,0.5,-13.895,-13.895,-27.79,2,0
AMZN,4,0.5,-7.5325,0.745,-30.13,4,0
COST,6,0.6667,-5.1067,9.96,-30.64,6,0
QCOM,12,0.5833,-2.7325,7.61,-32.79,12,0
PEP,6,0.5,-5.4917,4.255,-32.95,6,0
LIN,7,0.4286,-4.7557,-7.82,-33.29,7,0
DUK,3,0.3333,-11.1367,-8.62,-33.41,3,0
LOW,2,0.0,-17.1,-17.1,-34.2,2,0
HSY,13,0.3846,-2.6769,-4.17,-34.8,13,0
XEL,30,0.5333,-1.2013,1.205,-36.04,30,0
WELL,2,0.5,-18.615,-18.615,-37.23,2,0
DIS,6,0.3333,-6.415,-15.035,-38.49,6,0
ABBV,6,0.3333,-6.68,-19.11,-40.08,6,0
WMB,36,0.5556,-1.1225,9.005,-40.41,36,0
AVB,4,0.25,-10.145,-6.06,-40.58,4,0
ISRG,8,0.5,-5.115,-2.09,-40.92,8,0
SRE,3,0.3333,-14.66,-22.04,-43.98,3,0
PG,8,0.5,-5.5663,-2.085,-44.53,8,0
EOG,3,0.3333,-14.9633,-38.34,-44.89,3,0
AMGN,3,0.3333,-15.1367,-12.5,-45.41,3,0
EXC,3,0.3333,-17.1933,-31.06,-51.58,3,0
D,9,0.3333,-5.7478,-2.71,-51.73,9,0
WMT,12,0.5833,-4.315,5.41,-51.78,12,0
VZ,15,0.4667,-3.4687,-3.09,-52.03,15,0
GIS,2,0.0,-26.135,-26.135,-52.27,2,0
ECL,5,0.4,-10.476,-11.33,-52.38,5,0
XOM,6,0.5,-9.175,-6.945,-55.05,6,0
NOW,3,0.3333,-19.1533,-29.45,-57.46,3,0
SYY,7,0.4286,-8.2771,-8.45,-57.94,7,0
BMY,2,0.0,-29.895,-29.895,-59.79,2,0
PFE,2,0.0,-30.095,-30.095,-60.19,2,0
MU,3,0.3333,-20.08,-46.31,-60.24,3,0
AEP,9,0.4444,-6.9289,-8.13,-62.36,9,0
OXY,2,0.0,-31.25,-31.25,-62.5,2,0
PLD,4,0.25,-15.7675,-27.25,-63.07,4,0
MMM,8,0.375,-8.0887,-11.67,-64.71,8,0
