group_type,group,trades,win_rate,avg_pnl,median_pnl,total_pnl,profit_factor,raw_sharpe_proxy,avg_confidence,avg_expected_return,avg_rank_score,avg_holding_days
confidence_decile,C10,125,0.584,1.35,11.06,168.43,1.117,0.046,54.18,0.1631,-0.004,3.25
confidence_decile,C6,124,0.5403,-0.74,9.43,-91.49,0.943,-0.025,50.68,0.2785,-0.001,3.39
confidence_decile,C7,125,0.512,-1.6,2.35,-200.47,0.879,-0.057,51.02,0.1862,-0.0003,3.37
confidence_decile,C5,124,0.5081,-3.38,1.93,-419.24,0.777,-0.11,50.49,0.2849,-0.0019,3.03
confidence_decile,C2,124,0.4677,-3.58,-3.93,-443.75,0.717,-0.142,50.14,0.231,0.0024,3.27
confidence_decile,C8,124,0.5,-4.08,-1.89,-506.21,0.736,-0.132,51.57,0.2552,0.0026,3.2
confidence_decile,C9,124,0.4839,-4.15,-2.4,-515.03,0.714,-0.143,52.39,0.1945,-0.0019,3.07
confidence_decile,C4,125,0.488,-4.28,-3.25,-534.99,0.711,-0.15,50.35,0.2173,0.0012,3.35
confidence_decile,C1,125,0.472,-5.23,-3.57,-654.21,0.681,-0.162,50.06,0.251,0.0028,3.32
confidence_decile,C3,124,0.4274,-7.08,-11.81,-878.04,0.58,-0.239,50.23,0.2107,-0.0021,3.35
entry_year,2019,133,0.594,4.09,11.42,543.71,1.38,0.139,50.4,0.2535,-0.001,3.28
entry_year,2024,21,0.619,2.75,12.38,57.72,1.359,0.144,51.89,0.3162,-0.0143,2.52
entry_year,2026,1,1.0,23.5,23.5,23.5,,23500000000.0,50.18,0.13,-0.0278,4.0
entry_year,2023,63,0.5238,-0.49,9.85,-30.56,0.949,-0.024,51.34,0.2862,-0.0067,3.02
entry_year,2020,50,0.52,-1.58,2.87,-78.96,0.879,-0.053,51.76,-0.0858,-0.0036,3.2
entry_year,2025,7,0.2857,-16.07,-28.72,-112.51,0.326,-0.567,50.25,0.3843,-0.0216,3.43
entry_year,2017,211,0.5403,-0.64,4.44,-135.35,0.935,-0.028,52.23,0.0884,-0.0023,3.36
entry_year,2016,209,0.488,-2.49,-1.78,-520.32,0.816,-0.088,50.67,0.2701,0.0091,3.12
entry_year,2022,40,0.275,-17.52,-31.16,-700.69,0.286,-0.597,51.29,0.3375,-0.0021,3.58
entry_year,2018,169,0.497,-4.9,-0.33,-828.74,0.713,-0.145,50.88,0.3021,0.0004,3.12
entry_year,2015,165,0.4485,-5.64,-11.0,-930.5,0.703,-0.157,51.07,0.303,0.003,3.45
entry_year,2021,175,0.4629,-7.78,-9.43,-1362.3,0.538,-0.274,50.73,0.2058,-0.0054,3.35
exit_reason,take_profit,459,1.0,24.76,22.05,11364.43,,1.9,51.19,0.2572,-0.0004,2.51
exit_reason,time_exit,390,0.4128,-3.78,-4.26,-1472.35,0.623,-0.187,51.14,0.2181,0.0,5.0
exit_reason,stop_loss,395,0.0,-35.36,-32.04,-13967.08,0.0,-2.534,50.99,0.2013,-0.0003,2.42
expected_return_decile,E9,124,0.5968,2.27,8.82,281.57,1.208,0.083,50.97,0.4522,-0.0001,3.29
