group_type,group,trades,win_rate,avg_pnl,median_pnl,total_pnl,avg_holding_days,avg_position_pct,profit_factor
entry_year,2019,133,0.594,4.09,11.42,543.71,3.28,19.92,1.38
entry_year,2024,21,0.619,2.75,12.38,57.72,2.52,20.0,1.359
entry_year,2026,1,1.0,23.5,23.5,23.5,4.0,20.0,
entry_year,2023,63,0.5238,-0.49,9.85,-30.56,3.02,20.0,0.949
entry_year,2020,50,0.52,-1.58,2.87,-78.96,3.2,19.32,0.879
entry_year,2025,7,0.2857,-16.07,-28.72,-112.51,3.43,19.91,0.326
entry_year,2017,211,0.5403,-0.64,4.44,-135.35,3.36,19.89,0.935
entry_year,2016,209,0.488,-2.49,-1.78,-520.32,3.12,19.38,0.816
entry_year,2022,40,0.275,-17.52,-31.16,-700.69,3.58,19.81,0.286
entry_year,2018,169,0.497,-4.9,-0.33,-828.74,3.12,19.88,0.713
entry_year,2015,165,0.4485,-5.64,-11.0,-930.5,3.45,19.93,0.703
entry_year,2021,175,0.4629,-7.78,-9.43,-1362.3,3.35,19.97,0.538
exit_reason,take_profit,459,1.0,24.76,22.05,11364.43,2.51,19.8,
exit_reason,time_exit,390,0.4128,-3.78,-4.26,-1472.35,5.0,19.76,0.623
exit_reason,stop_loss,395,0.0,-35.36,-32.04,-13967.08,2.42,19.86,0.0
sector,XLC,114,0.5965,2.64,10.35,301.07,3.21,19.92,1.275
sector,XLB,55,0.5091,-1.34,0.57,-73.61,3.38,18.78,0.907
sector,XLP,125,0.552,-1.85,5.08,-231.73,3.26,20.0,0.806
sector,XLRE,98,0.5306,-3.14,7.99,-307.32,3.07,20.0,0.768
sector,XLI,165,0.503,-1.97,0.18,-325.0,3.3,20.0,0.84
sector,XLV,110,0.4545,-4.03,-9.25,-443.43,3.24,19.82,0.727
sector,XLE,97,0.5155,-4.57,2.36,-443.5,3.08,19.64,0.732
sector,XLU,73,0.411,-6.5,-7.95,-474.43,3.05,20.0,0.508
sector,XLF,132,0.4924,-4.03,-0.89,-532.23,3.33,19.95,0.753
sector,XLY,125,0.456,-4.34,-11.86,-542.43,3.42,19.78,0.741
sector,XLK,150,0.4533,-6.68,-4.99,-1002.39,3.37,19.49,0.66
signal,LONG,1244,0.4984,-3.28,-0.34,-4075.0,3.26,19.81,0.772
signal_quality,MEDIUM,271,0.5203,-1.87,4.06,-505.88,3.27,19.74,0.86
signal_quality,HIGH,421,0.5131,-2.77,2.29,-1168.08,3.35,19.74,0.807
signal_quality,LOW,552,0.4764,-4.35,-4.08,-2401.04,3.18,19.89,0.707
ticker,BKNG,18,0.6667,12.52,28.04,225.35,3.56,19.16,1.971
ticker,LYV,20,0.75,9.54,17.02,190.81,3.85,19.84,2.173
ticker,SLB,8,0.875,21.53,36.32,172.25,2.5,20.0,3.593
ticker,AMAT,29,0.5862,4.23,13.79,122.62,3.28,19.39,1.232
ticker,UNH,30,0.5667,3.97,17.49,119.09,3.13,20.0,1.427
ticker,EA,13,0.6923,8.95,30.22,116.38,2.62,20.0,1.846
ticker,TMUS,33,0.6364,3.1,10.53,102.36,3.06,20.0,1.412
ticker,SCHW,16,0.625,6.25,13.2,100.07,3.94,19.92,1.456
ticker,CAT,3,1.0,32.86,47.18,98.59,5.0,20.0,
ticker,CCI,15,0.8,6.5,11.84,97.55,2.2,20.0,2.057
ticker,TSLA,10,0.7,9.27,32.01,92.74,3.7,18.92,1.618
ticker,ETN,47,0.5957,1.89,14.34,88.64,3.13,19.99,1.179
ticker,FCX,4,0.75,20.93,42.81,83.71,2.75,8.0,2.682
ticker,DD,7,0.7143,9.96,11.01,69.75,3.0,19.59,2.446
ticker,PNC,6,0.8333,11.36,15.86,68.16,4.33,20.0,2.946
ticker,CVX,4,0.75,16.57,14.66,66.28,2.75,20.0,3.417
ticker,MAR,16,0.5625,4.14,14.49,66.19,3.31,20.0,1.441
ticker,FDX,5,0.8,11.62,12.71,58.1,4.2,20.0,2.545
ticker,LMT,3,1.0,19.32,19.83,57.97,3.0,20.0,
ticker,C,2,1.0,28.88,28.88,57.77,4.5,20.0,
ticker,PH,5,0.6,10.51,22.43,52.57,3.4,20.0,1.91
ticker,DOW,5,0.8,9.58,21.1,47.9,4.0,20.0,1.615
ticker,MO,7,0.7143,6.03,17.35,42.23,3.43,20.0,1.755
ticker,AIG,6,0.5,7.0,10.9,42.0,3.33,20.0,1.881
ticker,ABT,9,0.5556,4.53,16.81,40.8,3.33,19.19,1.474
ticker,CSX,14,0.5714,2.65,7.21,37.17,3.64,20.0,1.293
ticker,HD,5,0.6,6.47,10.85,32.36,4.0,20.0,1.95
ticker,V,3,0.6667,9.63,13.75,28.89,3.0,20.0,2.179
ticker,SPGI,9,0.6667,3.1,9.5,27.91,2.56,20.0,1.437
ticker,AXP,6,0.5,4.55,1.07,27.28,2.83,20.0,1.353
ticker,CHTR,4,0.5,5.93,19.43,23.71,3.25,20.0,1.396
ticker,META,15,0.5333,1.47,1.38,22.07,3.73,20.0,1.166
ticker,AMT,3,0.6667,6.8,8.45,20.39,4.0,20.0,1.788
