,equity,benchmark_spy_norm,benchmark_qqq_norm,benchmark_iwm_norm
2024-01-02,10000.0,1.0,1.0,1.0
2024-01-03,10041.65608410586,1.0,1.0,1.0
2024-01-04,9980.78146117372,1.0,1.0,1.0
2024-01-05,9964.734702326816,1.0,1.0,1.0
2024-01-08,10084.710890981867,1.0,1.0,1.0
2024-01-09,10155.26648349106,1.0,1.0,1.0
2024-01-10,10228.619808279209,1.0,1.0,1.0
2024-01-11,10273.68848182942,1.0,1.0,1.0
2024-01-12,10256.282688536012,1.0,1.0,1.0
2024-01-16,10210.90336663138,1.0,1.0,1.0
2024-01-17,10165.834693081168,1.0,1.0,1.0
2024-01-18,10221.471101949195,1.0,1.0,1.0
2024-01-19,10248.700958070018,1.0,1.0,1.0
2024-01-22,10227.310069685314,1.0,1.0,1.0
2024-01-23,10280.064103802075,1.0,1.0,1.0
2024-01-24,10305.477749046755,1.0,1.0,1.0
2024-01-25,10331.788775858553,1.0,1.0,1.0
2024-01-26,10372.749887511878,1.0,1.0,1.0
2024-01-29,10436.733147625524,1.0,1.0,1.0
2024-01-30,10369.162186116955,1.0,1.0,1.0
2024-01-31,10255.546927687737,1.0,1.0,1.0
2024-02-01,10377.533793517365,1.0,1.0,1.0
2024-02-02,10752.16482145011,1.0,1.0,1.0
2024-02-05,10703.680726827435,1.0,1.0,1.0
2024-02-06,10682.636971236818,1.0,1.0,1.0
2024-02-07,10682.636971236818,1.0,1.0,1.0
2024-02-08,10682.636971236818,1.0,1.0,1.0
2024-02-09,10682.636971236818,1.0,1.0,1.0
2024-02-12,10682.636971236818,1.0,1.0,1.0
2024-02-13,10682.636971236818,1.0,1.0,1.0
2024-02-14,10682.636971236818,1.0,1.0,1.0
2024-02-15,10682.636971236818,1.0,1.0,1.0
2024-02-16,10682.636971236818,1.0,1.0,1.0
2024-02-20,10682.636971236818,1.0,1.0,1.0
2024-02-21,10682.636971236818,1.0,1.0,1.0
2024-02-22,10682.636971236818,1.0,1.0,1.0
2024-02-23,10669.420200507036,1.0,1.0,1.0
2024-02-26,10671.472896752788,1.0,1.0,1.0
2024-02-27,10638.461709296967,1.0,1.0,1.0
2024-02-28,10627.92063116684,1.0,1.0,1.0
2024-02-29,10724.490893423754,1.0,1.0,1.0
2024-03-01,10785.129796692994,1.0,1.0,1.0
2024-03-04,10764.068861123751,1.0,1.0,1.0
2024-03-05,10549.719469892389,1.0,1.0,1.0
2024-03-06,10486.196675557916,1.0,1.0,1.0
2024-03-07,10761.734808855057,1.0,1.0,1.0
2024-03-08,10619.798442900565,1.0,1.0,1.0
2024-03-11,10289.126721819717,1.0,1.0,1.0
2024-03-12,10559.09983481018,1.0,1.0,1.0
2024-03-13,10655.589380426769,1.0,1.0,1.0
2024-03-14,10836.198501089748,1.0,1.0,1.0
2024-03-15,10475.704673454888,1.0,1.0,1.0
2024-03-18,10479.825123298,1.0,1.0,1.0
2024-03-19,10573.897430560995,1.0,1.0,1.0
2024-03-20,10665.581968328894,1.0,1.0,1.0
2024-03-21,10664.142877415494,1.0,1.0,1.0
2024-03-22,10699.974683692544,1.0,1.0,1.0
2024-03-25,10734.23715300857,1.0,1.0,1.0
2024-03-26,10676.725795547007,1.0,1.0,1.0
2024-03-27,10727.569669478287,1.0,1.0,1.0
2024-03-28,10749.940523955065,1.0,1.0,1.0
2024-04-01,10796.439665805721,1.0,1.0,1.0
2024-04-02,10781.222629849935,1.0,1.0,1.0
2024-04-03,10849.845476539103,1.0,1.0,1.0
2024-04-04,10651.378970498341,1.0,1.0,1.0
2024-04-05,11030.817045704847,1.0,1.0,1.0
2024-04-08,11005.971103086124,1.0,1.0,1.0
2024-04-09,11044.755746137602,1.0,1.0,1.0
2024-04-10,11067.380223996095,1.0,1.0,1.0
2024-04-11,11317.867099782865,1.0,1.0,1.0
2024-04-12,11078.350453075,1.0,1.0,1.0
2024-04-15,10909.524429059617,1.0,1.0,1.0
2024-04-16,10885.79152161051,1.0,1.0,1.0
2024-04-17,10776.470801712885,1.0,1.0,1.0
2024-04-18,10662.671480587307,1.0,1.0,1.0
2024-04-19,10475.064252215143,1.0,1.0,1.0
2024-04-22,10541.48849517024,1.0,1.0,1.0
2024-04-23,10569.050335847636,1.0,1.0,1.0
2024-04-24,10569.050335847636,1.0,1.0,1.0
2024-04-25,10569.050335847636,1.0,1.0,1.0
2024-04-26,10569.050335847636,1.0,1.0,1.0
2024-04-29,10569.050335847636,1.0,1.0,1.0
2024-04-30,10569.050335847636,1.0,1.0,1.0
2024-05-01,10569.050335847636,1.0,1.0,1.0
2024-05-02,10569.050335847636,1.0,1.0,1.0
2024-05-03,10569.050335847636,1.0,1.0,1.0
2024-05-06,10569.050335847636,1.0,1.0,1.0
2024-05-07,10569.050335847636,1.0,1.0,1.0
2024-05-08,10569.050335847636,1.0,1.0,1.0
2024-05-09,10569.050335847636,1.0,1.0,1.0
2024-05-10,10569.050335847636,1.0,1.0,1.0
2024-05-13,10569.050335847636,1.0,1.0,1.0
2024-05-14,10569.050335847636,1.0,1.0,1.0
2024-05-15,10569.050335847636,1.0,1.0,1.0
2024-05-16,10569.050335847636,1.0,1.0,1.0
2024-05-17,10569.050335847636,1.0,1.0,1.0
2024-05-20,10569.050335847636,1.0,1.0,1.0
2024-05-21,10569.050335847636,1.0,1.0,1.0
2024-05-22,10569.050335847636,1.0,1.0,1.0
2024-05-23,10569.050335847636,1.0,1.0,1.0
2024-05-24,10569.050335847636,1.0,1.0,1.0
2024-05-28,10569.050335847636,1.0,1.0,1.0
2024-05-29,10569.050335847636,1.0,1.0,1.0
2024-05-30,10569.050335847636,1.0,1.0,1.0
2024-05-31,10569.050335847636,1.0,1.0,1.0
2024-06-03,10569.050335847636,1.0,1.0,1.0
2024-06-04,10569.050335847636,1.0,1.0,1.0
2024-06-05,10569.050335847636,1.0,1.0,1.0
2024-06-06,10569.050335847636,1.0,1.0,1.0
2024-06-07,10569.050335847636,1.0,1.0,1.0
2024-06-10,10569.050335847636,1.0,1.0,1.0
2024-06-11,10569.050335847636,1.0,1.0,1.0
2024-06-12,10569.050335847636,1.0,1.0,1.0
2024-06-13,10569.050335847636,1.0,1.0,1.0
2024-06-14,10569.050335847636,1.0,1.0,1.0
2024-06-17,10569.050335847636,1.0,1.0,1.0
2024-06-18,10569.050335847636,1.0,1.0,1.0
