date,entry_date,exit_date,ticker,signal,signal_quality,confidence,expected_return,position_pct,regime_state,entry_price,exit_price,holding_days,net_pnl,exit_reason,sector,capacity_warning
2024-01-03,2024-01-04,2024-01-19,AMZN,LONG,HIGH,58.59,1.57,22.72,unknown,145.7961,155.1195,10,145.37,time_exit,XLY,False
2024-01-05,2024-01-08,2024-01-23,AMZN,LONG,HIGH,55.48,0.94,22.72,unknown,146.9481,155.7982,10,136.79,time_exit,XLY,False
2024-01-19,2024-01-22,2024-02-05,AMZN,LONG,HIGH,56.47,1.32,22.72,unknown,157.1114,170.0707,10,192.73,time_exit,XLY,False
2024-01-22,2024-01-23,2024-02-06,AMZN,LONG,HIGH,56.68,1.3,22.72,unknown,155.0675,168.9135,10,207.76,time_exit,XLY,False
2024-02-23,2024-02-26,2024-03-11,AMZN,LONG,HIGH,59.2,1.52,22.72,unknown,175.9415,171.7227,10,-58.43,time_exit,XLY,False
2024-02-26,2024-02-27,2024-03-12,AMZN,LONG,HIGH,58.21,1.34,22.72,unknown,174.3195,175.1476,10,11.39,time_exit,XLY,False
2024-02-29,2024-03-01,2024-03-15,AMZN,LONG,HIGH,57.17,1.32,22.72,unknown,176.9938,174.1786,10,-38.97,time_exit,XLY,False
2024-03-04,2024-03-05,2024-03-19,AMZN,LONG,HIGH,57.64,1.13,22.72,unknown,177.1754,175.6555,10,-21.14,time_exit,XLY,False
2024-03-05,2024-03-06,2024-03-20,AMZN,LONG,HIGH,56.42,1.28,22.72,unknown,175.7831,177.9028,10,28.87,time_exit,XLY,False
2024-03-06,2024-03-07,2024-03-21,AMZN,LONG,HIGH,58.31,1.25,22.72,unknown,175.0724,177.9024,10,38.51,time_exit,XLY,False
2024-03-07,2024-03-08,2024-03-22,AMZN,LONG,HIGH,57.02,1.12,22.72,unknown,176.6843,178.6215,10,26.71,time_exit,XLY,False
2024-03-12,2024-03-13,2024-03-27,AMZN,LONG,HIGH,55.01,0.59,22.72,unknown,176.1446,179.5794,10,46.76,time_exit,XLY,False
2024-03-20,2024-03-21,2024-04-05,AMZN,LONG,HIGH,57.69,0.26,22.72,neutral,180.2404,184.8123,10,61.59,time_exit,XLY,False
2024-03-21,2024-03-22,2024-04-08,AMZN,LONG,HIGH,58.44,0.41,22.72,neutral,177.9972,184.9324,10,94.4,time_exit,XLY,False
2024-03-27,2024-03-28,2024-04-12,AMZN,LONG,HIGH,57.98,0.82,22.72,neutral,180.4208,185.8712,10,73.66,time_exit,XLY,False
2024-04-01,2024-04-02,2024-04-16,AMZN,LONG,HIGH,55.67,0.97,22.72,neutral,179.3192,183.0651,10,51.08,time_exit,XLY,False
2024-04-03,2024-04-04,2024-04-18,AMZN,LONG,HIGH,58.84,0.97,22.72,neutral,184.2557,178.9711,10,-71.11,time_exit,XLY,False
2024-04-04,2024-04-05,2024-04-19,AMZN,LONG,HIGH,56.91,0.89,22.72,neutral,182.6328,174.3882,10,-109.91,time_exit,XLY,False
2024-04-05,2024-04-08,2024-04-22,AMZN,LONG,HIGH,56.45,1.03,22.72,neutral,187.1591,176.9846,10,-136.94,time_exit,XLY,False
2024-04-08,2024-04-09,2024-04-23,AMZN,LONG,HIGH,57.1,0.92,22.72,neutral,187.4985,179.2924,10,-110.05,time_exit,XLY,False
2024-10-31,2024-11-01,2024-11-15,AMZN,LONG,HIGH,58.23,0.61,22.72,neutral,199.2795,202.3269,10,36.66,time_exit,XLY,False
2024-11-01,2024-11-04,2024-11-18,AMZN,LONG,HIGH,55.23,1.03,22.72,neutral,196.7264,201.4178,10,57.15,time_exit,XLY,False
2024-11-04,2024-11-05,2024-11-19,AMZN,LONG,HIGH,60.79,0.86,22.72,neutral,196.3162,204.3233,10,97.48,time_exit,XLY,False
2024-11-05,2024-11-06,2024-11-20,AMZN,LONG,HIGH,55.47,0.6,22.72,neutral,200.2931,202.594,10,27.71,time_exit,XLY,False
