date,timestamp,shadow_name,shadow_config_signature,equity,initial_equity,period_return_pct,total_return_pct,price_from_date,price_to_date,price_status,applied_weights_json,target_weights_json,target_cash_weight,gross_exposure,paper_ready,gates_all_pass,reason
2026-05-27,2026-05-27T17:02:08+00:00,riskoff_guard,"h=20,ov=0.5,ma=100,vol=percentile:0.3,score=regime_adaptive_riskoff_guard,shape=top3,weighting=sticky_score,tqqq=0.0,risk=off",100000.0,100000.0,0.0,0.0,,2026-05-26,initialized,{},"{""CAT"": 0.027953, ""INTC"": 0.172047, ""MU"": 0.2, ""QQQ"": 0.6}",0.0,1.0,True,True,nested walk-forward live gates pass
2026-05-28,2026-05-28T17:37:04+00:00,riskoff_guard,"h=20,ov=0.5,ma=100,vol=percentile:0.3,score=regime_adaptive_riskoff_guard,shape=top3,weighting=sticky_score,tqqq=0.0,risk=off",100418.51,100000.0,0.4185,0.4185,2026-05-26,2026-05-27,ok,"{""CAT"": 0.027953, ""INTC"": 0.172047, ""MU"": 0.2, ""QQQ"": 0.6}","{""CAT"": 0.02747, ""INTC"": 0.17253, ""MU"": 0.2, ""QQQ"": 0.6}",0.0,1.0,True,True,nested walk-forward live gates pass
2026-05-29,2026-05-29T17:32:08+00:00,riskoff_guard,"h=20,ov=0.5,ma=100,vol=percentile:0.3,score=regime_adaptive_riskoff_guard,shape=top3,weighting=sticky_score,tqqq=0.0,risk=off",100628.02,100000.0,0.2086,0.628,2026-05-27,2026-05-28,ok,"{""CAT"": 0.02747, ""INTC"": 0.17253, ""MU"": 0.2, ""QQQ"": 0.6}","{""CAT"": 0.026509, ""INTC"": 0.173491, ""MU"": 0.2, ""QQQ"": 0.6}",0.0,1.0,True,True,nested walk-forward live gates pass
2026-06-01,2026-06-01T19:20:07+00:00,riskoff_guard,"h=20,ov=0.5,ma=100,vol=percentile:0.3,score=regime_adaptive_riskoff_guard,shape=top3,weighting=sticky_score,tqqq=0.0,risk=off",100952.89,100000.0,0.3228,0.9529,2026-05-28,2026-05-29,ok,"{""CAT"": 0.026509, ""INTC"": 0.173491, ""MU"": 0.2, ""QQQ"": 0.6}","{""CAT"": 0.034717, ""INTC"": 0.165283, ""MU"": 0.2, ""QQQ"": 0.6}",0.0,1.0,True,True,nested walk-forward live gates pass
2026-06-02,2026-06-02T18:03:37+00:00,riskoff_guard,"h=20,ov=0.5,ma=100,vol=percentile:0.3,score=regime_adaptive_riskoff_guard,shape=top3,weighting=sticky_score,tqqq=0.0,risk=off",101837.04,100000.0,0.8758,1.837,2026-05-29,2026-06-01,ok,"{""CAT"": 0.034717, ""INTC"": 0.165283, ""MU"": 0.2, ""QQQ"": 0.6}","{""CAT"": 0.035235, ""INTC"": 0.164765, ""MU"": 0.2, ""QQQ"": 0.6}",0.0,1.0,True,True,nested walk-forward live gates pass
2026-06-03,2026-06-03T18:20:54+00:00,riskoff_guard,"h=20,ov=0.5,ma=100,vol=percentile:0.3,score=regime_adaptive_riskoff_guard,shape=top3,weighting=sticky_score,tqqq=0.0,risk=off",102650.38,100000.0,0.7987,2.6504,2026-06-01,2026-06-02,ok,"{""CAT"": 0.035235, ""INTC"": 0.164765, ""MU"": 0.2, ""QQQ"": 0.6}","{""CAT"": 0.027688, ""INTC"": 0.172312, ""MU"": 0.2, ""QQQ"": 0.6}",0.0,1.0,True,True,nested walk-forward live gates pass
2026-06-04,2026-06-04T17:25:41+00:00,riskoff_guard,"h=20,ov=0.5,ma=100,vol=percentile:0.3,score=regime_adaptive_riskoff_guard,shape=top3,weighting=sticky_score,tqqq=0.0,risk=off",103622.39,100000.0,0.9469,3.6224,2026-06-02,2026-06-03,ok,"{""CAT"": 0.027688, ""INTC"": 0.172312, ""MU"": 0.2, ""QQQ"": 0.6}","{""CAT"": 0.031277, ""INTC"": 0.168723, ""MU"": 0.2, ""QQQ"": 0.6}",0.0,1.0,True,True,nested walk-forward live gates pass
2026-06-05,2026-06-05T17:06:38+00:00,riskoff_guard,"h=20,ov=0.5,ma=100,vol=percentile:0.3,score=regime_adaptive_riskoff_guard,shape=top3,weighting=sticky_score,tqqq=0.0,risk=off",101623.12,100000.0,-1.9294,1.6231,2026-06-03,2026-06-04,ok,"{""CAT"": 0.031277, ""INTC"": 0.168723, ""MU"": 0.2, ""QQQ"": 0.6}","{""CAT"": 0.030096, ""INTC"": 0.169904, ""MU"": 0.2, ""QQQ"": 0.6}",-0.0,1.0,True,True,nested walk-forward live gates pass
2026-06-08,2026-06-08T17:21:31+00:00,riskoff_guard,"h=20,ov=0.5,ma=100,vol=percentile:0.3,score=regime_adaptive_riskoff_guard,shape=top3,weighting=sticky_score,tqqq=0.0,risk=off",93937.36,100000.0,-7.563,-6.0626,2026-06-04,2026-06-05,ok,"{""CAT"": 0.030096, ""INTC"": 0.169904, ""MU"": 0.2, ""QQQ"": 0.6}","{""CAT"": 0.027703, ""INTC"": 0.174467, ""MU"": 0.197831, ""QQQ"": 0.6}",-0.0,1.0,True,True,nested walk-forward live gates pass
2026-06-09,2026-06-09T16:29:55+00:00,riskoff_guard,"h=20,ov=0.5,ma=100,vol=percentile:0.3,score=regime_adaptive_riskoff_guard,shape=top3,weighting=sticky_score,tqqq=0.0,risk=off",98518.64,100000.0,4.8769,-1.4814,2026-06-05,2026-06-08,ok,"{""CAT"": 0.027703, ""INTC"": 0.174467, ""MU"": 0.197831, ""QQQ"": 0.6}","{""CAT"": 0.168636, ""INTC"": 0.106557, ""MU"": 0.124807, ""QQQ"": 0.6}",-0.0,1.0,True,True,nested walk-forward live gates pass
