date,bull_fraction_raw,bull_fraction_smoothed,signal,invest_pct,n_long,n_total,days_held
2015-02-06,0.123,0.123,STAY_CASH,0.0,18,146,0
2015-02-09,0.425,0.425,STAY_CASH,0.0,62,146,0
2015-02-10,0.959,0.959,BUY_SPY,0.95,140,146,0
2015-02-11,0.911,0.911,BUY_SPY,0.95,133,146,1
2015-02-12,0.521,0.521,BUY_SPY,0.95,76,146,2
2015-02-13,0.986,0.986,BUY_SPY,0.95,144,146,3
2015-02-17,0.336,0.336,BUY_SPY,0.95,49,146,4
2015-02-18,0.212,0.212,BUY_SPY,0.95,31,146,5
2015-02-19,0.904,0.904,BUY_SPY,0.95,132,146,6
2015-02-20,0.185,0.185,BUY_SPY,0.95,27,146,7
2015-02-23,0.247,0.247,BUY_SPY,0.95,36,146,8
2015-02-24,0.158,0.158,BUY_SPY,0.95,23,146,9
2015-02-25,0.185,0.185,STAY_CASH,0.0,27,146,0
2015-02-26,0.699,0.699,STAY_CASH,0.0,102,146,0
2015-02-27,1.0,1.0,STAY_CASH,0.0,146,146,0
2015-03-02,0.082,0.082,STAY_CASH,0.0,12,146,0
2015-03-03,0.027,0.027,STAY_CASH,0.0,4,146,0
2015-03-04,0.116,0.116,STAY_CASH,0.0,17,146,0
2015-03-05,0.753,0.753,STAY_CASH,0.0,110,146,0
2015-03-06,0.986,0.986,STAY_CASH,0.0,144,146,0
2015-03-09,0.973,0.973,STAY_CASH,0.0,142,146,0
2015-03-10,0.685,0.685,STAY_CASH,0.0,100,146,0
2015-03-11,0.986,0.986,BUY_SPY,0.95,144,146,0
2015-03-12,0.082,0.082,BUY_SPY,0.95,12,146,1
2015-03-13,0.575,0.575,BUY_SPY,0.95,84,146,2
2015-03-16,0.185,0.185,BUY_SPY,0.95,27,146,3
2015-03-17,0.24,0.24,BUY_SPY,0.95,35,146,4
2015-03-18,0.233,0.233,BUY_SPY,0.95,34,146,5
2015-03-19,0.219,0.219,BUY_SPY,0.95,32,146,6
2015-03-20,0.082,0.082,BUY_SPY,0.95,12,146,7
2015-03-23,0.075,0.075,BUY_SPY,0.95,11,146,8
2015-03-24,0.24,0.24,BUY_SPY,0.95,35,146,9
2015-03-25,0.897,0.897,BUY_SPY,0.95,131,146,10
2015-03-26,1.0,1.0,BUY_SPY,0.95,146,146,11
2015-03-27,0.116,0.116,STAY_CASH,0.0,17,146,0
2015-03-30,0.075,0.075,STAY_CASH,0.0,11,146,0
2015-03-31,0.048,0.048,STAY_CASH,0.0,7,146,0
2015-04-01,0.123,0.123,STAY_CASH,0.0,18,146,0
2015-04-02,1.0,1.0,STAY_CASH,0.0,146,146,0
2015-04-06,1.0,1.0,STAY_CASH,0.0,146,146,0
2015-04-07,0.993,0.993,STAY_CASH,0.0,145,146,0
2015-04-08,1.0,1.0,STAY_CASH,0.0,146,146,0
2015-04-09,0.966,0.966,STAY_CASH,0.0,141,146,0
2015-04-10,0.925,0.925,STAY_CASH,0.0,135,146,0
2015-04-13,0.808,0.808,BUY_SPY,0.95,118,146,0
2015-04-14,0.062,0.062,BUY_SPY,0.95,9,146,1
2015-04-15,0.884,0.884,BUY_SPY,0.95,129,146,2
2015-04-16,0.055,0.055,BUY_SPY,0.95,8,146,3
2015-04-17,0.144,0.144,BUY_SPY,0.95,21,146,4
2015-04-20,0.966,0.966,BUY_SPY,0.95,141,146,5
2015-04-21,0.123,0.123,BUY_SPY,0.95,18,146,6
2015-04-22,0.664,0.664,BUY_SPY,0.95,97,146,7
2015-04-23,0.705,0.705,BUY_SPY,0.95,103,146,8
2015-04-24,0.719,0.719,BUY_SPY,0.95,105,146,9
2015-04-27,0.747,0.747,BUY_SPY,0.95,109,146,10
2015-04-28,0.596,0.596,BUY_SPY,0.95,87,146,11
2015-04-29,0.11,0.11,STAY_CASH,0.0,16,146,0
2015-04-30,0.986,0.986,STAY_CASH,0.0,144,146,0
2015-05-01,0.959,0.959,STAY_CASH,0.0,140,146,0
2015-05-04,0.959,0.959,STAY_CASH,0.0,140,146,0
2015-05-05,0.164,0.164,STAY_CASH,0.0,24,146,0
2015-05-06,0.74,0.74,STAY_CASH,0.0,108,146,0
2015-05-07,0.89,0.89,STAY_CASH,0.0,130,146,0
2015-05-08,0.945,0.945,STAY_CASH,0.0,138,146,0
2015-05-11,0.726,0.726,STAY_CASH,0.0,106,146,0
2015-05-12,0.815,0.815,STAY_CASH,0.0,119,146,0
2015-05-13,0.603,0.603,BUY_SPY,0.95,88,146,0
2015-05-14,0.034,0.034,BUY_SPY,0.95,5,146,1
2015-05-15,0.103,0.103,BUY_SPY,0.95,15,146,2
2015-05-18,0.123,0.123,BUY_SPY,0.95,18,146,3
2015-05-19,0.151,0.151,BUY_SPY,0.95,22,146,4
2015-05-20,0.055,0.055,BUY_SPY,0.95,8,146,5
2015-05-21,0.027,0.027,BUY_SPY,0.95,4,146,6
2015-05-22,0.068,0.068,BUY_SPY,0.95,10,146,7
2015-05-26,0.11,0.11,BUY_SPY,0.95,16,146,8
2015-05-27,0.048,0.048,BUY_SPY,0.95,7,146,9
2015-05-28,0.021,0.021,STAY_CASH,0.0,3,146,0
2015-05-29,0.021,0.021,STAY_CASH,0.0,3,146,0
2015-06-01,0.932,0.932,STAY_CASH,0.0,136,146,0
2015-06-02,0.062,0.062,STAY_CASH,0.0,9,146,0
2015-06-03,0.096,0.096,STAY_CASH,0.0,14,146,0
2015-06-04,0.445,0.445,STAY_CASH,0.0,65,146,0
2015-06-05,0.075,0.075,STAY_CASH,0.0,11,146,0
2015-06-08,0.185,0.185,STAY_CASH,0.0,27,146,0
2015-06-09,0.151,0.151,STAY_CASH,0.0,22,146,0
2015-06-10,0.068,0.068,STAY_CASH,0.0,10,146,0
2015-06-11,0.295,0.295,STAY_CASH,0.0,43,146,0
2015-06-12,0.281,0.281,STAY_CASH,0.0,41,146,0
2015-06-15,0.473,0.473,STAY_CASH,0.0,69,146,0
2015-06-16,0.39,0.39,STAY_CASH,0.0,57,146,0
2015-06-17,0.062,0.062,STAY_CASH,0.0,9,146,0
2015-06-18,0.055,0.055,STAY_CASH,0.0,8,146,0
2015-06-19,0.082,0.082,STAY_CASH,0.0,12,146,0
2015-06-22,0.205,0.205,STAY_CASH,0.0,30,146,0
2015-06-23,0.144,0.144,STAY_CASH,0.0,21,146,0
2015-06-24,0.048,0.048,STAY_CASH,0.0,7,146,0
2015-06-25,1.0,1.0,BUY_SPY,0.95,146,146,0
2015-06-26,0.082,0.082,BUY_SPY,0.95,12,146,1
2015-06-29,0.11,0.11,BUY_SPY,0.95,16,146,2
2015-06-30,0.089,0.089,BUY_SPY,0.95,13,146,3
2015-07-01,0.062,0.062,BUY_SPY,0.95,9,146,4
2015-07-02,0.103,0.103,BUY_SPY,0.95,15,146,5
