ticker,year,trades,win_rate,avg_pnl,total_pnl
AAPL,2017,7,0.1429,-10.7314,-75.12
AAPL,2018,1,1.0,88.84,88.84
AMD,2017,2,1.0,357.99,715.98
AMZN,2017,22,0.5455,45.1177,992.59
AMZN,2018,1,1.0,134.37,134.37
BTC-USD,2016,18,0.8889,115.02,2070.36
BTC-USD,2017,84,0.6786,197.0067,16548.56
BTC-USD,2018,7,0.0,-676.9143,-4738.4
CAT,2017,7,0.4286,-1.8829,-13.18
CAT,2018,3,0.6667,21.6333,64.9
GOOGL,2017,8,0.25,-64.3762,-515.01
GOOGL,2018,2,1.0,147.73,295.46
GS,2017,16,0.5,30.3894,486.23
GS,2018,1,1.0,38.91,38.91
INTC,2017,5,0.0,-148.412,-742.06
INTC,2018,2,0.5,65.65,131.3
JNJ,2017,14,0.5714,-21.2057,-296.88
META,2017,15,0.3333,-35.3907,-530.86
META,2018,3,0.0,-227.38,-682.14
MSFT,2017,5,0.6,47.208,236.04
MU,2017,7,0.5714,54.6043,382.23
NVDA,2017,7,0.2857,-46.6186,-326.33
TSLA,2017,25,0.4,-55.9412,-1398.53
TSLA,2018,5,1.0,198.488,992.44
UNH,2017,1,1.0,6.72,6.72
