ticker,trades,win_rate,avg_pnl,median_pnl,total_pnl,long_trades,short_trades
UNH,264,0.4811,7.0176,-15.07,1852.65,264,0
AMD,97,0.4124,15.4402,-57.08,1497.7,97,0
CAT,242,0.4463,5.814,-21.655,1406.99,242,0
META,169,0.4438,6.9114,-20.18,1168.02,169,0
AMZN,213,0.4413,5.0247,-20.67,1070.26,213,0
MU,113,0.3982,8.0602,-42.15,910.8,113,0
INTC,221,0.3891,3.1321,-21.63,692.2,221,0
GOOGL,250,0.424,2.6958,-18.72,673.94,250,0
MSFT,252,0.4524,1.6668,-18.095,420.04,252,0
NVDA,84,0.3571,1.036,-48.87,87.02,84,0
