group_type,group,trades,win_rate,avg_pnl,median_pnl,total_pnl,avg_holding_days,avg_position_pct,profit_factor
entry_year,2016,59,0.6102,116.17,34.68,6854.16,10.0,15.0,9.649
entry_year,2017,9,0.2222,-170.99,-61.13,-1538.88,10.0,15.0,0.037
exit_reason,time_exit,68,0.5588,78.17,12.77,5315.28,10.0,15.0,3.223
sector,XLK,44,0.5682,110.93,29.69,4881.01,10.0,15.0,3.3
sector,XLV,14,0.5714,21.96,4.45,307.47,10.0,15.0,3.092
sector,XLY,7,0.5714,19.09,3.87,133.63,10.0,15.0,2.671
sector,XLI,3,0.3333,-2.28,-17.04,-6.83,10.0,15.0,0.835
signal,LONG,68,0.5588,78.17,12.77,5315.28,10.0,15.0,3.223
signal_quality,LOW,21,0.6667,88.81,57.67,1864.93,10.0,15.0,4.447
signal_quality,HIGH,31,0.5161,57.59,0.92,1785.34,10.0,15.0,2.138
signal_quality,MEDIUM,16,0.5,104.06,4.99,1665.01,10.0,15.0,6.926
ticker,NVDA,8,0.875,329.12,383.83,2632.92,10.0,15.0,82.819
ticker,AMD,14,0.6429,111.8,115.14,1565.18,10.0,15.0,1.971
ticker,MU,5,1.0,193.91,181.48,969.53,10.0,15.0,
ticker,UNH,14,0.5714,21.96,4.45,307.47,10.0,15.0,3.092
ticker,AMZN,7,0.5714,19.09,3.87,133.63,10.0,15.0,2.671
ticker,INTC,4,0.25,5.79,-6.48,23.17,10.0,15.0,1.432
ticker,CAT,3,0.3333,-2.28,-17.04,-6.83,10.0,15.0,0.835
ticker,GOOGL,2,0.0,-37.16,-37.16,-74.33,10.0,15.0,0.0
ticker,MSFT,5,0.2,-19.06,-27.45,-95.3,10.0,15.0,0.108
ticker,META,6,0.3333,-23.36,-25.27,-140.16,10.0,15.0,0.424
