group_type,group,trades,win_rate,avg_pnl,median_pnl,total_pnl,profit_factor,raw_sharpe_proxy,avg_confidence,avg_expected_return,avg_rank_score,avg_holding_days
confidence_decile,C3,102,0.549,0.1,8.62,9.72,1.007,0.003,50.19,0.3583,0.4285,3.32
confidence_decile,C10,102,0.549,-1.16,8.75,-118.55,0.926,-0.034,53.79,0.3678,1.5226,3.2
confidence_decile,C8,102,0.5686,-1.56,4.5,-159.57,0.911,-0.041,51.3,0.3979,1.0744,3.42
confidence_decile,C1,102,0.549,-1.82,8.73,-185.77,0.889,-0.051,50.03,0.2778,0.3276,2.98
confidence_decile,C6,102,0.5392,-2.13,4.78,-217.17,0.878,-0.057,50.62,0.4484,0.5371,3.28
confidence_decile,C9,102,0.4902,-2.52,-1.03,-257.3,0.85,-0.07,52.02,0.3383,1.4364,3.14
confidence_decile,C2,102,0.5098,-2.54,2.26,-259.39,0.839,-0.077,50.12,0.3711,0.4819,3.26
confidence_decile,C5,102,0.5392,-3.54,2.74,-361.38,0.799,-0.096,50.43,0.3292,0.4059,3.09
confidence_decile,C7,102,0.5,-4.67,-0.1,-476.38,0.756,-0.124,50.85,0.4521,0.8893,3.32
confidence_decile,C4,102,0.5098,-5.67,4.58,-578.35,0.711,-0.145,50.31,0.4004,0.4925,3.31
entry_year,2024,85,0.5647,2.9,12.52,246.48,1.203,0.081,51.13,0.4138,1.911,3.41
entry_year,2017,115,0.5391,1.22,8.82,139.86,1.089,0.036,51.69,0.1927,0.5388,3.36
entry_year,2019,96,0.5729,0.39,8.8,37.63,1.026,0.011,50.28,0.4027,0.7539,3.39
entry_year,2025,58,0.5862,0.24,11.23,14.01,1.017,0.007,50.62,0.41,1.27,3.17
entry_year,2026,17,0.5882,-2.83,9.23,-48.13,0.832,-0.081,51.34,0.3965,1.2059,3.35
entry_year,2020,38,0.5526,-2.39,6.37,-90.79,0.851,-0.072,51.66,0.0653,0.2844,3.11
entry_year,2021,91,0.5385,-2.03,7.75,-185.09,0.903,-0.045,50.91,0.3726,1.1669,3.03
entry_year,2023,106,0.4811,-3.37,-1.05,-357.41,0.798,-0.1,50.7,0.4644,0.4795,3.35
entry_year,2016,154,0.5325,-3.23,3.55,-497.42,0.798,-0.098,50.68,0.4314,0.4388,3.27
entry_year,2018,72,0.4444,-7.1,-6.0,-511.06,0.625,-0.189,51.12,0.3178,0.6104,3.39
