ticker,trades,win_rate,avg_pnl,median_pnl,total_pnl,long_trades,short_trades
AMD,215,0.3767,1.5819,-23.04,340.1,215,0
MSFT,161,0.4161,1.0789,-11.76,173.71,161,0
AMZN,190,0.3737,-0.1337,-15.0,-25.4,190,0
MU,201,0.3532,-0.2483,-24.38,-49.9,201,0
HD,179,0.3855,-0.3191,-12.35,-57.11,179,0
CAT,183,0.3333,-1.2312,-15.93,-225.31,183,0
MA,160,0.3438,-1.6676,-11.94,-266.82,160,0
LLY,190,0.3526,-1.5211,-14.445,-289.0,190,0
BRK-B,153,0.3529,-2.0191,-11.03,-308.92,153,0
GOOGL,196,0.3316,-1.7619,-13.62,-345.33,196,0
PG,161,0.3478,-2.3788,-11.04,-382.98,161,0
V,162,0.3457,-2.4066,-11.77,-389.87,162,0
META,210,0.3333,-2.2416,-16.415,-470.73,210,0
NVDA,202,0.3663,-2.9722,-22.23,-600.38,202,0
UNH,202,0.2624,-5.028,-14.65,-1015.66,202,0
