group_type,group,trades,win_rate,avg_pnl,median_pnl,total_pnl,avg_holding_days,avg_position_pct,profit_factor
entry_year,2021,209,0.4737,9.05,-22.64,1891.1,2.99,19.97,1.492
entry_year,2017,187,0.5401,8.52,11.98,1593.87,2.84,19.98,1.909
entry_year,2020,104,0.5577,13.59,25.22,1413.03,2.66,19.97,1.875
entry_year,2019,217,0.4654,5.26,-17.93,1142.13,2.88,19.92,1.354
entry_year,2016,172,0.4942,6.3,-12.53,1084.06,3.22,19.78,1.55
entry_year,2025,203,0.4089,3.42,-25.89,694.36,2.96,19.82,1.151
entry_year,2023,213,0.3991,2.53,-23.68,539.45,2.89,20.0,1.127
entry_year,2024,247,0.4049,1.15,-24.08,284.68,2.67,19.91,1.054
entry_year,2026,40,0.375,1.68,-31.48,67.38,2.58,19.83,1.065
entry_year,2018,187,0.4011,-2.44,-19.21,-455.64,2.5,19.85,0.857
entry_year,2015,110,0.3545,-4.54,-17.27,-499.65,2.51,19.83,0.72
entry_year,2022,122,0.2705,-14.54,-33.61,-1773.5,2.66,19.7,0.534
exit_reason,time_exit,2011,0.4346,2.97,-18.35,5981.27,2.81,19.89,1.165
sector,XLK,667,0.4318,4.47,-21.45,2982.32,2.8,19.71,1.196
sector,XLY,295,0.4644,5.2,-14.98,1534.64,2.82,19.97,1.317
sector,XLI,122,0.459,5.16,-21.13,630.13,2.75,20.0,1.294
sector,XLV,285,0.4175,1.91,-17.61,544.23,2.94,19.96,1.112
sector,XLF,462,0.4372,1.05,-17.18,485.06,2.73,20.0,1.072
sector,XLP,180,0.4,-1.08,-16.91,-195.11,2.89,20.0,0.922
signal,LONG,2011,0.4346,2.97,-18.35,5981.27,2.81,19.89,1.165
signal_quality,LOW,815,0.4294,3.42,-17.39,2790.22,2.78,19.9,1.201
signal_quality,HIGH,652,0.4479,3.54,-18.88,2305.15,2.86,19.91,1.188
signal_quality,MEDIUM,544,0.4265,1.63,-19.01,885.9,2.81,19.85,1.087
ticker,GOOGL,129,0.5271,10.87,17.55,1402.35,3.14,19.99,1.693
ticker,HD,152,0.5066,7.55,13.88,1147.55,2.8,20.0,1.586
ticker,AMD,80,0.4125,8.71,-38.55,697.1,2.58,19.05,1.289
ticker,UNH,155,0.4258,4.21,-16.12,652.0,3.1,19.94,1.263
ticker,MU,108,0.4167,5.85,-37.69,631.82,2.83,19.41,1.195
ticker,CAT,122,0.459,5.16,-21.13,630.13,2.75,20.0,1.294
ticker,BRK-B,181,0.4696,2.5,-14.21,451.84,2.93,20.0,1.203
ticker,AMZN,143,0.4196,2.71,-20.99,387.09,2.83,19.93,1.134
ticker,NVDA,81,0.4568,2.52,-32.72,203.83,2.65,19.59,1.09
ticker,V,147,0.4354,0.62,-18.22,91.34,2.7,20.0,1.038
ticker,MSFT,145,0.3862,0.6,-20.65,87.52,2.68,20.0,1.035
ticker,META,124,0.3952,-0.32,-22.61,-40.3,2.82,19.85,0.985
ticker,MA,134,0.3955,-0.43,-19.39,-58.12,2.49,20.0,0.973
ticker,LLY,130,0.4077,-0.83,-19.89,-107.77,2.76,19.98,0.954
ticker,PG,180,0.4,-1.08,-16.91,-195.11,2.89,20.0,0.922
