date,entry_date,exit_date,ticker,signal,signal_quality,confidence,expected_return,rank_score,rank_orientation,rank_orientation_corr,conformal_singleton,conformal_set_size,conformal_qhat,position_pct,regime_state,entry_price,exit_price,holding_days,net_pnl,exit_reason,sector,capacity_warning
2015-05-11,2015-05-12,2015-05-15,TSLA,LONG,HIGH,50.06,0.27,1.1007,1.0,,False,2,0.5075985193252563,20.0,neutral,16.0326,16.4814,3,54.82,take_profit,XLY,False
2015-05-15,2015-05-18,2015-05-22,MU,LONG,HIGH,50.81,0.48,0.8832,1.0,,True,1,0.5075985193252563,20.0,bull,25.5532,26.3696,4,63.56,take_profit,XLK,False
2015-05-19,2015-05-20,2015-05-22,JNJ,LONG,MEDIUM,51.08,0.19,-0.7001,1.0,,True,1,0.5075985193252563,20.0,bull,77.116,75.8206,2,-34.12,stop_loss,XLV,False
2015-05-19,2015-05-20,2015-05-28,HD,LONG,HIGH,50.64,0.23,0.2482,1.0,,False,2,0.5075985193252563,20.0,bull,86.6624,86.4104,5,-6.09,time_exit,XLY,False
2015-05-20,2015-05-21,2015-05-29,AAPL,LONG,HIGH,50.81,0.54,0.2107,1.0,,True,1,0.5075985193252563,20.0,bull,29.0816,29.0511,5,-2.8,time_exit,XLK,False
2015-05-26,2015-05-27,2015-06-03,UNH,LONG,HIGH,51.24,0.09,0.3643,1.0,,True,1,0.5075985193252563,20.0,neutral,99.3641,98.6236,5,-15.2,time_exit,XLV,False
2015-06-10,2015-06-11,2015-06-16,UNH,LONG,HIGH,50.79,0.45,0.0,1.0,,True,1,0.5075985193252563,20.0,neutral,99.3905,100.5067,3,22.43,take_profit,XLV,False
2015-06-11,2015-06-12,2015-06-19,MU,LONG,HIGH,51.97,0.46,1.3312,1.0,,True,1,0.5075985193252563,20.0,neutral,24.3123,23.8286,5,-40.97,time_exit,XLK,False
2015-06-19,2015-06-22,2015-06-24,UNH,LONG,HIGH,50.93,0.23,-0.3028,1.0,,True,1,0.5075985193252563,20.0,neutral,102.0908,99.7718,2,-45.73,stop_loss,XLV,False
2015-06-17,2015-06-18,2015-06-25,LLY,LONG,HIGH,50.11,0.5,0.0,1.0,,False,2,0.5075985193252563,20.0,neutral,69.7807,70.3294,5,15.53,time_exit,XLV,False
2015-06-24,2015-06-25,2015-06-26,UNH,LONG,MEDIUM,50.92,0.02,0.2176,1.0,,True,1,0.5075985193252563,20.0,neutral,100.363,102.293,1,38.14,take_profit,XLV,False
2015-06-26,2015-06-29,2015-07-07,UNH,LONG,HIGH,50.92,0.32,-0.6087,1.0,,True,1,0.5075985193252563,20.0,neutral,102.4344,101.0128,5,-28.14,time_exit,XLV,False
2015-07-15,2015-07-16,2015-07-23,COST,LONG,HIGH,51.3,0.38,-1.2163,1.0,,True,1,0.5075985193252563,20.0,neutral,120.4873,121.3415,5,14.06,time_exit,XLP,False
2015-07-28,2015-07-29,2015-08-05,GOOGL,LONG,HIGH,50.51,0.57,-0.4014,1.0,,False,2,0.5075985193252563,20.0,neutral,32.8932,33.3361,5,26.46,time_exit,XLK,False
2015-08-07,2015-08-10,2015-08-17,CVX,LONG,HIGH,50.31,0.74,-0.8353,1.0,,False,2,0.5075985193252563,20.0,neutral,53.1132,53.009,5,-4.33,time_exit,XLE,False
2015-08-12,2015-08-13,2015-08-17,TSLA,LONG,HIGH,50.6,0.66,1.3132,1.0,,False,2,0.5075985193252563,20.0,neutral,16.0161,16.7305,2,89.16,take_profit,XLY,False
2015-09-08,2015-09-09,2015-09-16,GS,LONG,LOW,52.08,1.11,-0.0989,1.0,,True,1,0.5136079788208008,20.0,neutral,153.3695,152.1832,5,-15.85,time_exit,XLF,False
2015-09-08,2015-09-09,2015-09-16,UNH,LONG,MEDIUM,50.8,1.11,0.5871,1.0,,False,2,0.5136079788208008,20.0,neutral,98.8817,101.8189,5,60.16,time_exit,XLV,False
2015-09-08,2015-09-09,2015-09-16,COST,LONG,LOW,50.63,1.1,-0.8582,1.0,,False,2,0.5136079788208008,20.0,neutral,119.3165,120.0065,5,11.58,time_exit,XLP,False
2015-09-08,2015-09-09,2015-09-16,JNJ,LONG,LOW,50.3,0.93,-0.8024,1.0,,False,2,0.5136079788208008,20.0,neutral,71.2067,70.7228,5,-14.1,time_exit,XLV,False
