date,entry_date,exit_date,ticker,signal,signal_quality,confidence,expected_return,rank_score,rank_orientation,rank_orientation_corr,position_pct,regime_state,entry_price,exit_price,holding_days,net_pnl,exit_reason,sector,capacity_warning
2015-03-23,2015-03-24,2015-03-25,SO,LONG,HIGH,50.01,0.69,0.0,1.0,,20.0,neutral,28.3816,27.7647,1,-44.25,stop_loss,XLU,False
2015-04-13,2015-04-14,2015-04-24,SO,LONG,HIGH,50.65,0.29,0.0,1.0,,20.0,neutral,27.8783,28.1558,8,19.13,take_profit,XLU,False
2015-04-29,2015-04-30,2015-05-06,SO,LONG,HIGH,51.1,1.0,0.0,1.0,,20.0,bull,28.0674,27.6801,4,-28.28,stop_loss,XLU,False
2015-05-13,2015-05-14,2015-05-15,SO,LONG,HIGH,51.24,0.75,0.0,1.0,,20.0,neutral,27.3879,27.6624,1,19.24,take_profit,XLU,False
2015-05-15,2015-05-18,2015-06-05,SO,LONG,HIGH,50.01,0.96,0.0,1.0,,20.0,bull,27.7513,27.2911,13,-33.83,stop_loss,XLU,False
2015-07-20,2015-07-21,2015-07-26,BTC-USD,LONG,HIGH,51.21,1.73,0.0,1.0,,20.0,neutral,279.2883,292.1675,5,91.6,take_profit,OTHER,False
2015-07-27,2015-07-28,2015-07-29,DE,LONG,HIGH,52.73,0.68,0.0,1.0,,20.0,neutral,76.56,77.5826,1,26.6,take_profit,XLI,False
2015-07-15,2015-07-16,2015-07-30,SO,LONG,HIGH,50.84,1.48,2.3303,1.0,,20.0,neutral,27.6744,27.9824,10,21.42,take_profit,XLU,False
2015-07-22,2015-07-23,2015-07-31,DUK,LONG,MEDIUM,50.85,1.65,0.0,1.0,,20.0,neutral,46.479,47.2239,6,31.38,take_profit,XLU,False
2015-07-27,2015-07-28,2015-08-07,BRK-B,LONG,LOW,51.86,0.64,0.0,1.0,,20.0,neutral,141.7874,143.3245,8,21.66,take_profit,XLF,False
2015-08-03,2015-08-04,2015-08-08,BTC-USD,LONG,HIGH,50.98,0.73,0.0,1.0,,20.0,neutral,281.6378,275.2047,4,-46.36,stop_loss,OTHER,False
2015-08-07,2015-08-10,2015-08-12,JPM,LONG,HIGH,50.36,0.72,0.0,1.0,,20.0,neutral,51.2549,50.4986,2,-30.23,stop_loss,XLF,False
2015-07-29,2015-07-30,2015-08-18,EQIX,LONG,MEDIUM,51.11,0.54,0.0,1.0,,20.0,bull,219.4437,221.8717,13,22.27,take_profit,XLRE,False
2015-08-11,2015-08-12,2015-08-18,META,LONG,LOW,51.78,0.8,0.0,1.0,,20.0,neutral,92.1056,94.2709,4,47.1,take_profit,XLK,False
2015-08-07,2015-08-10,2015-08-20,COST,LONG,LOW,50.36,0.72,0.0,1.0,,20.0,neutral,122.467,120.969,8,-24.91,stop_loss,XLP,False
2015-08-12,2015-08-13,2015-08-20,AMD,LONG,HIGH,50.36,0.81,0.0,1.0,,12.43,neutral,1.9046,1.7329,5,-119.75,stop_loss,XLK,False
2015-08-19,2015-08-20,2015-08-21,UNH,LONG,LOW,50.65,0.8,0.0,1.0,,20.0,neutral,102.6063,100.3293,1,-44.79,stop_loss,XLV,False
2015-08-19,2015-08-20,2015-08-21,MSFT,LONG,MEDIUM,50.65,0.79,0.0,1.0,,20.0,neutral,40.0324,39.2467,1,-39.93,stop_loss,XLK,False
2015-09-08,2015-09-09,2015-09-12,BTC-USD,LONG,HIGH,51.02,0.75,0.0,1.0,0.0177,14.52,neutral,243.838,237.6496,3,-36.55,stop_loss,OTHER,False
