group_type,group,trades,win_rate,avg_pnl,median_pnl,total_pnl,avg_holding_days,avg_position_pct,profit_factor
entry_year,2015,29,0.1034,-55.67,-51.6,-1614.32,10.0,15.0,0.105
exit_reason,time_exit,29,0.1034,-55.67,-51.6,-1614.32,10.0,15.0,0.105
sector,XLY,1,0.0,-104.53,-104.53,-104.53,10.0,15.0,0.0
sector,XLI,5,0.2,-44.69,-12.26,-223.44,10.0,15.0,0.267
sector,XLK,23,0.087,-55.93,-51.6,-1286.35,10.0,15.0,0.077
signal,SHORT,29,0.1034,-55.67,-51.6,-1614.32,10.0,15.0,0.105
signal_quality,LOW,29,0.1034,-55.67,-51.6,-1614.32,10.0,15.0,0.105
ticker,MU,1,1.0,106.34,106.34,106.34,10.0,15.0,
ticker,AMD,1,0.0,-6.74,-6.74,-6.74,10.0,15.0,0.0
ticker,GOOGL,1,0.0,-50.53,-50.53,-50.53,10.0,15.0,0.0
ticker,INTC,3,0.0,-29.33,-23.79,-87.98,10.0,15.0,0.0
ticker,AMZN,1,0.0,-104.53,-104.53,-104.53,10.0,15.0,0.0
ticker,CAT,5,0.2,-44.69,-12.26,-223.44,10.0,15.0,0.267
ticker,MSFT,6,0.1667,-41.02,-44.68,-246.1,10.0,15.0,0.004
ticker,META,4,0.0,-95.78,-90.07,-383.14,10.0,15.0,0.0
ticker,NVDA,7,0.0,-88.31,-71.44,-618.2,10.0,15.0,0.0
