date,entry_date,exit_date,ticker,signal,signal_quality,confidence,expected_return,position_pct,regime_state,entry_price,exit_price,holding_days,net_pnl,exit_reason,sector,capacity_warning
2015-10-16,2015-10-19,2015-11-02,CAT,SHORT,LOW,73.42,-0.35,15.0,neutral,53.2914,58.0313,10,-133.69,time_exit,XLI,False
2015-10-19,2015-10-20,2015-11-03,CAT,SHORT,LOW,78.02,-1.3,15.0,neutral,52.9915,58.3513,10,-151.88,time_exit,XLI,False
2015-10-20,2015-10-21,2015-11-04,META,SHORT,LOW,76.43,-0.79,15.0,neutral,96.4701,103.2823,10,-105.45,time_exit,XLK,False
2015-10-21,2015-10-22,2015-11-05,META,SHORT,LOW,81.89,-1.63,15.0,neutral,96.8859,108.0719,10,-172.63,time_exit,XLK,False
2015-10-22,2015-10-23,2015-11-06,AMZN,SHORT,LOW,78.13,-0.64,15.0,bull,30.8373,33.0185,10,-104.53,time_exit,XLY,False
2015-10-23,2015-10-26,2015-11-09,CAT,SHORT,LOW,77.43,-0.62,15.0,bull,55.8643,56.1177,10,-7.07,time_exit,XLI,False
2015-10-26,2015-10-27,2015-11-10,META,SHORT,LOW,80.07,-0.62,15.0,bull,101.9889,107.2264,10,-74.69,time_exit,XLK,False
2015-10-27,2015-10-28,2015-11-11,MU,SHORT,LOW,78.06,-0.77,15.0,bull,16.3535,15.1463,10,106.34,time_exit,XLK,False
2015-10-28,2015-10-29,2015-11-12,MSFT,SHORT,LOW,78.06,-0.32,15.0,bull,46.3894,46.3398,10,1.03,time_exit,XLK,False
2015-10-29,2015-10-30,2015-11-13,NVDA,SHORT,LOW,77.49,-0.64,15.0,bull,0.6787,0.7254,10,-119.94,time_exit,XLK,False
2015-10-30,2015-11-02,2015-11-16,NVDA,SHORT,LOW,82.09,-0.78,15.0,bull,0.6903,0.74,10,-124.33,time_exit,XLK,False
2015-11-02,2015-11-03,2015-11-17,META,SHORT,LOW,79.28,-0.32,15.0,bull,102.2662,104.4636,10,-30.37,time_exit,XLK,False
2015-11-03,2015-11-04,2015-11-18,NVDA,SHORT,LOW,77.07,-0.05,15.0,bull,0.6894,0.7582,10,-159.27,time_exit,XLK,False
2015-11-04,2015-11-05,2015-11-19,CAT,SHORT,LOW,78.36,-0.1,15.0,bull,58.0891,54.6584,10,81.46,time_exit,XLI,False
2015-11-05,2015-11-06,2015-11-20,NVDA,SHORT,LOW,81.97,-0.55,15.0,bull,0.7386,0.767,10,-71.44,time_exit,XLK,False
2015-11-06,2015-11-09,2015-11-23,NVDA,SHORT,LOW,80.91,-0.19,15.0,bull,0.7578,0.7555,10,-13.23,time_exit,XLK,False
2015-11-10,2015-11-11,2015-11-25,INTC,SHORT,LOW,81.29,-0.51,15.0,bull,26.1683,27.2665,10,-56.4,time_exit,XLK,False
2015-11-11,2015-11-12,2015-11-27,CAT,SHORT,LOW,81.47,-0.74,15.0,bull,55.1089,55.596,10,-12.26,time_exit,XLI,False
2015-11-12,2015-11-13,2015-11-30,MSFT,SHORT,LOW,82.05,-1.37,15.0,neutral,45.9825,47.5538,10,-47.06,time_exit,XLK,False
2015-11-13,2015-11-16,2015-12-01,MSFT,SHORT,LOW,74.89,-0.89,15.0,neutral,45.9911,48.3151,10,-70.6,time_exit,XLK,False
2015-11-16,2015-11-17,2015-12-02,GOOGL,SHORT,LOW,78.43,-1.32,15.0,neutral,37.2597,38.6313,10,-50.53,time_exit,XLK,False
2015-11-17,2015-11-18,2015-12-03,MSFT,SHORT,LOW,80.13,-1.36,15.0,neutral,46.2315,47.4224,10,-35.57,time_exit,XLK,False
2015-11-18,2015-11-19,2015-12-04,MSFT,SHORT,LOW,77.15,-1.09,15.0,bull,47.0964,48.9171,10,-51.6,time_exit,XLK,False
2015-11-19,2015-11-20,2015-12-07,MSFT,SHORT,LOW,74.2,-0.91,15.0,bull,47.3235,48.829,10,-42.3,time_exit,XLK,False
2015-11-20,2015-11-23,2015-12-08,INTC,SHORT,LOW,75.89,-0.47,15.0,bull,27.3525,27.5034,10,-7.79,time_exit,XLK,False
2015-11-24,2015-11-25,2015-12-10,INTC,SHORT,LOW,75.89,-0.1,15.0,bull,27.0376,27.5185,10,-23.79,time_exit,XLK,False
2015-11-25,2015-11-27,2015-12-11,AMD,SHORT,LOW,78.17,-0.33,15.0,bull,2.364,2.3658,10,-6.74,time_exit,XLK,False
2015-11-27,2015-11-30,2015-12-14,NVDA,SHORT,LOW,77.17,-0.9,15.0,bull,0.7651,0.7958,10,-69.65,time_exit,XLK,False
2015-11-30,2015-12-01,2015-12-15,NVDA,SHORT,LOW,77.97,-0.91,15.0,bull,0.7792,0.8056,10,-60.34,time_exit,XLK,False
